Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,199.9000,201.2200,199.3100,200.3400,1745639,,,,,,,0
2025-02-03 09:35:00,200.3200,202.2300,200.2000,201.9600,809536,,,,,,,0
2025-02-03 09:40:00,201.9700,202.0200,200.7100,200.9700,478768,,,,,,,0
2025-02-03 09:45:00,200.9900,201.0100,199.7300,200.4800,559030,,,,,,,0
2025-02-03 09:50:00,200.4900,201.3400,200.4200,201.3000,526117,,,,,,,0
2025-02-03 09:55:00,201.3000,201.6600,200.7900,201.1600,447703,,,,,,,0
2025-02-03 10:00:00,201.2100,201.2100,200.2200,200.6400,448303,,,,,,,0
2025-02-03 10:05:00,200.6200,201.3400,200.5000,201.1900,297532,,,,,,,0
2025-02-03 10:10:00,201.1400,201.1700,200.2500,200.3800,345437,200.9356,,,,,,0
2025-02-03 10:15:00,200.3600,200.3800,199.7400,199.7400,301967,200.6964,,,,,,0
2025-02-03 10:20:00,199.7300,201.6300,199.5500,201.4700,545353,200.8512,,,,,,0
2025-02-03 10:25:00,201.5000,202.2000,200.8300,201.7400,470154,201.0289,,,,,,0
2025-02-03 10:30:00,201.7100,202.2000,201.1000,201.5700,408310,201.1371,,,,,,0
2025-02-03 10:35:00,201.5700,202.1200,201.2100,201.9500,322452,201.2997,,,,,,0
2025-02-03 10:40:00,201.9500,202.5300,199.8600,201.9600,501485,201.4318,,58.86,,20.11,20.39,0
2025-02-03 10:45:00,201.9600,202.0600,201.3200,201.6500,338410,201.4754,,56.79,,19.26,19.52,0
2025-02-03 10:50:00,201.7000,201.7000,201.3800,201.5700,218491,201.4943,,56.24,,18.88,19.14,0
2025-02-03 10:55:00,201.5500,201.8800,201.4700,201.5400,244870,201.5035,,56.02,,19.54,18.64,0
2025-02-03 11:00:00,201.5500,201.8800,201.1200,201.7300,310995,201.5488,,57.16,,18.57,20.00,0
2025-02-03 11:05:00,201.7500,201.9300,200.9200,201.8800,240570,201.6150,,58.08,,17.34,19.99,1
2025-02-03 11:10:00,201.9300,202.2100,201.7500,202.1400,246364,201.7200,201.3029,59.70,,18.71,19.36,1
2025-02-03 11:15:00,202.1500,202.8200,202.1400,202.7800,234706,201.9320,201.4371,63.45,,22.09,18.44,1
2025-02-03 11:20:00,202.7800,202.9400,202.4800,202.6700,165681,202.0796,201.5492,62.38,,22.22,17.82,1
2025-02-03 11:25:00,202.6400,202.6900,202.2100,202.3900,134276,202.1417,201.6257,59.61,,21.42,19.22,1
2025-02-03 11:30:00,202.3700,202.3800,201.9900,202.2100,129721,202.1553,201.6788,57.84,,20.74,20.35,1
2025-02-03 11:35:00,202.1900,202.3700,202.1200,202.3300,121465,202.1903,201.7380,58.72,,20.31,19.92,1
2025-02-03 11:40:00,202.3200,202.5700,202.1600,202.5000,129714,202.2522,201.8073,60.00,,21.32,19.22,1
2025-02-03 11:45:00,202.5200,202.9400,202.1300,202.1500,190194,202.2318,201.8384,56.14,,23.03,17.87,1
2025-02-03 11:50:00,202.1200,202.7400,202.1200,202.5100,151080,202.2874,201.8995,59.06,4.96,21.77,16.98,1
2025-02-03 11:55:00,202.5400,202.5500,201.7700,201.8400,168513,202.1979,201.8941,52.12,4.86,20.27,18.90,1
2025-02-03 12:00:00,201.8400,201.9000,201.5400,201.8200,150673,202.1224,201.8873,51.92,4.65,19.60,20.39,1
2025-02-03 12:05:00,201.8400,201.9700,201.5800,201.9300,127197,202.0839,201.8912,52.97,4.34,19.54,19.63,1
2025-02-03 12:10:00,201.9300,201.9400,201.5300,201.7600,155087,202.0191,201.8793,51.12,4.14,18.75,19.33,1
2025-02-03 12:15:00,201.7600,201.8800,201.6600,201.8300,126001,201.9813,201.8748,51.86,3.95,18.32,18.89,1
2025-02-03 12:20:00,201.8300,202.3800,201.8300,202.3700,231250,202.0590,201.9198,57.29,4.51,22.52,17.80,1
2025-02-03 12:25:00,202.3700,202.5000,201.8100,201.8400,202028,202.0152,201.9126,51.19,5.23,22.15,16.51,1
2025-02-03 12:30:00,201.8400,202.0100,201.6800,201.8000,167328,201.9722,201.9023,50.75,5.60,21.35,17.33,1
2025-02-03 12:35:00,201.7900,201.8500,201.6100,201.7100,114815,201.9197,201.8848,49.72,5.78,20.77,17.66,1
2025-02-03 12:40:00,201.7300,201.8100,201.3900,201.4100,118801,201.8178,201.8417,46.33,5.43,19.74,19.36,1
2025-02-03 12:45:00,201.4000,201.7200,201.3400,201.6200,161094,201.7782,201.8215,48.95,5.09,18.84,19.08,1
2025-02-03 12:50:00,201.6200,202.2400,201.6200,202.1300,145061,201.8486,201.8496,54.73,5.77,23.68,17.66,1
2025-02-03 12:55:00,202.1100,202.1600,201.3900,201.9600,301394,201.8709,201.8596,52.60,5.84,21.54,18.77,1
2025-02-03 13:00:00,201.9100,201.9500,201.3200,201.8100,126421,201.8587,201.8551,50.71,5.75,19.92,18.18,1
2025-02-03 13:05:00,201.7800,201.8900,201.3200,201.3900,133421,201.7650,201.8128,45.77,5.67,18.59,16.96,1
2025-02-03 13:10:00,201.3900,202.0500,201.3500,202.0000,158837,201.8120,201.8298,52.94,5.96,18.93,15.58,1
2025-02-03 13:15:00,202.0100,202.2100,201.8700,201.9400,115796,201.8376,201.8398,52.21,6.58,20.08,14.94,1
2025-02-03 13:20:00,201.9300,202.1100,201.8900,202.0400,102550,201.8781,201.8580,53.37,7.16,19.53,14.53,1
2025-02-03 13:25:00,202.0400,202.3100,201.9900,202.1300,167947,201.9284,201.8828,54.44,8.15,21.31,13.93,1
2025-02-03 13:30:00,202.1600,202.2300,202.0100,202.2000,103324,201.9828,201.9116,55.29,9.06,20.68,13.51,1
2025-02-03 13:35:00,202.2000,202.3600,201.9900,202.0500,163164,201.9962,201.9242,52.99,10.21,21.42,12.82,1
2025-02-03 13:40:00,202.0400,202.2600,201.9200,202.0200,120066,202.0010,201.9329,52.52,11.01,20.38,13.19,1
2025-02-03 13:45:00,202.0300,202.1300,201.9700,202.0300,143173,202.0068,201.9417,52.67,11.75,19.90,12.88,1
2025-02-03 13:50:00,202.0300,202.2600,202.0300,202.1900,150478,202.0434,201.9643,55.13,12.78,21.20,12.42,1
2025-02-03 13:55:00,202.1900,202.3800,202.1200,202.2000,141562,202.0747,201.9857,55.29,14.03,22.24,11.90,1
2025-02-03 14:00:00,202.1900,202.2400,201.8300,201.8900,174186,202.0378,201.9770,49.53,14.00,20.77,15.78,1
2025-02-03 14:05:00,201.8800,202.0000,201.7200,201.9600,161579,202.0222,201.9755,50.77,13.58,19.81,16.87,1
