Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,610.3900,613.2200,608.4400,612.2200,129812,,,,,,,0
2025-02-03 09:35:00,612.2100,612.5800,608.4400,609.1700,57664,,,,,,,0
2025-02-03 09:40:00,609.0600,610.2500,608.1400,608.5100,57256,,,,,,,0
2025-02-03 09:45:00,608.7100,611.1600,606.9600,610.1400,68253,,,,,,,0
2025-02-03 09:50:00,610.2000,611.5300,609.6200,609.9200,50601,,,,,,,0
2025-02-03 09:55:00,610.7100,611.8800,610.2000,610.5000,38945,,,,,,,0
2025-02-03 10:00:00,609.7200,612.4000,609.4200,611.3800,34238,,,,,,,0
2025-02-03 10:05:00,611.4300,614.3100,611.0000,613.9800,51228,,,,,,,0
2025-02-03 10:10:00,613.6900,614.4700,612.5300,613.4500,45289,611.0300,,,,,,0
2025-02-03 10:15:00,613.3500,613.7900,611.0100,611.0600,31351,611.0360,,,,,,0
2025-02-03 10:20:00,610.8300,617.0800,609.8900,615.6200,61838,611.9528,,,,,,0
2025-02-03 10:25:00,616.4200,619.0300,614.6200,618.2600,28135,613.2142,,,,,,0
2025-02-03 10:30:00,618.5300,619.1700,617.3500,618.1400,27853,614.1994,,,,,,0
2025-02-03 10:35:00,618.4300,618.5000,616.7600,617.5400,24326,614.8675,,,,,,0
2025-02-03 10:40:00,617.2500,620.4400,617.1100,619.2500,27110,615.7440,,65.85,,23.07,9.97,0
2025-02-03 10:45:00,618.8000,618.8100,617.2200,618.5600,22066,616.3072,,63.72,,21.98,9.50,0
2025-02-03 10:50:00,619.0000,620.3700,618.7700,618.9900,20358,616.8438,,64.49,,24.78,9.08,0
2025-02-03 10:55:00,618.9800,620.6100,618.9800,620.2900,19232,617.5330,,66.79,,24.37,8.72,0
2025-02-03 11:00:00,619.7400,620.5300,617.7000,618.9300,26913,617.8124,,62.25,,22.65,11.29,0
2025-02-03 11:05:00,619.4300,619.7000,616.7200,618.5100,26444,617.9519,,60.87,,20.97,12.89,1
2025-02-03 11:10:00,619.7100,620.5200,619.6500,619.7700,12890,618.3155,614.9614,63.48,,21.98,12.23,0
2025-02-03 11:15:00,619.9600,621.7800,619.5700,621.4100,20199,618.9344,615.5477,66.61,,23.98,11.54,0
2025-02-03 11:20:00,621.8100,622.4300,621.3700,621.7400,19455,619.4955,616.1106,67.21,,25.05,11.21,0
