Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,53.9700,54.8100,53.6900,54.7000,3979327,,,,,,,0
2025-02-03 09:35:00,54.6900,54.9400,54.3700,54.9400,2090968,,,,,,,0
2025-02-03 09:40:00,54.9400,54.9600,54.6000,54.7500,1444229,,,,,,,0
2025-02-03 09:45:00,54.7600,54.8400,54.4900,54.6800,1589786,,,,,,,0
2025-02-03 09:50:00,54.6800,54.7600,54.4200,54.5400,1367579,,,,,,,0
2025-02-03 09:55:00,54.5300,55.0800,54.4300,55.0000,1501380,,,,,,,0
2025-02-03 10:00:00,54.9900,55.0400,54.7200,54.8100,1301770,,,,,,,0
2025-02-03 10:05:00,54.8100,55.2400,54.7900,55.1300,1289208,,,,,,,0
2025-02-03 10:10:00,55.1300,55.2200,55.0300,55.0800,854514,54.8478,,,,,,0
2025-02-03 10:15:00,55.0900,55.3600,55.0000,55.2500,1101637,54.9282,,,,,,0
2025-02-03 10:20:00,55.2600,55.8600,55.2600,55.7900,1871262,55.1006,,,,,,0
2025-02-03 10:25:00,55.7800,56.1600,55.7800,56.0500,1674018,55.2905,,,,,,0
2025-02-03 10:30:00,56.0400,56.1000,55.7100,56.0500,1134188,55.4424,,,,,,0
2025-02-03 10:35:00,56.0500,56.0900,55.7900,55.8200,1137915,55.5179,,,,,,0
2025-02-03 10:40:00,55.8100,56.4200,55.7800,56.2400,1029607,55.6623,,73.48,,32.83,4.23,0
2025-02-03 10:45:00,56.2300,56.5600,56.1700,56.5600,816718,55.8419,,76.00,,33.03,3.95,0
2025-02-03 10:50:00,56.5600,56.7400,56.3200,56.3700,895075,55.9475,,71.64,,33.73,3.67,0
2025-02-03 10:55:00,56.3800,56.5800,56.3500,56.3700,661082,56.0320,,71.64,,32.37,3.52,0
2025-02-03 11:00:00,56.3600,56.4800,56.2000,56.2700,751301,56.0796,,69.22,,30.74,6.04,0
2025-02-03 11:05:00,56.2800,56.2900,55.9200,55.9900,1041185,56.0617,,62.82,,28.68,10.69,0
2025-02-03 11:10:00,55.9800,56.1400,55.9600,56.1400,533692,56.0773,55.5490,64.70,,27.71,10.33,0
2025-02-03 11:15:00,56.1500,56.2600,55.9800,56.2600,487487,56.1139,55.6137,66.18,,28.53,9.78,0
2025-02-03 11:20:00,56.2500,56.4100,56.1000,56.3500,507342,56.1611,55.6806,67.28,,29.72,9.19,0
2025-02-03 11:25:00,56.3400,56.4300,56.2000,56.2700,394554,56.1829,55.7342,65.24,,28.76,8.77,0
2025-02-03 11:30:00,56.2800,56.4000,56.0700,56.3600,680760,56.2183,55.7911,66.47,,26.85,10.79,0
2025-02-03 11:35:00,56.3600,56.4600,56.2300,56.3200,356348,56.2386,55.8392,65.37,,26.82,10.28,0
2025-02-03 11:40:00,56.3300,56.4000,56.2300,56.3200,385372,56.2549,55.8829,65.37,,25.84,9.91,1
2025-02-03 11:45:00,56.3200,56.3300,56.1600,56.1800,557896,56.2399,55.9099,61.22,,24.87,11.09,1
2025-02-03 11:50:00,56.1800,56.4400,56.1800,56.3400,382431,56.2599,55.9490,64.03,56.18,25.89,10.44,1
2025-02-03 11:55:00,56.3300,56.3300,56.1200,56.1600,314775,56.2400,55.9682,58.86,54.82,24.58,11.29,1
