Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,114.7200,114.9600,112.9800,114.3800,25471067,,,,,,,0
2025-02-03 09:35:00,114.3500,114.4500,113.3200,114.0500,12209978,,,,,,,0
2025-02-03 09:40:00,114.0500,114.9600,113.5900,114.4400,9125746,,,,,,,0
2025-02-03 09:45:00,114.4200,114.6400,113.4800,113.5300,8411799,,,,,,,0
2025-02-03 09:50:00,113.5300,114.2500,113.2400,113.7500,7229626,,,,,,,0
2025-02-03 09:55:00,113.7500,114.9600,113.6700,114.7100,7088481,,,,,,,0
2025-02-03 10:00:00,114.6500,115.2200,113.7300,113.9800,7993997,,,,,,,0
2025-02-03 10:05:00,113.9700,114.9400,113.8500,114.8400,5428603,,,,,,,0
2025-02-03 10:10:00,114.8300,114.8500,113.6700,113.8300,5496460,114.1678,,,,,,0
2025-02-03 10:15:00,113.8400,114.2200,113.5800,113.7400,5028161,114.0822,,,,,,0
2025-02-03 10:20:00,113.7500,115.8900,113.7500,115.7100,9862699,114.4078,,,,,,0
2025-02-03 10:25:00,115.7100,116.3600,114.7700,115.7300,7982948,114.6722,,,,,,0
2025-02-03 10:30:00,115.7200,116.8100,115.3900,116.7100,6806648,115.0798,,,,,,0
2025-02-03 10:35:00,116.7200,117.0300,114.1700,116.1800,6588069,115.2998,,,,,,0
2025-02-03 10:40:00,116.1700,117.6100,114.1800,117.5600,6205677,115.7519,,65.32,,21.32,8.44,0
2025-02-03 10:45:00,117.5600,117.7000,114.5000,117.0600,5569549,116.0135,,62.10,,18.80,7.29,0
2025-02-03 10:50:00,117.0600,117.5300,116.9600,117.0600,4001793,116.2228,,62.10,,18.32,7.10,0
2025-02-03 10:55:00,117.0500,117.9600,116.6700,117.8200,4675067,116.5422,,65.13,,19.19,6.68,0
2025-02-03 11:00:00,117.8200,117.9500,117.1500,117.3100,4165303,116.6958,,61.57,,18.47,6.43,0
2025-02-03 11:05:00,117.3100,117.8100,116.7300,117.6400,3840200,116.8846,,62.98,,17.51,8.12,1
2025-02-03 11:10:00,117.6400,117.9200,117.4900,117.5900,2748951,117.0257,115.6010,62.60,,17.69,7.94,1
2025-02-03 11:15:00,117.6000,117.8400,117.2200,117.3900,3053209,117.0986,115.7636,61.04,,17.11,9.10,1
2025-02-03 11:20:00,117.3800,117.5100,116.8000,116.8700,2936436,117.0528,115.8642,57.05,,16.45,11.04,1
2025-02-03 11:25:00,116.8600,117.0700,116.2600,116.5100,4324328,116.9443,115.9229,54.40,,15.70,13.57,1
2025-02-03 11:30:00,116.5100,117.3700,113.8400,117.1800,2955764,116.9914,116.0372,58.28,,12.94,23.23,1
2025-02-03 11:35:00,117.1700,117.1800,116.6600,117.0400,2522991,117.0011,116.1283,57.19,,12.59,22.60,1
2025-02-03 11:40:00,117.0400,117.1500,116.7000,116.8700,2069056,116.9749,116.1958,55.81,,12.28,22.04,1
2025-02-03 11:45:00,116.8700,117.3000,116.5200,116.5300,2793420,116.8859,116.2261,53.07,,11.74,22.09,1
2025-02-03 11:50:00,116.5300,117.1200,114.0800,116.8100,2011084,116.8707,116.2792,55.03,35.21,9.91,31.16,1
2025-02-03 11:55:00,116.7900,116.8200,115.8900,115.9200,3769192,116.6806,116.2466,48.14,36.39,9.43,29.63,1
2025-02-03 12:00:00,115.9100,116.3500,115.8700,116.3400,2481360,116.6125,116.2551,51.24,37.49,9.18,28.96,1
2025-02-03 12:05:00,116.3500,116.6400,116.0500,116.5900,2206707,116.6080,116.2855,53.04,38.05,10.53,27.98,1
2025-02-03 12:10:00,116.5900,116.7500,116.3400,116.6400,1920160,116.6144,116.3177,53.41,38.39,10.93,27.29,1
2025-02-03 12:15:00,116.6400,116.6800,114.5700,116.4400,1824975,116.5795,116.3289,51.66,39.65,9.62,34.10,1
2025-02-03 12:20:00,116.4500,116.4700,116.0400,116.4300,2108129,116.5496,116.3380,51.57,40.82,9.37,33.22,1
2025-02-03 12:25:00,116.3900,116.4700,113.8600,115.8500,2074180,116.4097,116.2937,46.44,42.68,8.02,40.46,1
2025-02-03 12:30:00,115.8500,116.0100,114.6200,115.7500,2269626,116.2777,116.2443,45.60,44.41,7.41,37.38,1
2025-02-03 12:35:00,115.7200,116.0900,115.6000,115.6300,2392139,116.1482,116.1884,44.56,45.90,7.66,36.33,1
2025-02-03 12:40:00,115.6300,115.7700,115.4800,115.6400,2576992,116.0466,116.1386,44.67,47.31,7.52,36.41,1
2025-02-03 12:45:00,115.6400,116.0800,113.2300,115.9300,1992484,116.0232,116.1196,48.00,49.24,6.34,43.10,1
2025-02-03 12:50:00,115.9300,116.4700,115.9000,116.3600,2294461,116.0906,116.1415,52.56,50.48,8.37,41.69,1
2025-02-03 12:55:00,116.3700,116.4200,113.2300,116.2700,3190618,116.1265,116.1531,51.54,52.22,6.99,48.61,1
2025-02-03 13:00:00,116.2600,116.3400,115.7200,115.9600,2459477,116.0932,116.1356,48.08,53.84,6.76,46.99,1
2025-02-03 13:05:00,115.9500,116.1500,115.5500,115.7100,2300879,116.0165,116.0969,45.44,55.37,6.53,46.36,1
2025-02-03 13:10:00,115.6900,116.0200,115.5600,115.8500,1980423,115.9832,116.0744,47.19,56.79,6.36,45.11,1
2025-02-03 13:15:00,115.8600,116.0900,115.7100,115.8700,2284542,115.9606,116.0559,47.45,58.01,6.64,44.06,1
2025-02-03 13:20:00,115.8700,116.0600,115.5100,115.7100,2186533,115.9105,116.0244,45.52,59.18,6.41,43.78,1
2025-02-03 13:25:00,115.7200,116.2300,115.6700,115.9100,2496397,115.9104,116.0140,48.35,59.99,7.30,42.15,1
2025-02-03 13:30:00,115.9100,116.1700,115.8600,116.0000,2075719,115.9283,116.0127,49.61,60.74,7.14,41.24,1
2025-02-03 13:35:00,116.0000,116.2700,115.9400,116.0700,1778492,115.9566,116.0179,50.63,61.25,7.70,40.24,1
2025-02-03 13:40:00,116.0600,116.1900,113.3200,116.1200,2141793,115.9893,116.0272,51.38,62.42,6.28,49.70,1
2025-02-03 13:45:00,116.1300,116.8000,116.0700,116.7400,2947321,116.1395,116.0920,59.60,62.61,10.01,47.30,1
2025-02-03 13:50:00,116.7400,117.0700,113.7600,116.6800,2868310,116.2476,116.1455,58.57,63.34,8.10,51.59,1
2025-02-03 13:55:00,116.7000,116.9800,116.6700,116.9200,1814275,116.3820,116.2159,61.45,64.02,7.94,50.61,1
2025-02-03 14:00:00,116.9200,117.2600,116.8900,117.2100,2596932,116.5476,116.3063,64.64,64.27,9.55,49.41,1
2025-02-03 14:05:00,117.2000,117.7900,114.7700,117.7700,2948667,116.7921,116.4393,69.84,64.97,7.90,53.00,1
2025-02-03 14:10:00,117.7700,118.2300,114.7700,118.2100,6174588,117.0757,116.6003,73.17,65.09,8.75,43.70,1
2025-02-03 14:15:00,118.2200,118.5400,114.5700,118.2500,4200689,117.3106,116.7503,73.46,64.83,8.58,35.92,1
2025-02-03 14:20:00,118.2500,118.3300,114.7700,117.9500,3401964,117.4384,116.8593,67.61,64.59,7.32,30.65,1
2025-02-03 14:25:00,117.9500,118.0800,117.5900,117.6100,2355313,117.4728,116.9276,61.62,64.36,7.17,29.99,1
2025-02-03 14:30:00,117.6100,117.8700,117.3600,117.7900,3553511,117.5362,117.0060,63.47,64.23,7.00,30.35,1
2025-02-03 14:35:00,117.8000,117.8400,117.4300,117.6400,1985800,117.5570,117.0636,60.84,64.11,6.86,29.75,1
2025-02-03 14:40:00,117.6400,117.8400,117.4800,117.6400,2044726,117.5736,117.1160,60.84,64.00,6.73,29.20,1
2025-02-03 14:45:00,117.6300,118.1000,117.5500,117.9400,2341844,117.6469,117.1909,64.27,63.45,7.92,28.34,1
2025-02-03 14:50:00,117.9300,117.9700,117.6700,117.7700,2106814,117.6715,117.2436,61.01,62.94,7.79,27.86,1
2025-02-03 14:55:00,117.7700,117.9300,117.5300,117.7800,1883283,117.6932,117.2923,61.14,62.54,7.60,28.03,1
2025-02-03 15:00:00,117.7700,117.9300,117.6000,117.8400,1791468,117.7226,117.3421,61.92,62.16,7.45,27.45,1
2025-02-03 15:05:00,117.8400,117.8400,117.1200,117.3600,3108530,117.6500,117.3437,52.72,62.08,7.10,29.27,1
2025-02-03 15:10:00,117.3600,117.6400,117.2800,117.6100,1897543,117.6420,117.3680,56.36,62.00,6.93,28.56,1
2025-02-03 15:15:00,117.6100,117.9100,117.4700,117.9100,1931094,117.6956,117.4172,60.30,61.32,8.62,27.67,1
2025-02-03 15:20:00,117.9000,118.1000,117.7500,118.0100,2539837,117.7585,117.4711,61.55,60.27,9.80,26.96,1
2025-02-03 15:25:00,118.0000,118.0200,117.3800,117.4400,2597681,117.6948,117.4683,51.59,59.58,9.32,28.45,1
2025-02-03 15:30:00,117.4400,117.8100,117.3900,117.6400,2313944,117.6838,117.4839,54.38,58.95,9.02,27.51,1
2025-02-03 15:35:00,117.6300,117.9000,114.7700,117.6300,2093605,117.6731,117.4972,54.21,59.69,7.12,39.31,1
2025-02-03 15:40:00,117.6400,117.6600,116.9500,117.1600,3341521,117.5705,117.4665,46.87,60.38,6.77,37.40,1
2025-02-03 15:45:00,117.1600,117.2100,116.5700,116.7900,3869145,117.4144,117.4050,42.05,61.15,6.47,38.39,1
2025-02-03 15:50:00,116.8000,116.9000,115.9800,116.4800,7169089,117.2275,117.3209,38.47,62.05,6.04,40.07,1
2025-02-03 15:55:00,116.4800,116.8200,116.2200,116.6300,6802955,117.1080,117.2581,41.08,62.89,5.78,38.31,1
2025-02-04 09:30:00,116.9300,118.0600,116.6700,117.7900,9556968,117.2444,117.3065,56.46,61.41,13.98,34.43,1
2025-02-04 09:35:00,117.7900,118.9200,117.7700,118.4100,6614428,117.4775,117.4068,62.15,58.83,18.89,31.65,1
2025-02-04 09:40:00,118.4000,118.8500,117.8600,118.4700,5540493,117.6760,117.5034,62.66,56.43,17.57,29.45,1
2025-02-04 09:45:00,118.4600,118.6300,118.0800,118.5400,3570869,117.8488,117.5977,63.28,54.20,16.87,28.27,1
