Datetime,Open,High,Low,Close,Volume,ema9,ema21,rsi14,adx14,pdi14,mdi14,squeeze_on
2025-02-03 09:30:00,386.6800,389.1700,384.7000,385.5500,4459615,,,,,,,0
2025-02-03 09:35:00,385.5700,388.0800,383.5900,385.7600,2949214,,,,,,,0
2025-02-03 09:40:00,385.7500,387.1600,383.0600,385.6000,2186243,,,,,,,0
2025-02-03 09:45:00,385.6500,385.8000,381.7600,381.8000,2627223,,,,,,,0
2025-02-03 09:50:00,381.8500,383.0000,379.4100,380.9500,3326453,,,,,,,0
2025-02-03 09:55:00,381.0700,382.7000,380.0300,381.8100,1748471,,,,,,,0
2025-02-03 10:00:00,381.6800,382.3700,377.6200,378.3500,2569261,,,,,,,0
2025-02-03 10:05:00,378.2000,379.5900,376.0200,378.5500,2376619,,,,,,,0
2025-02-03 10:10:00,378.5200,378.6500,375.5000,376.2500,1743515,381.6244,,,,,,0
2025-02-03 10:15:00,376.2400,376.9000,374.6100,375.1000,2222637,380.3196,,,,,,0
2025-02-03 10:20:00,375.1300,383.4000,374.3600,382.5200,3213888,380.7596,,,,,,0
2025-02-03 10:25:00,382.6500,385.2500,381.2500,384.5600,2976285,381.5197,,,,,,0
2025-02-03 10:30:00,384.4200,385.8900,383.1100,385.2700,1860158,382.2698,,,,,,0
2025-02-03 10:35:00,385.1600,386.1400,382.2300,383.8000,1543530,382.5758,,,,,,0
2025-02-03 10:40:00,383.8000,387.9800,383.1800,386.4900,1726611,383.3587,,51.72,,18.94,20.27,0
2025-02-03 10:45:00,386.5200,386.5900,384.5100,386.1600,1213851,383.9189,,51.06,,18.23,19.51,0
2025-02-03 10:50:00,386.2200,386.7800,385.0000,386.2800,1030008,384.3911,,51.30,,17.97,18.85,0
2025-02-03 10:55:00,386.1400,389.1000,385.5000,388.1000,1382173,385.1329,,54.98,,21.14,17.57,0
2025-02-03 11:00:00,388.0800,388.4400,386.1200,387.0000,1032997,385.5063,,52.40,,20.18,16.77,0
2025-02-03 11:05:00,387.1300,387.5500,385.0000,387.1700,1046176,385.8391,,52.77,,19.16,18.15,1
2025-02-03 11:10:00,387.2100,387.9000,385.1100,385.7300,774892,385.8173,383.4667,49.29,,18.79,17.13,1
2025-02-03 11:15:00,385.7400,386.1600,384.0000,385.1300,1109509,385.6798,383.6179,47.87,,17.94,18.67,1
2025-02-03 11:20:00,385.1000,386.3800,384.3900,385.9000,725539,385.7238,383.8253,49.87,,17.65,17.87,1
2025-02-03 11:25:00,385.7700,386.6100,384.2500,384.3000,601626,385.4391,383.8685,45.94,,17.24,16.95,1
2025-02-03 11:30:00,384.3000,385.5800,383.3300,385.4400,804373,385.4393,384.0114,49.02,,16.37,18.15,1
2025-02-03 11:35:00,385.3200,386.2000,384.7100,385.4800,656352,385.4474,384.1449,49.13,,17.25,17.52,1
2025-02-03 11:40:00,385.5600,385.9500,384.7500,385.6900,542683,385.4959,384.2853,49.74,,16.74,17.01,1
2025-02-03 11:45:00,385.7000,387.1000,385.3100,385.7000,700367,385.5367,384.4139,49.77,,18.87,16.25,1
