streak_len,streak_bin,date,next_day_ret,next_day_range,max_bounce_3d,rsi,vix,vix_bucket,ticker,split
2,2,2025-02-26,-0.012161484453360072,0.02244232698094273,0.006394182547642934,58.170376505590305,19.43,<20,AAPL,B
3,3,2025-02-27,0.018784109658586123,0.050048652536277924,0.018784109658586106,51.14050687839848,19.1,<20,AAPL,B
2,2,2025-03-04,-0.001063558240449236,0.03101335829150001,0.012549987237301066,47.869680654600614,22.78,20-25,AAPL,A
3,3,2025-03-05,-0.002129381201822711,0.01993100804906097,0.013628039691665553,47.42316435859566,23.51,20-25,AAPL,B
4,4,2025-03-06,0.015791046050104507,0.0280824548674833,0.015791046050104514,46.48917210462338,21.93,20-25,AAPL,B
2,2,2025-03-11,-0.017198234678556856,0.03098412120660632,-0.01719823467855681,30.88962884178521,27.86,>=25,AAPL,A
3,3,2025-03-12,-0.03333179019489829,0.03879450025461782,-0.01286977454747466,28.09471302193755,26.92,>=25,AAPL,B
4,4,2025-03-13,0.01752789617355499,0.020832335616110313,0.02116756860303619,23.696590826711542,24.23,20-25,AAPL,B
2,2,2025-04-04,-0.03603987844538037,0.10369462067494796,0.05560590712800558,24.81615660936899,30.02,>=25,AAPL,A
3,3,2025-04-07,-0.048559261102815166,0.11630993860959019,0.09507217521154802,22.415437431438562,45.31,>=25,AAPL,A
4,4,2025-04-08,0.15096204150438886,0.16625007266174502,0.15096204150438877,19.743840273036795,46.98,>=25,AAPL,A
2,2,2025-04-16,0.013232025637049727,0.022690856463534328,0.027084302475836094,41.5535686418845,30.12,>=25,AAPL,B
2,2,2025-05-05,-0.001818916734033893,0.018239692805173735,-0.0018189167340338785,43.26562754884231,22.68,20-25,AAPL,B
3,3,2025-05-06,-0.01103462239319708,0.031231018424782424,0.0006580279408786974,43.008357360659964,23.64,20-25,AAPL,B
4,4,2025-05-07,0.006039512744395514,0.027331354283959483,0.07580100317330332,41.40283907713612,24.76,20-25,AAPL,B
2,2,2025-05-15,-0.0012333380769412594,0.01323466628717799,-0.0012333380769412785,55.36561922305448,18.62,<20,AAPL,A
3,3,2025-05-16,-0.01154120161481842,0.02469722156257429,-0.011541201614818366,55.0701689483063,17.83,<20,AAPL,B
4,4,2025-05-19,-0.009033250048049224,0.016480876417451502,-0.00903325004804918,52.26307588069422,17.24,<20,AAPL,A
5,5,2025-05-20,-0.023273855702094726,0.030595422808378597,-0.0232738557020947,50.133915921819984,18.14,<20,AAPL,A
6,5,2025-05-21,-0.003375694996028633,0.015091342335186617,-0.003375694996028628,45.08379411255412,18.09,<20,AAPL,B
7,5,2025-05-22,-0.02998605299860524,0.021069934249850517,-0.0047818290496113745,44.40142479582072,20.87,20-25,AAPL,B
8,5,2025-05-23,0.02485365102187531,0.01694567115127854,0.025983362431960574,38.80220292457967,20.28,20-25,AAPL,A
