streak_len,streak_bin,date,bar_num,bar_label,next_bar_ret,next_2bar_ret,rsi,vix,vix_bucket,ticker,split
2,2,2025-02-07,2,2025-02-07_B2,0.00441520596935847,0.0007947370744844293,,,>=25,AAPL,A
2,2,2025-02-26,1,2025-02-26_B1,-0.00012536041118215344,0.00651874138147174,48.52980617085116,19.43,<20,AAPL,B
3,3,2025-02-26,2,2025-02-26_B2,0.006644934804413254,-0.012161484453360067,48.46055064492739,19.43,<20,AAPL,B
2,2,2025-03-03,2,2025-03-03_B2,-0.005819838056680142,-0.008687584345479091,45.14685571526447,19.63,<20,AAPL,A
3,3,2025-03-04,1,2025-03-04_B1,-0.0028845338084330483,-0.008738440654958862,42.64888762642252,22.78,20-25,AAPL,B
4,4,2025-03-04,2,2025-03-04_B2,-0.005870841487279824,-0.001063558240449247,41.43238290618993,22.78,20-25,AAPL,B
5,5,2025-03-05,1,2025-03-05_B1,0.004835672714823671,-0.0016689489900719565,39.00108784451139,23.51,20-25,AAPL,B
2,2,2025-03-10,1,2025-03-10_B1,0.010345596432552924,-0.03322185061315491,31.859870131913866,23.37,20-25,AAPL,A
2,2,2025-03-12,2,2025-03-12_B2,-0.026665432155918666,-0.033331790194898334,30.153829895508053,26.92,>=25,AAPL,B
3,3,2025-03-13,1,2025-03-13_B1,-0.006848989298454211,0.005517241379310329,26.227426088643384,24.23,20-25,AAPL,A
4,4,2025-03-13,2,2025-03-13_B2,0.012451510942962474,0.01752789617355489,25.339108018722683,24.23,20-25,AAPL,B
2,2,2025-03-26,2,2025-03-26_B2,0.007711849029214247,0.011477045908183638,51.040942968983316,17.15,<20,AAPL,A
2,2,2025-03-28,2,2025-03-28_B2,0.009266088880693434,0.019039277152867528,44.102957749898806,18.69,<20,AAPL,B
2,2,2025-04-03,1,2025-04-03_B1,-0.00462757839807019,-0.06380150642445728,29.034749348226597,21.51,20-25,AAPL,B
3,3,2025-04-03,2,2025-04-03_B2,-0.05944903308768985,-0.07230822493694053,28.345715628054975,21.51,20-25,AAPL,B
4,4,2025-04-04,1,2025-04-04_B1,-0.013671977704159408,-0.04948204238313087,21.36395024990638,30.02,>=25,AAPL,B
5,5,2025-04-04,2,2025-04-04_B2,-0.03630644559364505,-0.03603987844538034,20.20468334791329,30.02,>=25,AAPL,A
6,6,2025-04-07,1,2025-04-07_B1,0.00027660986944020455,-0.0358486390794423,17.52267175088403,45.31,>=25,AAPL,A
2,2,2025-04-08,2,2025-04-08_B2,0.09120502237981747,0.15096204150438877,14.647626491712316,46.98,>=25,AAPL,A
2,2,2025-04-15,1,2025-04-15_B1,0.0026402311447643774,-0.019079406197070898,50.112639595238406,30.89,>=25,AAPL,A
2,2,2025-04-16,2,2025-04-16_B2,0.012405024034734096,0.013232025637049684,43.95776288811872,30.12,>=25,AAPL,A
