streak,vix_bucket,mean_ret,win_rate,n_obs,p_value,flag
2,<20,0.0593,51.95,1284,0.288,
2,20-25,0.1102,52.99,334,0.3615,
2,>=25,0.2328,51.22,123,0.2517,
3,<20,0.1595,53.14,574,0.1036,
3,20-25,0.0547,61.99,171,0.8261,
3,>=25,0.8005,64.63,82,0.0009,
4,<20,-0.0394,46.0,250,0.7521,
4,20-25,-0.1345,51.67,60,0.446,
4,>=25,0.1318,53.19,47,0.6789,
5,<20,-0.0019,52.27,132,0.9912,
5,20-25,-0.0377,45.45,33,0.8766,
5,>=25,0.916,68.42,19,0.094,N<20
6,<20,-0.0904,45.61,57,0.6506,
6,20-25,0.4641,68.18,22,0.1955,
6,>=25,0.2712,62.5,8,0.4305,N<20
7,<20,0.4993,53.85,26,0.4868,
7,20-25,0.3356,66.67,12,0.3886,N<20
7,>=25,-0.7884,66.67,3,0.3804,N<20
8+,<20,1.3511,78.57,14,0.1685,N<20
8+,20-25,0.3696,50.0,10,0.5568,N<20
8+,>=25,4.68,50.0,2,0.5898,N<20
