streak,vix_bucket,mean_ret_2bar,win_rate,n_obs,p_value,flag
2,<20,0.0062,51.09,1284,0.9371,
2,20-25,0.4505,60.48,334,0.0212,
2,>=25,1.3858,57.5,120,0.0002,
3,<20,0.1422,52.61,574,0.2422,
3,20-25,-0.3236,50.29,171,0.2906,
3,>=25,2.0806,71.79,78,0.0001,
4,<20,-0.0064,51.2,250,0.9718,
4,20-25,-0.0929,56.67,60,0.7116,
4,>=25,0.955,63.04,46,0.075,
5,<20,-0.0287,46.97,132,0.9023,
5,20-25,0.4945,48.48,33,0.2946,
5,>=25,1.0441,68.42,19,0.0502,N<20
6,<20,0.0265,56.14,57,0.9489,
6,20-25,0.6838,59.09,22,0.2534,
6,>=25,-0.2607,25.0,8,0.782,N<20
7,<20,1.2437,65.38,26,0.0421,
7,20-25,0.4591,66.67,12,0.4569,N<20
7,>=25,-2.5695,0.0,3,0.1889,N<20
8+,<20,0.3485,71.43,14,0.6334,N<20
8+,20-25,0.9112,70.0,10,0.2385,N<20
8+,>=25,16.2462,100.0,2,0.0286,N<20
