ticker,date,session,timestamp,direction,close,ema_9,ema_21,ema_spread,rsi_14,adx_14
AAPL,2025-03-03,PM,2025-03-03 13:30:00,DOWN,237.1200,239.7170,239.8045,-0.0875,46.14,27.93
AAPL,2025-03-26,AM,2025-03-26 09:30:00,UP,221.1300,218.8452,218.7924,0.0528,52.49,25.39
AAPL,2025-04-03,AM,2025-04-03 09:30:00,DOWN,203.1300,217.7557,218.7958,-1.0401,29.08,19.52
AAPL,2025-04-23,PM,2025-04-23 13:30:00,UP,203.4900,198.7069,198.0901,0.6168,54.85,16.31
AAPL,2025-05-05,PM,2025-05-05 13:30:00,DOWN,197.9200,204.4404,204.5421,-0.1017,39.80,19.73
AAPL,2025-05-12,PM,2025-05-12 13:30:00,UP,210.1900,202.4393,202.1224,0.3169,62.20,23.30
AAPL,2025-05-21,PM,2025-05-21 13:30:00,DOWN,201.4400,205.7125,206.0302,-0.3177,39.99,20.74
AAPL,2025-06-06,PM,2025-06-06 13:30:00,UP,203.3100,201.9664,201.7986,0.1679,54.19,15.68
AAPL,2025-06-09,AM,2025-06-09 09:30:00,DOWN,200.1100,201.5952,201.6451,-0.0499,45.20,14.94
AAPL,2025-06-24,AM,2025-06-24 09:30:00,UP,201.3400,199.2601,199.0582,0.2019,57.39,15.64
AAPL,2025-07-30,PM,2025-07-30 13:30:00,DOWN,208.3800,211.0627,211.2991,-0.2364,39.17,27.65
AAPL,2025-08-07,AM,2025-08-07 09:30:00,UP,218.0400,209.7064,209.0750,0.6314,66.38,28.32
AAPL,2025-09-10,PM,2025-09-10 13:30:00,DOWN,226.3500,232.6928,232.7028,-0.0101,37.71,22.31
AAPL,2025-09-15,AM,2025-09-15 09:30:00,UP,235.3100,232.7566,232.5800,0.1766,57.11,18.98
AAPL,2025-10-10,PM,2025-10-10 13:30:00,DOWN,244.8100,251.9448,252.7236,-0.7787,34.39,33.50
AAPL,2025-10-20,AM,2025-10-20 09:30:00,UP,262.6600,251.9561,251.2957,0.6604,69.76,26.85
AAPL,2025-11-18,PM,2025-11-18 13:30:00,DOWN,267.1800,269.6081,269.7377,-0.1297,44.80,26.02
AAPL,2025-11-24,AM,2025-11-24 09:30:00,UP,275.8600,270.7407,270.0915,0.6491,63.00,26.85
AAPL,2025-12-15,AM,2025-12-15 09:30:00,DOWN,273.7600,277.3559,277.7665,-0.4106,40.26,18.31
AAPL,2026-01-29,PM,2026-01-29 13:30:00,UP,257.9300,255.7394,255.5026,0.2368,53.36,35.52
AAPL,2026-02-13,PM,2026-02-13 13:30:00,DOWN,255.7900,265.4899,266.8098,-1.3198,36.04,32.85
AAPL,2026-02-24,AM,2026-02-24 09:30:00,UP,271.6000,266.4288,266.0151,0.4137,57.62,22.48
AAPL,2026-03-02,PM,2026-03-02 13:30:00,DOWN,264.6000,267.3730,267.5085,-0.1355,45.91,20.95
AMD,2025-02-24,AM,2025-02-24 09:30:00,DOWN,109.9100,112.1516,112.3277,-0.1761,40.72,10.27
AMD,2025-03-17,PM,2025-03-17 13:30:00,UP,104.5900,101.2936,101.0430,0.2506,58.03,26.88
AMD,2025-03-31,AM,2025-03-31 09:30:00,DOWN,101.2200,105.6482,105.9954,-0.3472,40.21,21.25
AMD,2025-04-25,AM,2025-04-25 09:30:00,UP,97.0500,91.9595,91.2881,0.6714,58.74,18.06
AMD,2025-08-19,PM,2025-08-19 13:30:00,DOWN,166.5600,173.5445,173.9743,-0.4297,40.53,18.90
AMD,2025-09-23,AM,2025-09-23 09:30:00,UP,161.5400,159.3285,159.1379,0.1906,54.20,13.44
AMD,2025-11-07,AM,2025-11-07 09:30:00,DOWN,229.5700,245.8092,247.5087,-1.6994,37.71,32.83
AMD,2025-11-12,PM,2025-11-12 13:30:00,UP,258.8900,247.3331,246.7694,0.5636,59.23,26.16
AMD,2025-11-17,AM,2025-11-17 09:30:00,DOWN,242.0700,246.6919,246.7684,-0.0766,47.11,23.79
AMD,2025-12-09,PM,2025-12-09 13:30:00,UP,221.5600,219.7334,219.5336,0.1999,51.42,26.00
AMD,2025-12-12,AM,2025-12-12 09:30:00,DOWN,214.2500,218.7538,219.1683,-0.4146,43.02,22.05
AMD,2025-12-24,AM,2025-12-24 09:30:00,UP,214.9500,212.6980,212.5386,0.1594,52.54,19.01
AMD,2026-01-07,PM,2026-01-07 13:30:00,DOWN,210.0200,214.5290,214.9886,-0.4595,41.33,15.55
AMD,2026-01-13,PM,2026-01-13 13:30:00,UP,221.0200,212.9358,212.7679,0.1679,60.53,15.32
AMD,2026-02-04,AM,2026-02-04 09:30:00,DOWN,220.6900,242.4517,242.7717,-0.3200,36.17,30.17
AMD,2026-03-11,AM,2026-03-11 09:30:00,UP,205.4200,201.4751,201.3735,0.1016,53.11,21.02
AMD,2026-03-12,PM,2026-03-12 13:30:00,DOWN,197.8000,200.7280,201.0879,-0.3599,45.59,19.62
AMZN,2025-03-25,AM,2025-03-25 09:30:00,UP,204.9200,199.2343,198.6401,0.5942,59.70,27.36
AMZN,2025-03-28,PM,2025-03-28 13:30:00,DOWN,192.6400,197.9991,198.6811,-0.6819,38.26,21.15
AMZN,2025-04-24,PM,2025-04-24 13:30:00,UP,186.4800,179.5748,179.1073,0.4676,57.56,21.79
AMZN,2025-06-23,AM,2025-06-23 09:30:00,DOWN,209.5000,211.9302,212.0904,-0.1603,44.30,17.11
AMZN,2025-06-26,AM,2025-06-26 09:30:00,UP,216.1800,212.8449,212.4137,0.4312,60.22,15.07
