mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
0.004429094365041416,-0.0009960701453393672,0.5,14,0.5748685290294654,0.5751946534632002,2,<16,BTC
-0.012899307816195398,-0.01778432823265208,0.15384615384615385,13,-1.6034165328219747,0.134822702778577,2,16-20,BTC
-0.016367079108643618,-0.017223735239374094,0.21428571428571427,14,-2.6043640882047376,0.021824500351757477,2,20-25,BTC
0.0038251377065408043,0.0038251377065408043,0.5,2,0.13907011417600065,0.91202945124304,2,>=25,BTC
-0.01845633271441779,-0.024073407961219817,0.14285714285714285,7,-2.458453748716803,0.049222641502060765,3,<16,BTC
-0.007604652594181627,-0.01512176383193975,0.4,10,-0.9328128366584579,0.3752638728234663,3,16-20,BTC
-0.021779196868722105,-0.028293024150330803,0.16666666666666666,12,-3.6806396113205997,0.0036217806376931633,3,20-25,BTC
-0.033966290057127924,-0.033966290057127924,0.0,1,,,3,>=25,BTC
-0.023469635831572983,-0.03371944649318093,0.3333333333333333,3,-1.3668817556116952,0.3050281991877202,4,<16,BTC
-0.00649026633522049,-0.018126292769506724,0.36363636363636365,11,-0.6290672529317726,0.543407106655551,4,16-20,BTC
-0.003200648868531303,-0.008475728004326388,0.375,8,-0.2711920014663907,0.7940665568578961,4,20-25,BTC
0.11249723782165089,0.11249723782165089,1.0,1,,,4,>=25,BTC
-0.00920606088522824,-0.02461123058514192,0.3333333333333333,3,-0.4175935614373294,0.7168049656901498,5,<16,BTC
-0.01842498988362873,-0.03103443416831464,0.14285714285714285,7,-1.4907233284358217,0.1866240058320733,5,16-20,BTC
-0.02420395522439145,-0.03340522793421097,0.25,4,-2.056059431153538,0.13199391387596887,5,20-25,BTC
,,,0,,,5,>=25,BTC
-0.0031684223103896625,0.00043772890521709407,0.5,6,-0.43217399341414076,0.6836183132745496,6+,<16,BTC
-0.02380774487425313,-0.022543034771270953,0.14285714285714285,21,-6.962149335709797,9.297899467857058e-07,6+,16-20,BTC
-0.003453299861910715,-0.008994001491212877,0.45454545454545453,11,-0.3974200148927041,0.6994083704071697,6+,20-25,BTC
,,,0,,,6+,>=25,BTC
