mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
-0.00874130402584127,-0.01609723209802194,0.3333333333333333,12,-1.3735195537474512,0.19693608522735773,2,<16,ETH
-0.007547449963425482,-0.01855471392528335,0.35714285714285715,14,-0.7006551487544476,0.49586818613203326,2,16-20,ETH
0.006485689740109629,0.012341493566301431,0.5833333333333334,12,0.4988613011547742,0.6277025821999562,2,20-25,ETH
-0.0181265206812653,-0.0181265206812653,0.0,1,,,2,>=25,ETH
-0.005812213023869986,-0.01553743686766379,0.25,8,-0.5956433081879278,0.570162242806932,3,<16,ETH
-0.03260243596561638,-0.0375067609153813,0.0,9,-5.6916533035219805,0.0004587760572316635,3,16-20,ETH
-0.016050002644566196,-0.019038048565607646,0.2,5,-1.074162138170584,0.34322941036586013,3,20-25,ETH
-0.015983149547763476,-0.015983149547763476,0.0,1,,,3,>=25,ETH
-0.014433833983113865,-0.023274419957815207,0.4,5,-0.7371874603331641,0.5019115676236913,4,<16,ETH
-0.0037923777738201104,-0.024049251893104362,0.3,10,-0.2800240324615881,0.7857886995745225,4,16-20,ETH
-0.005294255983450606,-0.014243415051711228,0.3333333333333333,3,-0.19215451801227357,0.8653633627532133,4,20-25,ETH
-0.041437560519264005,-0.041437560519264005,0.0,2,-9.651760741221716,0.0657244197519314,4,>=25,ETH
-0.025048101250348842,-0.018576388888888906,0.0,3,-2.094102010474767,0.1712788343188285,5,<16,ETH
-0.017279066722616164,-0.017483480176211375,0.2,5,-3.118241909285726,0.03558704221538022,5,16-20,ETH
-0.04641680252146898,-0.04578242308258518,0.0,5,-6.073131012758988,0.003713747648356381,5,20-25,ETH
-0.01749064806389633,-0.01749064806389633,0.0,1,,,5,>=25,ETH
-0.02245961067661544,-0.030005318106753887,0.10526315789473684,19,-3.1696901255884216,0.005304158012376468,6+,<16,ETH
-0.0190988735873669,-0.029697714488743976,0.19230769230769232,26,-2.920090808985965,0.00731000731882177,6+,16-20,ETH
-0.005342996464886603,-0.012806352197857529,0.45454545454545453,11,-0.5344652428161634,0.6046980969691496,6+,20-25,ETH
-0.01907438892539755,-0.02191809014200463,0.3333333333333333,3,-0.9966391364537349,0.4239455032151813,6+,>=25,ETH
