mean,median,win_rate,N,t_stat,p_value,streak,vix,ticker
0.0032539217963649804,0.0028529712105196665,0.5333333333333333,15,0.5978525564649985,0.5594858024083734,2,<16,ETH
0.03333496716495763,0.030611149329759786,0.8695652173913043,23,3.7859709825904035,0.0010150549908315384,2,16-20,ETH
0.019464346817771698,0.008925000632799307,0.5714285714285714,7,1.3209663621924026,0.23465484045586552,2,20-25,ETH
0.04037986745184077,0.03762195758902423,1.0,4,3.5071876915260765,0.039277234760675454,2,>=25,ETH
0.043390789677650525,0.025872313896627735,1.0,5,1.8877122548757759,0.1320990399361592,3,<16,ETH
0.03295732407588189,0.0319642790131117,0.7857142857142857,14,2.171973094159182,0.048949633593696425,3,16-20,ETH
0.041103194587211914,0.059397830048313977,0.8,5,1.8123623878138575,0.14415084677141432,3,20-25,ETH
0.05275182815973267,0.05275182815973267,1.0,2,2.5188320443675782,0.24059492120240936,3,>=25,ETH
0.052427158383761045,0.052427158383761045,1.0,2,1.9786337747839644,0.29791110116449226,4,<16,ETH
0.02130286427849093,0.030039171423561828,0.6666666666666666,6,1.2397444600116143,0.27008014702675676,4,16-20,ETH
-0.011164294048046012,-0.011164294048046012,0.0,1,,,4,20-25,ETH
0.0403894000108511,0.0403894000108511,1.0,1,,,4,>=25,ETH
,,,0,,,5,<16,ETH
0.04316961442749265,0.04316961442749265,1.0,2,11.643930967739685,0.05454012919894162,5,16-20,ETH
0.07939662100698593,0.07939662100698593,1.0,1,,,5,20-25,ETH
,,,0,,,5,>=25,ETH
,,,0,,,6+,<16,ETH
,,,0,,,6+,16-20,ETH
0.1137075554441801,0.1137075554441801,1.0,1,,,6+,20-25,ETH
,,,0,,,6+,>=25,ETH
