parameter,value,frozen,n,wr_pct,profit_factor,mean_pct,sharpe,worst_pct,p_value
streak,2,False,50,90.0,61.58,7.3345,1.2099,-2.5305,2.739623729875841e-11
streak,3,True,37,91.89,80.0,7.988,1.3842,-2.5305,4.973055134815251e-10
streak,4,False,19,94.74,511.37,8.421,1.4768,-0.3135,4.659300801953083e-06
vix_threshold,24,False,55,83.64,15.53,5.4979,0.9031,-4.6148,1.2775534504014225e-08
vix_threshold,25,True,37,91.89,80.0,7.988,1.3842,-2.5305,4.973055134815251e-10
vix_threshold,26,False,36,91.67,78.89,8.0944,1.3918,-2.5305,7.565255378265221e-10
rsi_gate,33,False,32,93.75,79.61,8.4204,1.5139,-2.5305,1.1325682988562365e-09
rsi_gate,34,False,36,91.67,86.06,8.1486,1.4096,-2.5305,5.600664495837325e-10
rsi_gate,35,True,37,91.89,80.0,7.988,1.3842,-2.5305,4.973055134815251e-10
rsi_gate,36,False,41,92.68,86.53,7.8048,1.3766,-2.5305,6.445319095107366e-11
ema_exit,13,False,37,91.89,75.79,7.5623,1.4462,-2.5305,1.6992970715123772e-10
ema_exit,21,True,37,91.89,80.0,7.988,1.3842,-2.5305,4.973055134815251e-10
ema_exit,34,False,37,89.19,34.23,7.6182,1.078,-4.7421,1.258592439871871e-07
hard_max,8,False,37,91.89,103.73,8.0954,1.3697,-1.5565,6.41652707407942e-10
hard_max,10,True,37,91.89,80.0,7.988,1.3842,-2.5305,4.973055134815251e-10
hard_max,12,False,37,94.59,102.72,8.549,1.4821,-2.7963,9.191230885544766e-11
hard_max,15,False,37,94.59,97.68,8.6864,1.5334,-3.0109,3.8577474691360225e-11
