slippage_bps,ticker,trigger_time,original_entry,slipped_entry,exit_price,return_pct,exit_reason,hold_bars
0,AAPL,2025-04-04 09:30:00,190.17,190.17,195.99,3.0604,hard_max,10
0,AMD,2025-03-11 09:30:00,96.13,96.13,100.98,5.0453,ema21_touch,2
0,AMD,2025-04-04 09:30:00,86.33,86.33,96.72,12.0352,ema21_touch,7
0,AMD,2025-11-21 09:30:00,201.52,201.52,219.57,8.9569,hard_max,10
0,AMZN,2025-04-21 09:30:00,165.64,165.64,181.96,9.8527,ema21_touch,4
0,AVGO,2025-04-04 09:30:00,141.6,141.6,170.32,20.2825,ema21_touch,6
0,BA,2025-04-04 09:30:00,137.59,137.59,160.68,16.7817,ema21_touch,7
0,BA,2025-11-21 09:30:00,179.68,179.68,187.42,4.3077,ema21_touch,6
0,C,2025-04-04 09:30:00,56.63,56.63,59.42,4.9267,hard_max,10
0,COIN,2025-03-11 09:30:00,183.89,183.89,182.24,-0.8973,hard_max,10
0,COIN,2025-04-08 13:30:00,151.55,151.55,177.13,16.8789,ema21_touch,2
0,COIN,2025-11-21 09:30:00,239.1,239.1,273.89,14.5504,ema21_touch,8
0,COST,2025-03-11 09:30:00,918.01,918.01,894.78,-2.5305,hard_max,10
0,GOOGL,2025-04-04 13:30:00,145.11,145.11,158.23,9.0414,ema21_touch,6
0,GS,2025-04-04 09:30:00,462.91,462.91,506.43,9.4014,ema21_touch,7
0,GS,2025-10-17 09:30:00,741.81,741.81,772.65,4.1574,ema21_touch,10
0,GS,2026-03-13 09:30:00,786.1,786.1,805.36,2.4501,data_end,7
0,JPM,2025-04-04 09:30:00,208.98,208.98,231.02,10.5465,ema21_touch,7
0,JPM,2025-11-21 09:30:00,295.77,295.77,305.91,3.4283,ema21_touch,6
0,MARA,2025-04-08 13:30:00,10.52,10.52,12.29,16.8251,ema21_touch,2
0,MARA,2025-11-21 09:30:00,10.02,10.02,11.44,14.1717,hard_max,10
0,META,2025-04-08 13:30:00,509.65,509.65,583.4,14.4707,ema21_touch,2
0,META,2026-03-13 09:30:00,615.16,615.16,615.72,0.091,data_end,7
0,MSFT,2025-03-11 09:30:00,374.33,374.33,385.58,3.0054,ema21_touch,7
0,MSFT,2025-04-08 13:30:00,352.86,352.86,376.17,6.606,ema21_touch,1
0,MSFT,2025-11-21 09:30:00,471.74,471.74,490.98,4.0785,ema21_touch,8
0,MU,2025-04-04 09:30:00,65.04,65.04,67.87,4.3512,hard_max,10
0,NVDA,2025-04-04 09:30:00,94.09,94.09,106.45,13.1364,ema21_touch,6
0,PLTR,2025-11-21 09:30:00,153.92,153.92,167.88,9.0696,ema21_touch,6
0,SNOW,2025-04-04 09:30:00,129.56,129.56,151.42,16.8725,ema21_touch,7
0,SNOW,2025-11-21 09:30:00,231.81,231.81,251.0,8.2783,ema21_touch,8
0,TSLA,2025-03-11 09:30:00,223.81,223.81,227.0,1.4253,hard_max,10
0,TSLA,2025-11-21 09:30:00,394.64,394.64,418.6,6.0714,ema21_touch,2
0,TSM,2025-04-04 09:30:00,144.53,144.53,157.2,8.7663,ema21_touch,7
0,TXN,2025-04-04 09:30:00,149.09,149.09,164.13,10.0879,ema21_touch,7
0,TXN,2026-03-13 09:30:00,191.39,191.39,190.79,-0.3135,data_end,7
0,V,2025-04-04 13:30:00,310.28,310.28,329.78,6.2846,ema21_touch,6
10,AAPL,2025-04-04 09:30:00,190.17,190.3602,195.99,2.9575,hard_max,10
10,AMD,2025-03-11 09:30:00,96.13,96.2261,100.98,4.9403,ema21_touch,2
10,AMD,2025-04-04 09:30:00,86.33,86.4163,96.72,11.9233,ema21_touch,7
10,AMD,2025-11-21 09:30:00,201.52,201.7215,219.57,8.8481,hard_max,10
10,AMZN,2025-04-21 09:30:00,165.64,165.8056,181.96,9.7429,ema21_touch,4
10,AVGO,2025-04-04 09:30:00,141.6,141.7416,170.32,20.1623,ema21_touch,6
