trade_num,ticker,trigger_time,return_pct,equity_before,equity_after,drawdown_pct,exit_reason
1,AMD,2025-03-11 09:30:00,5.0453,100.0,105.0453,0.0,ema21_touch
2,COIN,2025-03-11 09:30:00,-0.8973,105.0453,104.1027,-0.8973,hard_max
3,COST,2025-03-11 09:30:00,-2.5305,104.1027,101.4684,-3.405,hard_max
4,MSFT,2025-03-11 09:30:00,3.0054,101.4684,104.5179,-0.502,ema21_touch
5,TSLA,2025-03-11 09:30:00,1.4253,104.5179,106.0076,0.0,hard_max
6,AAPL,2025-04-04 09:30:00,3.0604,106.0076,109.2519,0.0,hard_max
7,AMD,2025-04-04 09:30:00,12.0352,109.2519,122.4006,0.0,ema21_touch
8,AVGO,2025-04-04 09:30:00,20.2825,122.4006,147.2265,0.0,ema21_touch
9,BA,2025-04-04 09:30:00,16.7817,147.2265,171.9337,0.0,ema21_touch
10,C,2025-04-04 09:30:00,4.9267,171.9337,180.4043,0.0,hard_max
11,GS,2025-04-04 09:30:00,9.4014,180.4043,197.3649,0.0,ema21_touch
12,JPM,2025-04-04 09:30:00,10.5465,197.3649,218.1799,0.0,ema21_touch
13,MU,2025-04-04 09:30:00,4.3512,218.1799,227.6733,0.0,hard_max
14,NVDA,2025-04-04 09:30:00,13.1364,227.6733,257.5812,0.0,ema21_touch
15,SNOW,2025-04-04 09:30:00,16.8725,257.5812,301.0416,0.0,ema21_touch
16,TSM,2025-04-04 09:30:00,8.7663,301.0416,327.432,0.0,ema21_touch
17,TXN,2025-04-04 09:30:00,10.0879,327.432,360.4629,0.0,ema21_touch
18,GOOGL,2025-04-04 13:30:00,9.0414,360.4629,393.0538,0.0,ema21_touch
19,V,2025-04-04 13:30:00,6.2846,393.0538,417.7558,0.0,ema21_touch
20,COIN,2025-04-08 13:30:00,16.8789,417.7558,488.2685,0.0,ema21_touch
21,MARA,2025-04-08 13:30:00,16.8251,488.2685,570.4202,0.0,ema21_touch
22,META,2025-04-08 13:30:00,14.4707,570.4202,652.964,0.0,ema21_touch
23,MSFT,2025-04-08 13:30:00,6.606,652.964,696.099,0.0,ema21_touch
24,AMZN,2025-04-21 09:30:00,9.8527,696.099,764.6835,0.0,ema21_touch
25,GS,2025-10-17 09:30:00,4.1574,764.6835,796.4744,0.0,ema21_touch
26,AMD,2025-11-21 09:30:00,8.9569,796.4744,867.814,0.0,hard_max
27,BA,2025-11-21 09:30:00,4.3077,867.814,905.1965,0.0,ema21_touch
28,COIN,2025-11-21 09:30:00,14.5504,905.1965,1036.9062,0.0,ema21_touch
29,JPM,2025-11-21 09:30:00,3.4283,1036.9062,1072.4548,0.0,ema21_touch
30,MARA,2025-11-21 09:30:00,14.1717,1072.4548,1224.4395,0.0,hard_max
31,MSFT,2025-11-21 09:30:00,4.0785,1224.4395,1274.3784,0.0,ema21_touch
32,PLTR,2025-11-21 09:30:00,9.0696,1274.3784,1389.9601,0.0,ema21_touch
33,SNOW,2025-11-21 09:30:00,8.2783,1389.9601,1505.0256,0.0,ema21_touch
34,TSLA,2025-11-21 09:30:00,6.0714,1505.0256,1596.401,0.0,ema21_touch
35,GS,2026-03-13 09:30:00,2.4501,1596.401,1635.514,0.0,data_end
36,META,2026-03-13 09:30:00,0.091,1635.514,1637.0028,0.0,data_end
37,TXN,2026-03-13 09:30:00,-0.3135,1637.0028,1631.8709,-0.3135,data_end
