ticker,earnings_date,time_of_day,prior_date,reaction_date,prior_close,next_open,reaction_close,reaction_high,reaction_low,reaction_day_range,reaction_day_midpoint,raw_gap_pct,spy_gap_pct,abnormal_gap_pct,eps_surprise_pct,revenue_surprise_pct,revenue_confirms,first_day_holds,drift_1d_close,drift_1d_pct,drift_3d_close,drift_3d_pct,drift_5d_close,drift_5d_pct,drift_10d_close,drift_10d_pct
AAPL,2024-10-31,AMC,2025-02-03,2025-02-03,228.76,228.8371,228.76,234.73,225.4179,9.3121,230.074,0.0337,-0.6944,0.7281,8.867,6.0471,True,False,226.11,-1.1584,230.07,0.5727,228.23,-0.2317,243.7,6.5309
AAPL,2025-01-30,AMC,2025-02-03,2025-02-03,228.76,228.8371,228.76,234.73,225.4179,9.3121,230.074,0.0337,-0.6944,0.7281,-27.4038,-4.553,True,False,226.11,-1.1584,230.07,0.5727,228.23,-0.2317,243.7,6.5309
AAPL,2025-05-01,AMC,2025-05-01,2025-05-02,208.22,202.3701,206.56,235.34,201.2951,34.0449,218.3176,-2.8095,1.1478,-3.9573,2.027,4.7483,True,True,202.38,-2.0236,199.22,-3.5534,197.77,-4.2554,211.25,2.2705
AAPL,2025-07-31,AMC,2025-07-31,2025-08-01,208.86,211.154,210.46,212.9286,202.999,9.9296,207.9638,1.0983,-1.2113,2.3096,18.3246,-4.9025,False,True,203.2,-3.4496,205.83,-2.1999,220.35,4.6992,232.59,10.5151
AAPL,2025-10-30,AMC,2025-10-30,2025-10-31,270.61,272.4788,276.44,278.98,268.6462,10.3338,273.8131,0.6906,0.6192,0.0714,-0.4444,9.3582,False,True,269.58,-2.4816,269.72,-2.4309,269.04,-2.6769,271.0,-1.9679
AAPL,2026-01-29,AMC,2026-01-29,2026-01-30,257.55,259.35,258.01,259.93,253.455,6.475,256.6925,0.6989,-0.1297,0.8286,3.6585,4.0559,True,True,258.74,0.2829,268.33,3.9998,275.6,6.8176,274.18,6.2672
AMD,2024-10-29,AMC,2025-02-03,2025-02-03,113.33,113.335,113.33,115.95,111.41,4.54,113.68,0.0044,-0.6944,0.6988,0.0,0.678,False,False,115.43,1.853,111.17,-1.9059,108.4,-4.3501,114.19,0.7588
AMD,2025-02-04,AMC,2025-02-04,2025-02-05,115.43,107.92,107.68,119.5,106.5,13.0,113.0,-6.5061,-0.2227,-6.2834,-12.381,3.6603,False,True,111.17,3.2411,108.4,0.6686,109.8,1.9688,115.05,6.8444
AMD,2025-04-29,AMC,2025-04-29,2025-04-30,95.98,93.53,92.86,96.06,91.87,4.19,93.965,-2.5526,-1.3886,-1.164,7.5,-3.8031,False,True,99.35,6.989,98.6,6.1813,100.04,7.7321,116.68,25.6515
AMD,2025-07-29,AMC,2025-07-29,2025-07-30,175.48,176.77,176.11,179.64,173.8,5.84,176.72,0.7351,0.0866,0.6485,9.589,0.4725,True,False,183.46,4.1735,175.66,-0.2555,165.07,-6.2688,180.05,2.2372
