ticker,earnings_date,time_of_day,eps_surprise_pct,prior_close,open_price,gap_pct,gap_direction,entry_day,first_4h_open,first_4h_high,first_4h_low,first_4h_close,gap_midpoint,first_bar_holds
AAPL,2025-05-01,AMC,2.027,211.92,205.21,-3.1663,SHORT,2025-05-02,205.21,206.1,201.3,203.82,208.565,True
AAPL,2025-07-31,AMC,18.3246,206.98,210.22,1.5654,LONG,2025-08-01,210.22,212.93,200.89,201.37,208.6,False
AAPL,2025-10-30,AMC,-0.4444,270.86,276.46,2.0675,LONG,2025-10-31,276.46,276.79,268.65,269.83,273.66,False
AAPL,2026-01-29,AMC,3.6585,257.93,254.92,-1.167,SHORT,2026-01-30,254.92,258.46,251.94,255.81,256.425,True
AMD,2025-02-04,AMC,-12.381,119.61,107.61,-10.0326,SHORT,2025-02-05,107.61,111.72,106.5,109.74,113.61,True
AMD,2025-04-29,AMC,7.5,96.04,92.81,-3.3632,SHORT,2025-04-30,92.81,95.82,91.87,95.69,94.425,False
AMD,2025-07-29,AMC,9.589,177.43,175.6,-1.0314,SHORT,2025-07-30,175.6,179.74,173.8,179.25,176.515,False
AMD,2025-10-28,AMC,9.1954,257.97,264.19,2.4111,LONG,2025-10-29,264.19,267.08,257.4,260.46,261.08,False
AMD,2026-01-27,AMC,22.5225,252.04,254.12,0.8253,LONG,2026-01-28,254.12,257.4,251.11,251.87,253.08,False
AMZN,2025-02-06,AMC,1.7341,238.74,232.5,-2.6137,SHORT,2025-02-07,232.5,234.81,228.06,230.33,235.62,True
AMZN,2025-05-01,AMC,-4.7619,189.84,191.44,0.8428,LONG,2025-05-02,191.44,192.88,186.4,190.82,190.64,True
AMZN,2025-07-31,AMC,-16.5354,234.11,217.21,-7.2188,SHORT,2025-08-01,217.21,220.44,214.01,214.34,225.66,True
AMZN,2025-10-30,AMC,17.6871,222.86,250.1,12.2229,LONG,2025-10-31,250.1,250.5,244.67,246.02,236.48,True
AMZN,2026-02-05,AMC,-15.0943,228.93,202.7,-11.4577,SHORT,2026-02-06,202.7,207.96,199.25,204.5,215.815,True
AVGO,2025-03-06,AMC,-14.6744,177.71,186.03,4.6818,LONG,2025-03-07,186.03,191.43,179.92,188.82,181.87,True
AVGO,2025-06-12,AMC,0.7435,254.6,249.16,-2.1367,SHORT,2025-06-13,249.16,252.48,248.1,249.31,251.88,True
AVGO,2025-09-04,AMC,13.5865,304.81,354.49,16.2987,LONG,2025-09-05,354.49,355.04,330.22,339.33,329.65,True
AVGO,2025-12-11,AMC,15.5354,406.21,379.24,-6.6394,SHORT,2025-12-12,379.24,381.27,358.33,363.36,392.725,True
AVGO,2026-03-05,AMC,19.5159,332.62,328.28,-1.3048,SHORT,2026-03-06,328.28,343.51,327.4,340.11,330.45,False
BA,2025-04-23,BMO,-26.8519,162.46,174.0,7.1033,LONG,2025-04-23,174.0,176.58,169.91,172.58,168.23,True
BA,2025-07-23,BMO,-22.2222,228.25,230.32,0.9069,LONG,2025-07-23,230.32,235.27,229.31,233.02,229.285,True
BA,2025-10-22,BMO,-8.7719,217.27,216.68,-0.2716,SHORT,2025-10-22,216.68,217.4,213.8,215.2,216.975,True
BA,2026-01-28,BMO,-22.0588,244.5,244.09,-0.1677,SHORT,2026-01-28,244.09,245.86,237.1,244.29,244.295,True
BABA,2025-02-20,BMO,17.931,123.66,135.49,9.5666,LONG,2025-02-20,135.49,142.07,129.19,133.4,129.575,True
