ticker,entry_day,gap_pct,gap_sign,eps_surprise_pct,entry_price,exit_price,bars_held,raw_return_pct,signed_return_pct,exit_strategy
AMD,2025-02-05,-10.0326,-1,-12.381,109.74,113.11,15,3.0709,-3.0709,midpoint
AMZN,2025-08-01,-7.2188,-1,-16.5354,214.34,221.42,15,3.3032,-3.3032,midpoint
AMZN,2025-10-31,12.2229,1,17.6871,246.02,249.08,15,1.2438,1.2438,midpoint
AMZN,2026-02-06,-11.4577,-1,-15.0943,204.5,204.67,15,0.0831,-0.0831,midpoint
AVGO,2025-03-07,4.6818,1,-14.6744,188.82,179.99,2,-4.6764,-4.6764,midpoint
AVGO,2025-09-05,16.2987,1,13.5865,339.33,358.6,15,5.6788,5.6788,midpoint
AVGO,2025-12-12,-6.6394,-1,15.5354,363.36,349.25,15,-3.8832,3.8832,midpoint
BA,2025-04-23,7.1033,1,-26.8519,172.58,185.39,15,7.4226,7.4226,midpoint
BABA,2025-02-20,9.5666,1,17.931,133.4,127.29,4,-4.5802,-4.5802,midpoint
COIN,2025-02-14,-3.4462,-1,12.6246,278.1,213.01,15,-23.4052,23.4052,midpoint
COST,2025-03-07,-3.1006,-1,17.0279,944.57,893.37,15,-5.4205,5.4205,midpoint
GOOGL,2025-02-05,-7.306,-1,26.8908,189.8,184.44,15,-2.824,2.824,midpoint
META,2025-07-31,11.4384,1,25.625,774.53,764.38,15,-1.3105,-1.3105,midpoint
META,2025-10-30,-11.0169,-1,-12.6984,677.65,631.27,15,-6.8442,6.8442,midpoint
MU,2025-12-18,13.691,1,12.6437,256.8,292.63,15,13.9525,13.9525,midpoint
NVDA,2025-05-29,5.5123,1,20.0,139.84,134.44,2,-3.8616,-3.8616,midpoint
PLTR,2025-02-04,22.4976,1,-16.6667,102.49,117.9,15,15.0356,15.0356,midpoint
PLTR,2025-08-05,6.8869,1,27.2727,171.95,180.99,15,5.2573,5.2573,midpoint
PLTR,2025-11-04,-7.4406,-1,11.1111,189.7,172.12,15,-9.2673,9.2673,midpoint
TSLA,2025-04-23,7.0166,1,17.9487,255.97,287.25,15,12.2202,12.2202,midpoint
