ticker,sector,entry_day,entry_bar,entry_price,exit_day,exit_bar,exit_price,return_pct,bars_held,exit_reason,pullback_depth,rs_rank,vix_at_entry
AVGO,growth_semi,2025-05-14,1,229.7,2025-05-20,1,228.83,-0.3788,8,HARD_MAX,1,5,18.39
BA,finance,2025-05-14,1,205.31,2025-05-20,1,207.92,1.2712,8,HARD_MAX,1,6,18.39
PLTR,growth_semi,2025-05-14,1,128.2,2025-05-19,1,126.2,-1.5601,6,EMA9_BREAK,1,2,18.39
AMD,growth_semi,2025-05-15,2,114.98,2025-05-20,1,113.64,-1.1654,5,EMA9_BREAK,1,7,18.62
NVDA,mega_tech,2025-05-16,2,135.3,2025-05-21,1,133.19,-1.5595,5,EMA9_BREAK,2,7,17.83
TSLA,growth_semi,2025-05-16,1,347.87,2025-05-21,1,336.0,-3.4122,6,EMA9_BREAK,1,1,18.62
COIN,crypto_proxy,2025-05-19,1,264.33,2025-05-23,1,264.94,0.2308,8,HARD_MAX,1,1,17.83
AVGO,growth_semi,2025-05-22,1,230.06,2025-05-23,2,227.26,-1.2171,3,EMA9_BREAK,1,4,18.09
NVDA,mega_tech,2025-05-22,1,133.49,2025-05-22,2,132.77,-0.5394,1,EMA9_BREAK,1,5,18.09
SNOW,other,2025-05-28,2,204.4,2025-06-03,2,209.13,2.3141,8,HARD_MAX,2,1,18.96
TSLA,growth_semi,2025-05-28,2,356.92,2025-05-30,1,348.38,-2.3927,3,EMA9_BREAK,1,6,18.96
AVGO,growth_semi,2025-05-29,2,240.51,2025-05-30,1,235.59,-2.0457,1,EMA9_BREAK,1,5,19.31
NVDA,mega_tech,2025-05-29,2,139.15,2025-05-30,1,134.44,-3.3848,1,EMA9_BREAK,2,1,19.31
TSM,growth_semi,2025-05-29,1,195.26,2025-05-30,1,190.51,-2.4327,2,EMA21_BREAK,1,7,18.96
NVDA,mega_tech,2025-06-03,1,141.59,2025-06-09,1,142.75,0.8193,8,HARD_MAX,1,5,18.57
MU,growth_semi,2025-06-04,1,102.86,2025-06-10,1,113.82,10.6553,8,HARD_MAX,1,3,18.36
SNOW,other,2025-06-04,2,209.5,2025-06-10,1,207.92,-0.7542,7,EMA9_BREAK,1,5,17.69
AMD,growth_semi,2025-06-05,1,117.16,2025-06-05,2,115.68,-1.2632,1,EMA9_BREAK,1,7,17.69
TSM,growth_semi,2025-06-05,2,201.48,2025-06-11,2,211.95,5.1965,8,HARD_MAX,2,6,17.61
TXN,other,2025-06-05,2,186.19,2025-06-11,2,195.19,4.8338,8,HARD_MAX,2,7,17.61
AMD,growth_semi,2025-06-11,1,121.86,2025-06-12,1,120.2,-1.3622,2,EMA9_BREAK,1,5,17.16
GOOGL,mega_tech,2025-06-11,1,177.49,2025-06-12,2,175.44,-1.155,3,EMA9_BREAK,1,7,17.16
NVDA,mega_tech,2025-06-11,2,142.82,2025-06-13,1,142.64,-0.126,3,EMA9_BREAK,1,5,16.95
MU,growth_semi,2025-06-12,1,115.48,2025-06-18,1,121.87,5.5334,8,HARD_MAX,1,1,16.95
SNOW,other,2025-06-12,1,212.17,2025-06-13,2,208.23,-1.857,3,EMA9_BREAK,1,2,16.95
PLTR,growth_semi,2025-06-16,1,143.19,2025-06-17,1,137.41,-4.0366,2,EMA9_BREAK,1,4,18.02
TSM,growth_semi,2025-06-16,1,214.97,2025-06-18,2,212.32,-1.2327,5,EMA9_BREAK,1,3,18.02
