date,ticker,timestamp,direction,rsi,rsi_slope,rsi_phase_score,phase,zone,fwd_15m,fwd_30m,fwd_60m,fwd_eod
2025-02-03,AAPL,2025-02-03 14:35:00,SHORT,41.12,-1.9737,0.8411,S4,4,4.4e-05,-0.001915,-0.000131,0.004179
2025-02-04,AAPL,2025-02-04 10:35:00,LONG,59.6,3.2123,0.8605,L4,2,-0.000172,-0.017845,-0.017497,-0.015756
2025-02-04,AAPL,2025-02-04 11:00:00,SHORT,28.93,-7.7077,0.3616,S5,2,0.00102,0.000266,0.000665,-0.002438
2025-02-04,AAPL,2025-02-04 15:35:00,LONG,55.31,0.7756,0.7159,L4,5,0.00031,0.012535,0.007388,0.000133
2025-02-05,AAPL,2025-02-05 11:05:00,SHORT,33.96,-7.2775,0.6144,S5,2,0.000266,0.000665,-0.002883,-0.005499
2025-02-05,AAPL,2025-02-05 14:10:00,LONG,57.44,5.2835,0.9171,L4,4,0.002699,0.004602,0.002566,0.003186
2025-02-06,AAPL,2025-02-06 12:20:00,SHORT,46.08,-1.0627,0.7982,S3,3,-0.001131,-0.000478,-0.000826,-0.000435
2025-02-06,AAPL,2025-02-06 13:40:00,LONG,54.42,1.2516,0.8303,L3,3,-0.002431,-0.001693,-0.000478,-0.001129
2025-02-06,AAPL,2025-02-06 13:45:00,SHORT,44.87,-0.5712,0.6587,S4,3,0.000957,0.000217,-0.001043,-0.000304
2025-02-06,AAPL,2025-02-06 14:45:00,LONG,55.44,0.8792,0.7412,L4,4,0.001173,0.000651,-0.001303,-0.000738
2025-02-06,AAPL,2025-02-06 15:45:00,SHORT,39.47,-4.677,0.8398,S4,5,-0.009637,-0.00938,0.004851,-0.000565
2025-02-07,AAPL,2025-02-07 09:30:00,LONG,81.06,8.4914,0.0704,L5,1,-0.000255,-0.010088,-0.013408,-0.003903
2025-02-07,AAPL,2025-02-07 10:10:00,SHORT,34.63,-7.8898,0.6469,S5,2,-0.000304,-0.000521,-0.011424,-0.009591
2025-02-07,AAPL,2025-02-07 11:05:00,LONG,61.03,5.7618,0.8246,L4,2,-0.001036,-0.001165,0.000302,-0.002114
2025-02-07,AAPL,2025-02-07 15:15:00,SHORT,49.97,-1.1977,0.8475,S3,5,4.3e-05,0.002246,0.012449,0.001296
2025-02-07,AAPL,2025-02-07 15:25:00,LONG,52.81,0.3127,0.5893,L3,5,-0.001382,-0.001468,-0.014726,-0.001468
2025-02-07,AAPL,2025-02-07 15:30:00,SHORT,48.93,0.3527,0.3624,S6,5,0.002203,0.011804,0.014599,0.001252
