ticker,entry_ts,exit_ts,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,vix_at_entry,adx_at_entry,sigma_at_entry,ema21_at_entry,split
INTC,2021-07-19 13:30:00,2021-07-21 13:30:00,2021-07-19,2021-07-21,54.205,55.912,3.1492,4,ema21,19.22,15.06,0.6906,55.8872,IS
INTC,2021-07-23 13:30:00,2021-07-30 13:30:00,2021-07-23,2021-07-30,52.4399,53.59,2.1932,10,hard_max,19.04,15.2,0.7521,55.4754,IS
JD,2021-07-26 13:30:00,2021-07-29 13:30:00,2021-07-26,2021-07-29,66.75,71.61,7.2809,6,ema21,18.85,17.21,2.4056,73.7611,IS
INTC,2021-10-12 13:30:00,2021-10-14 13:30:00,2021-10-12,2021-10-14,52.245,53.775,2.9285,4,ema21,19.5,12.51,0.5934,53.6983,IS
SMCI,2021-10-18 17:30:00,2021-10-25 17:30:00,2021-10-18,2021-10-25,3.497,3.533,1.0295,10,hard_max,17.68,14.2,0.0569,3.6184,IS
INTC,2021-10-22 13:30:00,2021-10-29 13:30:00,2021-10-22,2021-10-29,49.335,49.01,-0.6588,10,hard_max,16.96,17.91,0.9976,53.9883,IS
MU,2021-10-22 17:30:00,2021-10-29 17:30:00,2021-10-22,2021-10-29,67.515,69.03,2.2439,10,hard_max,16.96,18.81,2.2598,72.3748,IS
BA,2021-11-26 13:30:00,2021-12-27 13:30:00,2021-11-26,2021-12-27,196.175,201.405,2.666,10,hard_max,19.07,17.31,4.7748,210.1257,IS
SMCI,2023-01-11 17:30:00,2023-01-17 13:30:00,2023-01-11,2023-01-17,7.543,8.1925,8.6106,5,ema21,19.8,14.56,0.3011,8.183,IS
SMCI,2023-01-19 13:30:00,2023-01-24 17:30:00,2023-01-19,2023-01-24,7.0805,7.813,10.3453,7,ema21,19.39,12.65,0.3236,8.0345,IS
JD,2023-02-10 13:30:00,2023-02-17 13:30:00,2023-02-10,2023-02-17,52.51,52.6899,0.3426,10,hard_max,19.59,19.87,2.2372,57.3335,IS
INTC,2023-02-21 13:30:00,2023-02-28 13:30:00,2023-02-21,2023-02-28,26.375,24.8409,-5.8165,10,hard_max,18.96,16.17,0.7558,28.2229,IS
SMCI,2023-04-25 13:30:00,2023-04-28 13:30:00,2023-04-25,2023-04-28,9.455,10.4175,10.1798,6,ema21,17.76,17.38,0.5381,10.588,IS
INTC,2023-05-25 13:30:00,2023-05-30 13:30:00,2023-05-25,2023-05-30,27.2,29.885,9.8713,4,ema21,19.17,17.07,0.7712,29.4114,IS
INTC,2023-08-17 13:30:00,2023-08-23 13:30:00,2023-08-17,2023-08-23,32.86,33.765,2.7541,8,ema21,16.52,15.08,0.7237,34.5444,IS
C,2023-08-22 13:30:00,2023-08-29 13:30:00,2023-08-22,2023-08-29,41.735,41.4789,-0.6136,10,hard_max,16.34,19.9,1.2804,46.7474,IS
TSM,2023-09-21 13:30:00,2023-09-28 13:30:00,2023-09-21,2023-09-28,85.9283,85.9,-0.0329,10,hard_max,14.64,15.36,4.007,94.4033,IS
BIDU,2023-10-23 13:30:00,2023-10-30 13:30:00,2023-10-23,2023-10-30,106.28,106.21,-0.0659,10,hard_max,19.54,18.76,8.0617,131.8312,IS
BIDU,2024-01-22 13:30:00,2024-01-29 13:30:00,2024-01-22,2024-01-29,99.695,106.12,6.4447,10,hard_max,13.29,17.49,7.8404,115.8696,IS
JD,2024-03-04 13:30:00,2024-03-06 13:30:00,2024-03-04,2024-03-06,21.69,25.07,15.5832,4,ema21,13.0,15.79,0.6743,23.1722,IS
INTC,2024-04-03 17:30:00,2024-04-10 17:30:00,2024-04-03,2024-04-10,40.34,37.21,-7.759,10,hard_max,14.01,17.61,1.1879,42.8802,IS
ARM,2024-04-17 13:30:00,2024-04-24 13:30:00,2024-04-17,2024-04-24,110.74,99.79,-9.888,10,hard_max,16.41,13.45,3.6816,124.5075,IS
SMCI,2024-04-19 13:30:00,2024-04-26 13:30:00,2024-04-19,2024-04-26,75.203,85.95,14.2907,10,ema21,16.25,18.77,5.3207,92.5154,IS
BIDU,2024-04-22 13:30:00,2024-04-29 13:30:00,2024-04-22,2024-04-29,96.24,104.36,8.4372,10,ema21,16.76,17.51,3.9442,104.7314,IS
BIDU,2024-06-21 13:30:00,2024-06-28 13:30:00,2024-06-21,2024-06-28,88.6,87.41,-1.3431,10,hard_max,13.42,17.58,3.1869,99.1238,IS
V,2024-06-28 17:30:00,2024-07-26 17:30:00,2024-06-28,2024-07-26,265.35,260.51,-1.824,10,hard_max,12.56,18.29,3.302,272.2402,IS
SMCI,2024-07-24 13:30:00,2024-07-31 13:30:00,2024-07-24,2024-07-31,72.257,69.873,-3.2993,10,hard_max,13.94,16.95,4.2584,81.9312,OOS
MARA,2024-08-22 13:30:00,2024-08-29 13:30:00,2024-08-22,2024-08-29,17.36,17.76,2.3041,10,hard_max,16.18,12.49,1.4181,20.4281,OOS
