ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
AAPL,2022-01-21,2022-01-28,162.41,168.27,3.6082,9,ema21,27.65,25.59,2022
AAPL,2022-05-11,2022-05-18,146.59,140.82,-3.9361,10,hard_max,33.29,32.99,2022
AAPL,2022-05-19,2022-05-26,137.133,143.47,4.6211,10,ema21,30.61,30.96,2022
AAPL,2022-06-10,2022-06-17,138.09,132.4491,-4.0849,10,hard_max,34.03,26.09,2022
AAPL,2022-09-01,2022-09-09,155.765,157.06,0.8314,10,hard_max,24.06,25.87,2022
AAPL,2022-09-16,2022-09-20,149.28,156.04,4.5284,4,ema21,32.95,26.27,2022
AAPL,2022-10-07,2022-10-13,140.1,142.93,2.02,8,ema21,34.66,30.52,2022
AAPL,2022-11-04,2022-11-10,134.8599,143.62,6.4957,8,ema21,31.66,25.3,2022
AAPL,2025-04-04,2025-04-11,190.99,196.85,3.0682,10,hard_max,21.35,30.02,2025
AAPL,2026-03-19,2026-03-25,248.29,254.14,2.3561,8,ema21,33.25,25.09,2026
AMD,2021-05-13,2021-05-19,72.94,76.37,4.7025,8,ema21,28.14,27.59,2021
AMD,2022-01-27,2022-02-01,102.57,116.82,13.893,6,ema21,26.92,31.96,2022
AMD,2022-06-29,2022-07-07,77.36,78.9802,2.0944,10,hard_max,30.89,28.36,2022
AMD,2022-08-30,2022-09-07,85.71,78.645,-8.2429,10,hard_max,31.14,26.21,2022
AMD,2022-09-22,2022-09-29,69.5,64.15,-7.6978,10,hard_max,25.98,27.99,2022
AMD,2022-10-07,2022-10-14,58.42,55.97,-4.1938,10,hard_max,26.74,30.52,2022
AMD,2024-08-06,2024-08-13,130.14,140.67,8.0913,9,ema21,31.55,38.57,2024
AMD,2024-12-19,2024-12-24,118.97,126.33,6.1864,5,ema21,26.08,27.62,2024
AMD,2025-03-11,2025-03-12,96.13,100.99,5.0557,2,ema21,29.29,27.86,2025
AMD,2025-04-04,2025-04-09,86.31,96.71,12.0496,7,ema21,23.69,30.02,2025
AMD,2025-11-21,2025-12-01,201.56,219.81,9.0544,10,hard_max,27.27,26.42,2025
AMZN,2021-12-03,2021-12-07,168.8455,177.063,4.8669,4,ema21,34.17,27.95,2021
AMZN,2022-01-21,2022-01-28,145.37,141.2625,-2.8255,10,hard_max,20.5,25.59,2022
AMZN,2022-04-27,2022-05-04,139.849,121.794,-12.9104,10,hard_max,30.06,33.52,2022
AMZN,2022-05-10,2022-05-17,108.514,113.3215,4.4303,10,hard_max,23.11,34.75,2022
AMZN,2022-09-01,2022-09-08,125.18,129.85,3.7306,9,ema21,29.86,25.87,2022
AMZN,2022-09-22,2022-09-29,116.7215,114.2221,-2.1413,10,hard_max,27.61,27.99,2022
AMZN,2022-11-02,2022-11-09,94.41,86.5297,-8.3469,10,hard_max,23.22,25.81,2022
AMZN,2022-11-09,2022-11-10,86.14,95.9905,11.4355,1,ema21,23.27,25.54,2022
AMZN,2024-08-07,2024-08-14,162.76,170.05,4.479,10,hard_max,31.62,27.71,2024
AMZN,2026-03-27,2026-03-31,199.3,209.17,4.9523,3,ema21,34.92,27.44,2026
ARM,2024-08-06,2024-08-13,113.32,124.11,9.5217,9,ema21,29.9,38.57,2024
ARM,2025-03-11,2025-03-17,110.62,120.57,8.9948,8,ema21,27.58,27.86,2025
ARM,2025-04-04,2025-04-09,88.35,106.47,20.5093,7,ema21,21.61,30.02,2025
ARM,2025-11-21,2025-12-01,130.21,135.04,3.7094,10,hard_max,22.06,26.42,2025
AVGO,2022-01-21,2022-01-28,54.3,54.7,0.7366,10,hard_max,16.68,25.59,2022
AVGO,2022-05-20,2022-05-26,51.25,55.19,7.6878,8,ema21,29.65,29.35,2022
AVGO,2022-06-14,2022-06-22,52.09,50.07,-3.8779,10,hard_max,33.43,34.02,2022
AVGO,2022-06-29,2022-07-07,49.05,49.78,1.4883,10,ema21,32.73,28.36,2022
AVGO,2022-08-30,2022-09-07,50.22,50.17,-0.0996,10,hard_max,33.33,26.21,2022
AVGO,2022-09-22,2022-09-29,47.74,45.02,-5.6975,10,hard_max,31.91,27.99,2022
AVGO,2022-10-14,2022-10-21,42.71,44.38,3.9101,9,ema21,32.25,31.94,2022
AVGO,2025-04-04,2025-04-09,142.47,174.47,22.4609,6,ema21,21.77,30.02,2025
AVGO,2026-03-27,2026-04-01,299.68,314.36,4.8986,6,ema21,31.94,27.44,2026
BA,2021-05-13,2021-05-18,221.15,231.4,4.6349,6,ema21,34.46,27.59,2021
BA,2022-01-27,2022-02-01,188.79,208.75,10.5726,6,ema21,31.38,31.96,2022
BA,2022-02-23,2022-02-28,198.86,205.34,3.2586,7,ema21,34.28,28.81,2022
BA,2022-03-04,2022-03-11,182.1,179.0,-1.7024,10,hard_max,31.0,30.48,2022
BA,2022-04-27,2022-05-04,153.26,152.31,-0.6199,10,hard_max,19.06,33.52,2022
BA,2022-05-06,2022-05-13,148.34,124.51,-16.0644,10,hard_max,32.69,31.2,2022
BA,2022-09-01,2022-09-09,152.8,158.031,3.4234,10,hard_max,31.24,25.87,2022
BA,2022-09-22,2022-09-29,138.67,125.39,-9.5767,10,hard_max,28.81,27.99,2022
BA,2024-08-06,2024-08-13,165.04,168.74,2.2419,10,hard_max,32.7,38.57,2024
BA,2025-04-04,2025-04-09,137.58,160.78,16.8629,7,ema21,18.98,30.02,2025
BA,2025-11-21,2025-11-26,179.69,187.47,4.3297,6,ema21,18.78,26.42,2025
BA,2026-03-19,2026-03-26,199.93,194.87,-2.5309,10,hard_max,28.42,25.09,2026
BA,2026-03-26,2026-03-31,194.39,199.07,2.4075,6,ema21,32.22,25.33,2026
BABA,2021-05-13,2021-05-20,205.44,217.01,5.6318,10,ema21,20.04,27.59,2021
BABA,2021-12-02,2021-12-09,121.0,124.78,3.124,10,hard_max,15.9,31.12,2021
BABA,2022-01-27,2022-01-31,111.855,123.01,9.9727,4,ema21,32.73,31.96,2022
BABA,2022-03-03,2022-03-10,102.27,92.02,-10.0225,10,hard_max,31.59,30.74,2022
BABA,2022-05-10,2022-05-17,84.535,90.3686,6.9008,10,ema21,33.52,34.75,2022
BABA,2022-09-21,2022-09-28,82.47,80.68,-2.1705,10,hard_max,31.2,27.16,2022
BABA,2022-10-14,2022-10-21,73.04,72.19,-1.1637,10,hard_max,27.03,31.94,2022
BIDU,2021-05-13,2021-05-20,178.93,192.18,7.4051,10,ema21,24.08,27.59,2021
BIDU,2021-12-02,2021-12-07,146.4,150.56,2.8415,6,ema21,32.17,31.12,2021
BIDU,2022-03-08,2022-03-15,137.675,105.7452,-23.1922,10,hard_max,31.43,36.45,2022
BIDU,2022-05-10,2022-05-13,108.03,117.11,8.4051,6,ema21,32.39,34.75,2022
BIDU,2022-09-14,2022-09-21,128.89,121.37,-5.8344,10,hard_max,34.94,27.27,2022
BIDU,2022-09-21,2022-09-28,119.55,121.4,1.5475,10,hard_max,28.44,27.16,2022
BIDU,2022-10-12,2022-10-19,107.39,95.22,-11.3325,10,hard_max,24.52,33.63,2022
BIDU,2022-10-19,2022-10-26,93.27,84.225,-9.6977,10,hard_max,19.3,30.5,2022
BIDU,2022-11-01,2022-11-04,80.79,84.23,4.258,6,ema21,34.52,25.88,2022
BIDU,2024-08-07,2024-08-08,82.01,86.56,5.5481,2,ema21,26.68,27.71,2024
BIDU,2025-04-08,2025-04-14,76.64,85.75,11.8867,8,ema21,21.12,46.98,2025
BIDU,2026-03-27,2026-04-06,108.3,111.04,2.53,10,hard_max,28.76,27.44,2026
C,2022-02-18,2022-02-28,63.85,59.22,-7.2514,10,hard_max,34.72,28.11,2022
C,2022-03-08,2022-03-15,54.86,55.13,0.4922,10,hard_max,26.01,36.45,2022
C,2022-05-12,2022-05-17,45.99,51.37,11.6982,6,ema21,29.9,32.56,2022
C,2022-06-10,2022-06-17,47.6678,46.395,-2.6701,10,hard_max,30.35,26.09,2022
C,2022-06-23,2022-06-24,45.75,47.96,4.8306,2,ema21,34.8,28.95,2022
C,2022-07-14,2022-07-15,43.83,49.845,13.7235,2,ema21,30.13,26.82,2022
C,2022-08-30,2022-09-07,48.92,48.33,-1.2061,10,hard_max,29.2,26.21,2022
C,2022-09-22,2022-09-29,45.54,42.41,-6.8731,10,hard_max,28.06,27.99,2022
C,2024-08-07,2024-08-14,56.13,59.29,5.6298,10,ema21,25.13,27.71,2024
C,2024-12-19,2024-12-24,68.44,70.99,3.7259,5,ema21,33.36,27.62,2024
C,2025-04-04,2025-04-11,58.1,60.95,4.9053,10,hard_max,18.91,30.02,2025
COIN,2021-12-02,2021-12-09,288.51,262.67,-8.9564,10,hard_max,32.1,31.12,2021
COIN,2022-01-21,2022-01-28,191.975,177.5,-7.54,10,hard_max,26.71,25.59,2022
COIN,2022-03-04,2022-03-09,165.73,179.38,8.2363,5,ema21,34.2,30.48,2022
COIN,2022-04-27,2022-05-04,124.6253,122.11,-2.0183,10,hard_max,22.94,33.52,2022
COIN,2022-05-06,2022-05-13,105.97,72.33,-31.7448,10,hard_max,29.38,31.2,2022
COIN,2022-06-10,2022-06-17,58.76,52.14,-11.2662,10,hard_max,34.56,26.09,2022
COIN,2022-09-01,2022-09-07,63.84,68.25,6.9079,7,ema21,34.36,25.87,2022
COIN,2022-09-23,2022-09-28,60.485,67.29,11.2507,7,ema21,33.53,27.35,2022
COIN,2022-11-02,2022-11-09,60.71,45.9,-24.3947,10,hard_max,33.33,25.81,2022
COIN,2022-11-10,2022-11-11,50.35,57.49,14.1807,3,ema21,34.97,26.09,2022
COIN,2024-08-07,2024-08-14,178.83,195.99,9.5957,10,hard_max,26.29,27.71,2024
COIN,2024-12-19,2024-12-30,273.85,257.52,-5.9631,10,hard_max,33.89,27.62,2024
COIN,2025-03-11,2025-03-18,183.95,182.22,-0.9405,10,hard_max,29.11,27.86,2025
COIN,2025-04-08,2025-04-09,151.03,177.2,17.3277,2,ema21,30.34,46.98,2025
COIN,2025-11-21,2025-11-28,239.25,272.86,14.0481,8,ema21,26.54,26.42,2025
COIN,2026-03-26,2026-04-02,173.43,171.69,-1.0033,10,hard_max,34.18,25.33,2026
COST,2022-05-04,2022-05-11,528.51,490.96,-7.1049,10,hard_max,31.61,29.25,2022
COST,2022-05-11,2022-05-18,489.13,429.47,-12.1972,10,hard_max,25.57,32.99,2022
COST,2022-05-19,2022-05-26,424.4285,464.535,9.4495,10,ema21,14.91,30.96,2022
COST,2022-09-14,2022-09-21,508.68,501.43,-1.4253,10,hard_max,32.66,27.27,2022
COST,2022-09-22,2022-09-29,487.0566,477.635,-1.9344,10,hard_max,27.88,27.99,2022
COST,2025-03-11,2025-03-18,923.23,900.0,-2.5162,10,hard_max,24.75,27.86,2025
GOOGL,2021-05-13,2021-05-17,110.626,114.473,3.4775,5,ema21,34.14,27.59,2021
GOOGL,2022-01-21,2022-01-28,130.21,133.338,2.4023,10,ema21,27.52,25.59,2022
GOOGL,2022-04-29,2022-05-04,114.0875,122.351,7.2431,6,ema21,30.13,29.99,2022
GOOGL,2022-05-20,2022-05-27,105.9565,111.9905,5.6948,10,ema21,29.98,29.35,2022
GOOGL,2022-08-30,2022-09-07,108.3,108.55,0.2308,10,hard_max,27.08,26.21,2022
GOOGL,2022-10-27,2022-11-03,92.8385,84.825,-8.6317,10,hard_max,33.26,27.28,2022
GOOGL,2022-11-03,2022-11-10,83.41,93.2501,11.7973,9,ema21,23.69,25.86,2022
GOOGL,2024-08-07,2024-08-14,158.93,160.32,0.8746,10,hard_max,27.04,27.71,2024
