ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,vix_5d_roc,year
AAPL,2025-04-04,2025-04-11,190.99,196.85,3.0682,10,hard_max,21.35,30.02,60.62,2025
AMD,2024-08-06,2024-08-13,130.14,140.67,8.0913,9,ema21,31.55,29.35,96.45,2024
AMD,2025-04-04,2025-04-09,86.31,96.71,12.0496,7,ema21,23.69,30.02,60.62,2025
AMD,2025-11-21,2025-12-01,201.56,219.81,9.0544,10,hard_max,27.27,26.42,32.1,2025
AMZN,2021-12-03,2021-12-07,168.8455,177.063,4.8669,4,ema21,34.17,25.38,33.11,2021
AMZN,2022-04-27,2022-05-04,139.849,121.794,-12.9104,10,hard_max,30.06,28.86,32.24,2022
ARM,2024-08-06,2024-08-13,113.32,124.11,9.5217,9,ema21,29.9,29.35,96.45,2024
ARM,2025-04-04,2025-04-09,88.35,106.47,20.5093,7,ema21,21.61,30.02,60.62,2025
ARM,2025-11-21,2025-12-01,130.21,135.04,3.7094,10,hard_max,22.06,26.42,32.1,2025
AVGO,2025-04-04,2025-04-09,142.47,174.47,22.4609,6,ema21,21.77,30.02,60.62,2025
BA,2022-04-27,2022-05-04,153.26,152.31,-0.6199,10,hard_max,19.06,28.86,32.24,2022
BA,2024-08-06,2024-08-13,165.04,168.74,2.2419,10,hard_max,32.7,29.35,96.45,2024
BA,2025-04-04,2025-04-09,137.58,160.78,16.8629,7,ema21,18.98,30.02,60.62,2025
BA,2025-11-21,2025-11-26,179.69,187.47,4.3297,6,ema21,18.78,26.42,32.1,2025
BABA,2021-12-02,2021-12-09,121.0,124.78,3.124,10,hard_max,15.9,26.81,37.15,2021
BIDU,2021-12-02,2021-12-07,146.4,150.56,2.8415,6,ema21,32.17,26.81,37.15,2021
BIDU,2025-04-08,2025-04-14,76.64,85.75,11.8867,8,ema21,21.12,46.98,110.86,2025
C,2025-04-04,2025-04-11,58.1,60.95,4.9053,10,hard_max,18.91,30.02,60.62,2025
COIN,2021-12-02,2021-12-09,288.51,262.67,-8.9564,10,hard_max,32.1,26.81,37.15,2021
COIN,2022-04-27,2022-05-04,124.6253,122.11,-2.0183,10,hard_max,22.94,28.86,32.24,2022
COIN,2025-04-08,2025-04-09,151.03,177.2,17.3277,2,ema21,30.34,46.98,110.86,2025
COIN,2025-11-21,2025-11-28,239.25,272.86,14.0481,8,ema21,26.54,26.42,32.1,2025
GOOGL,2025-04-04,2025-04-09,145.53,158.67,9.0291,6,ema21,24.4,30.02,60.62,2025
GS,2025-04-04,2025-04-09,472.47,516.69,9.3593,7,ema21,23.31,30.02,60.62,2025
JPM,2025-04-04,2025-04-09,211.93,234.27,10.5412,7,ema21,20.81,30.02,60.62,2025
JPM,2025-11-21,2025-11-26,297.1,307.25,3.4164,6,ema21,34.02,26.42,32.1,2025
MARA,2025-04-08,2025-04-09,10.46,12.3,17.5908,2,ema21,33.31,46.98,110.86,2025
MARA,2025-11-21,2025-12-01,10.02,11.51,14.8703,10,hard_max,19.77,26.42,32.1,2025
META,2021-12-02,2021-12-07,308.3852,323.96,5.0504,6,ema21,27.56,26.81,37.15,2021
META,2025-04-08,2025-04-09,510.74,584.47,14.4359,2,ema21,28.34,46.98,110.86,2025
MSFT,2021-12-03,2021-12-07,319.37,334.835,4.8423,4,ema21,33.49,25.38,33.11,2021
MSFT,2025-04-08,2025-04-09,355.5,379.13,6.647,1,ema21,26.45,46.98,110.86,2025
MSFT,2025-11-21,2025-11-28,472.85,492.08,4.0668,8,ema21,24.21,26.42,32.1,2025
MSTR,2022-04-27,2022-05-04,39.022,33.7105,-13.6116,10,hard_max,32.75,28.86,32.24,2022
MU,2025-04-04,2025-04-09,65.05,77.89,19.7387,7,ema21,17.7,30.02,60.62,2025
NVDA,2025-04-04,2025-04-09,94.12,108.0,14.7471,6,ema21,23.12,30.02,60.62,2025
PLTR,2021-12-02,2021-12-09,19.25,19.375,0.6494,10,hard_max,25.6,26.81,37.15,2021
PLTR,2022-04-27,2022-05-04,10.74,10.45,-2.7002,10,hard_max,26.18,28.86,32.24,2022
PLTR,2025-11-21,2025-11-26,153.91,167.88,9.0767,6,ema21,27.94,26.42,32.1,2025
SMCI,2025-11-21,2025-12-01,31.84,33.41,4.9309,10,hard_max,25.62,26.42,32.1,2025
TSLA,2025-11-21,2025-11-24,394.68,418.61,6.0631,2,ema21,34.78,26.42,32.1,2025
TSM,2022-04-27,2022-05-04,91.2,93.25,2.2478,10,hard_max,25.25,28.86,32.24,2022
TSM,2025-04-04,2025-04-09,145.8,158.67,8.8272,7,ema21,22.72,30.02,60.62,2025
V,2025-04-04,2025-04-09,313.04,332.25,6.1366,6,ema21,24.19,30.02,60.62,2025
