ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
AAPL,2022-05-11,2022-05-18,146.59,140.82,-3.9361,10,hard_max,33.29,29.58,2022
AAPL,2022-05-19,2022-05-26,137.133,143.47,4.6211,10,ema21,30.61,28.56,2022
AAPL,2022-10-07,2022-10-13,140.1,142.93,2.02,8,ema21,34.66,26.81,2022
AAPL,2025-04-04,2025-04-11,190.99,196.85,3.0682,10,hard_max,21.35,30.02,2025
AMD,2022-01-27,2022-02-01,102.57,116.82,13.893,6,ema21,26.92,27.82,2022
AMD,2022-06-29,2022-07-07,77.36,78.9802,2.0944,10,hard_max,30.89,25.38,2022
AMD,2022-09-22,2022-09-29,69.5,64.15,-7.6978,10,hard_max,25.98,25.04,2022
AMD,2022-10-07,2022-10-14,58.42,55.97,-4.1938,10,hard_max,26.74,26.81,2022
AMD,2024-08-06,2024-08-13,130.14,140.67,8.0913,9,ema21,31.55,29.35,2024
AMD,2025-03-11,2025-03-12,96.13,100.99,5.0557,2,ema21,29.29,27.86,2025
AMD,2025-04-04,2025-04-09,86.31,96.71,12.0496,7,ema21,23.69,30.02,2025
AMD,2025-11-21,2025-12-01,201.56,219.81,9.0544,10,hard_max,27.27,26.42,2025
AMZN,2021-12-03,2021-12-07,168.8455,177.063,4.8669,4,ema21,34.17,25.38,2021
AMZN,2022-01-27,2022-01-31,140.001,147.8165,5.5825,4,ema21,31.78,27.82,2022
AMZN,2022-04-27,2022-05-04,139.849,121.794,-12.9104,10,hard_max,30.06,28.86,2022
AMZN,2022-05-10,2022-05-17,108.514,113.3215,4.4303,10,hard_max,23.11,30.52,2022
AMZN,2022-09-22,2022-09-29,116.7215,114.2221,-2.1413,10,hard_max,27.61,25.04,2022
ARM,2024-08-06,2024-08-13,113.32,124.11,9.5217,9,ema21,29.9,29.35,2024
ARM,2025-03-11,2025-03-17,110.62,120.57,8.9948,8,ema21,27.58,27.86,2025
ARM,2025-04-04,2025-04-09,88.35,106.47,20.5093,7,ema21,21.61,30.02,2025
ARM,2025-11-21,2025-12-01,130.21,135.04,3.7094,10,hard_max,22.06,26.42,2025
AVGO,2022-05-20,2022-05-26,51.25,55.19,7.6878,8,ema21,29.65,26.81,2022
AVGO,2022-06-14,2022-06-22,52.09,50.07,-3.8779,10,hard_max,33.43,29.82,2022
AVGO,2022-06-29,2022-07-07,49.05,49.78,1.4883,10,ema21,32.73,25.38,2022
AVGO,2022-09-22,2022-09-29,47.74,45.02,-5.6975,10,hard_max,31.91,25.04,2022
AVGO,2022-10-14,2022-10-21,42.71,44.38,3.9101,9,ema21,32.25,27.69,2022
AVGO,2025-04-04,2025-04-09,142.47,174.47,22.4609,6,ema21,21.77,30.02,2025
BA,2022-01-27,2022-02-01,188.79,208.75,10.5726,6,ema21,31.38,27.82,2022
BA,2022-02-23,2022-02-28,198.86,205.34,3.2586,7,ema21,34.28,25.35,2022
BA,2022-03-04,2022-03-11,182.1,179.0,-1.7024,10,hard_max,31.0,26.82,2022
BA,2022-04-27,2022-05-04,153.26,152.31,-0.6199,10,hard_max,19.06,28.86,2022
BA,2022-05-06,2022-05-13,148.34,124.51,-16.0644,10,hard_max,32.69,28.46,2022
BA,2022-09-22,2022-09-29,138.67,125.39,-9.5767,10,hard_max,28.81,25.04,2022
BA,2024-08-06,2024-08-13,165.04,168.74,2.2419,10,hard_max,32.7,29.35,2024
BA,2025-04-04,2025-04-09,137.58,160.78,16.8629,7,ema21,18.98,30.02,2025
