ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year
AAPL,2025-04-09,2025-04-14,171.27,209.74,22.4616,3,ema10,19.26,41.5,2025
AMD,2025-04-04,2025-04-11,86.74,93.15,7.3899,5,ema10,28.36,27.38,2025
AMZN,2025-04-04,2025-04-10,168.55,179.58,6.5441,5,hard_max,28.26,27.38,2025
AVGO,2025-04-04,2025-04-10,141.45,170.66,20.6504,4,ema10,26.65,27.38,2025
BABA,2025-04-09,2025-04-16,98.57,105.9,7.4363,5,hard_max,23.97,41.5,2025
BABA,2025-11-21,2025-11-24,152.5,159.42,4.5377,2,ema10,34.61,25.76,2025
BABA,2026-03-09,2026-03-13,130.22,136.05,4.477,4,ema10,24.19,27.56,2026
BA,2025-04-07,2025-04-11,133.34,155.78,16.8292,4,ema10,23.7,36.71,2025
BIDU,2025-04-04,2025-04-11,80.52,80.74,0.2732,5,hard_max,31.67,27.38,2025
COIN,2025-04-08,2025-04-10,155.38,170.77,9.9047,2,ema10,32.35,36.88,2025
C,2025-03-11,2025-03-18,65.89,68.09,3.3389,5,hard_max,28.15,25.72,2025
GOOGL,2025-04-04,2025-04-10,146.77,152.62,3.9858,5,ema10,30.43,27.38,2025
GS,2025-03-11,2025-03-18,523.18,538.87,2.999,5,hard_max,27.39,25.72,2025
GS,2025-04-09,2025-04-14,452.04,492.28,8.9019,3,ema10,31.91,41.5,2025
GS,2026-03-07,2026-03-13,818.76,783.3,-4.3309,5,hard_max,33.56,27.56,2026
JPM,2026-03-07,2026-03-13,288.41,283.99,-1.5325,5,hard_max,33.22,27.56,2026
META,2025-04-04,2025-04-10,508.35,546.21,7.4476,5,ema10,28.59,27.38,2025
MSFT,2025-11-21,2025-11-26,472.72,484.95,2.5872,4,ema10,30.49,25.76,2025
MU,2025-04-04,2025-04-11,65.48,68.66,4.8564,5,hard_max,24.14,27.38,2025
MU,2025-04-16,2025-04-23,67.48,73.62,9.099,4,ema10,34.33,29.0,2025
NVDA,2025-04-04,2025-04-10,98.57,107.0,8.5523,5,ema10,32.38,27.38,2025
TSM,2025-04-04,2025-04-11,144.99,154.84,6.7936,5,ema10,28.67,27.38,2025
V,2025-04-04,2025-04-11,318.26,331.09,4.0313,5,ema10,32.82,27.38,2025
