ticker,entry_date,entry_bar,entry_price,gap_pct,gap_midpoint,prior_close,exit_date,exit_bar,exit_price,exit_reason,return_pct,hold_bars
AAPL,2021-01-04,1,50.0,-4.0,51.0384,52.08,2021-01-06,2,52.7172,midpoint,5.4344,2
AMD,2021-01-06,1,51.0,-4.5,52.1985,53.4,2021-01-08,2,53.7715,midpoint,5.4344,3
AMZN,2021-01-08,1,52.0,-5.0,53.3715,54.74,2021-01-13,2,54.8259,midpoint,5.4344,4
ARM,2021-01-13,1,53.0,-5.5,54.5378,56.08,2021-01-18,2,55.8802,midpoint,5.4344,5
AVGO,2021-01-15,1,54.0,-6.0,55.7265,57.45,2021-01-21,2,56.9346,midpoint,5.4344,6
BA,2021-01-19,1,55.0,-6.5,56.9083,58.82,2021-01-25,2,57.9889,midpoint,5.4344,7
BABA,2021-01-22,1,56.0,-7.0,58.1123,60.22,2021-01-29,2,59.0433,midpoint,5.4344,8
BIDU,2021-01-26,1,57.0,-7.5,59.3092,61.62,2021-02-02,2,60.0976,midpoint,5.4344,9
C,2021-01-29,1,58.0,-4.0,59.2116,60.42,2021-02-08,2,61.152,midpoint,5.4344,10
COIN,2021-02-02,1,59.0,-4.5,60.39,61.78,2021-02-10,2,62.2063,midpoint,5.4344,11
COST,2021-02-04,1,60.0,-5.0,61.581,63.16,2021-02-15,2,63.2606,midpoint,5.4344,12
GOOGL,2021-02-09,1,61.0,-5.5,62.7749,64.55,2021-02-18,2,64.315,midpoint,5.4344,13
GS,2021-02-11,1,62.0,-6.0,63.9812,65.96,2021-02-23,2,65.3693,midpoint,5.4344,14
INTC,2021-02-16,1,63.0,-6.5,65.1902,67.38,2021-02-26,2,66.4237,midpoint,5.4344,15
JD,2021-02-18,1,64.0,-7.0,66.4113,68.82,2021-03-03,2,67.478,midpoint,5.4344,16
JPM,2021-02-22,1,65.0,-7.5,67.6349,70.27,2021-03-05,2,68.5324,midpoint,5.4344,17
MARA,2021-02-25,1,66.0,-4.0,67.375,68.75,2021-03-01,2,69.5867,midpoint,5.4344,2
