Date,Open,High,Low,Close,Volume
2025-02-03,228.8371,234.73,225.4179,228.76,25552043
2025-02-04,225.7113,230.3053,224.84,226.11,14615021
2025-02-05,228.0061,231.55,223.81,226.72,11544240
2025-02-06,229.8935,232.5444,229.1875,230.07,9100395
2025-02-07,232.156,232.7433,227.8895,231.25,10100944
2025-02-10,228.8069,229.5985,226.48,228.23,8216798
2025-02-11,230.1113,236.52,225.03,225.12,19417018
2025-02-12,230.2507,233.8353,229.52,230.07,14344954
2025-02-13,237.3004,238.4853,231.76,236.12,12848394
2025-02-14,241.6418,244.0016,239.41,239.79,14261672
2025-02-18,242.7122,244.83,240.34,243.7,12384420
2025-02-19,243.5038,244.9575,232.22,243.07,9858605
2025-02-20,244.6688,245.7242,242.46,242.74,8581411
2025-02-21,245.1579,245.8835,243.79,244.84,10000604
2025-02-24,245.0123,247.7953,240.52,243.32,16977555
2025-02-25,246.9383,248.4525,243.42,246.1,15340542
2025-02-26,242.4135,246.19,240.3872,244.4,14476205
2025-02-27,240.5664,243.76,237.4498,238.02,13275969
2025-02-28,234.5672,243.42,229.2152,235.74,11444711
2025-03-03,242.1894,242.9832,238.799,240.46,12194653
2025-03-04,236.6632,238.83,235.3289,236.68,15697859
2025-03-05,234.1141,238.7,229.5338,235.27,13519090
2025-03-06,233.3076,236.8424,232.26,232.84,11118537
2025-03-07,235.0501,239.1326,233.15,233.41,12080445
2025-03-10,231.356,238.05,224.4058,235.43,21983396
2025-03-11,223.3653,227.25,219.0688,224.52,21437172
2025-03-12,219.4934,221.5,215.0759,220.77,18771407
2025-03-13,213.9607,216.05,212.736,214.99,14737474
2025-03-14,212.487,240.81,208.6834,210.4,18310746
2025-03-17,212.5269,214.0503,210.4035,212.9,12309717
2025-03-18,213.194,214.2295,212.039,212.52,12232732
2025-03-19,214.0901,217.8241,211.5,212.43,13793148
2025-03-20,213.2056,216.5594,211.9892,213.82,9947980
2025-03-21,211.7631,213.6222,209.84,209.95,22935847
2025-03-24,217.8739,220.0844,216.79,219.56,11036234
2025-03-25,219.3874,222.7928,219.1,220.41,10603861
2025-03-26,223.0467,237.05,211.58,223.54,9795555
2025-03-27,220.2852,221.6078,219.49,220.66,7196088
2025-03-28,220.8611,223.08,218.6804,220.85,11304556
2025-03-31,216.1986,218.7501,213.98,216.18,15755931
2025-04-01,218.9742,222.4343,217.9635,219.29,11493989
2025-04-02,220.881,223.4997,219.94,220.5,7891903
2025-04-03,206.0348,222.93,201.6536,206.13,38374742
2025-04-04,196.0029,205.37,189.52,193.89,42845100
2025-04-07,175.8146,193.3194,173.65,182.19,69300496
2025-04-08,185.503,191.99,174.39,184.67,30510667
2025-04-09,174.0621,187.62,167.28,171.27,40768922
2025-04-10,191.4325,198.0,188.1815,189.9,30233395
2025-04-11,187.4596,194.18,185.264,187.49,21809233
2025-04-14,207.7376,212.029,197.3,209.74,43798151
2025-04-15,201.6808,203.21,197.7,199.88,16719863
2025-04-16,198.4026,201.6,195.1615,198.57,17200792
2025-04-17,194.2355,212.05,193.44,196.4,15671764
2025-04-21,192.6622,212.28,190.4517,191.13,10877334
2025-04-22,196.0128,198.537,192.33,194.35,10864287
2025-04-23,204.7558,207.1101,179.23,205.99,17700306
2025-04-24,203.5753,205.7759,200.64,203.35,10709147
2025-04-25,206.672,208.3547,204.12,204.64,10586621
2025-04-28,208.7332,210.5952,205.55,209.15,11239471
2025-04-29,208.315,211.332,207.4786,208.7,10812588
2025-04-30,208.0461,210.44,204.11,206.7,9430910
2025-05-01,209.9977,212.1784,192.33,208.22,14068379
2025-05-02,202.3701,235.34,201.2951,206.56,35469757
2025-05-05,201.9822,204.47,190.4,202.38,21974569
2025-05-06,198.6068,204.47,196.1771,196.94,15030424
2025-05-07,197.7205,200.59,196.5057,199.22,12219141
2025-05-08,196.207,198.4,193.12,196.68,13385798
2025-05-09,199.2887,199.682,196.16,197.77,12143714
2025-05-12,208.2629,212.79,197.92,210.64,27094358
2025-05-13,210.5957,211.2338,208.29,210.17,17890125
2025-05-14,212.131,213.2875,210.88,211.61,14443902
2025-05-15,211.1042,211.8818,206.72,209.22,12370180
2025-05-16,211.2437,211.9217,209.1302,211.25,18048475
2025-05-19,205.1317,210.62,203.637,207.48,17996226
2025-05-20,206.0696,211.18,205.8403,207.04,10852280
2025-05-21,203.6869,206.23,203.4376,205.35,10998612
2025-05-22,199.3501,202.32,199.0909,201.02,16244231
2025-05-23,195.9007,201.86,192.54,194.31,31605032
2025-05-27,197.4699,199.16,193.1,197.93,16501890
2025-05-28,201.7727,220.17,197.83,200.52,13991764
2025-05-29,202.5404,207.27,199.81,203.22,15354169
2025-05-30,198.3631,199.84,192.57,198.04,10707089
2025-06-02,201.1097,201.5135,197.91,199.09,11197432
2025-06-03,200.4894,202.6201,200.14,201.28,12583046
2025-06-04,202.4108,205.611,200.35,201.8,14722828
2025-06-05,202.6774,203.58,200.6561,203.13,13215459
2025-06-06,204.3964,205.0726,199.52,201.84,13307949
2025-06-09,204.2152,205.3717,203.3,204.17,12906824
2025-06-10,201.5205,203.7267,199.89,200.77,16634416
2025-06-11,203.3628,204.26,201.28,202.79,13360770
2025-06-12,197.436,198.99,196.7582,198.84,12844577
2025-06-13,198.2934,199.7589,195.1,199.39,17962444
2025-06-16,196.3543,198.079,195.36,197.1,12924066
2025-06-17,196.459,197.81,195.6564,196.9,9631368
2025-06-18,194.6345,196.9674,194.475,195.43,10241949
2025-06-20,198.8026,200.3371,195.1,196.77,28983117
2025-06-23,199.6691,201.683,197.49,200.95,14258216
2025-06-24,201.6232,204.36,199.5894,203.18,14804508
2025-06-25,202.2528,203.0488,199.19,200.78,13892643
2025-06-26,200.9702,202.13,199.0411,200.67,14870941
2025-06-27,202.2212,202.6002,200.2374,201.11,15205577
2025-06-30,200.2823,202.13,198.9813,201.25,14396601
2025-07-01,206.4085,215.12,203.79,206.66,34180102
2025-07-02,209.0106,212.6893,207.19,209.06,29216236
2025-07-03,211.3534,213.756,209.17,211.13,17163441
2025-07-07,213.7512,215.5705,210.78,211.71,15870863
2025-07-08,208.7115,210.187,207.8142,209.52,12331575
2025-07-09,209.9377,210.2568,206.8173,208.7,13208817
2025-07-10,209.7134,212.8289,208.96,209.42,15143587
2025-07-11,210.0773,211.76,200.39,210.33,10527297
2025-07-14,209.0704,210.52,206.907,208.83,13488239
2025-07-15,209.7782,210.4861,207.46,208.66,11854070
2025-07-16,210.1471,211.7522,208.36,209.4,15048035
2025-07-17,209.8879,210.48,208.9508,210.36,10316828
2025-07-18,209.6785,210.3664,208.86,209.95,18122459
2025-07-21,212.2599,215.1219,210.54,211.79,24056529
2025-07-22,211.8319,213.3772,211.5828,212.45,15250089
2025-07-23,213.8559,215.13,211.7621,214.89,15642422
2025-07-24,214.6134,215.0321,197.42,213.13,14326505
2025-07-25,213.9106,214.5835,213.07,213.78,13005263
2025-07-28,213.447,214.28,210.54,213.7,9843854
2025-07-29,213.776,214.1548,210.8549,213.45,14672924
2025-07-30,211.149,213.11,209.11,210.2,8859819
2025-07-31,208.0934,209.26,207.1861,208.86,14727353
2025-08-01,211.154,212.9286,202.999,210.46,35200472
2025-08-04,204.8525,211.37,201.76,203.2,18956406
2025-08-05,202.3559,204.1658,201.5434,203.18,12833303
2025-08-06,207.9638,211.6226,202.3,205.83,30307716
2025-08-07,217.4747,219.72,212.6,218.19,35691400
