Date,Open,High,Low,Close,Volume
2025-02-03,113.335,115.95,111.41,113.33,11937650
2025-02-04,115.59,117.7899,113.98,115.43,13182309
2025-02-05,107.92,119.5,106.5,107.68,49008942
2025-02-06,112.115,112.56,109.02,111.17,19317233
2025-02-07,109.54,110.16,106.79,109.63,18873918
2025-02-10,108.6668,110.61,107.29,108.4,14273128
2025-02-11,110.15,111.94,108.94,109.18,9629800
2025-02-12,109.5964,111.9,108.87,109.8,9055796
2025-02-13,112.91,114.6,111.17,112.81,14251072
2025-02-14,113.77,114.63,111.66,112.26,12730208
2025-02-18,114.205,115.55,113.0,114.19,12335110
2025-02-19,113.81,116.11,113.14,114.93,11930963
2025-02-20,115.5,116.55,113.12,115.05,11416231
2025-02-21,115.05,115.76,113.01,114.85,10456229
2025-02-24,110.3,112.0,108.16,111.67,10481402
2025-02-25,107.6099,108.64,105.05,107.82,11850771
2025-02-26,104.58,105.99,103.96,105.08,9797279
2025-02-27,105.52,106.6,102.1905,105.92,11970527
2025-02-28,99.27,101.8,98.75,99.99,12411943
2025-03-03,101.8958,102.34,99.27,101.08,10624203
2025-03-04,97.42,98.93,95.35,95.86,16572056
2025-03-05,100.56,102.63,96.22,100.67,8639203
2025-03-06,99.315,101.67,98.67,99.7,7937192
2025-03-07,99.0,100.0,97.83,98.82,9272049
2025-03-10,98.96,101.29,97.41,98.63,12616135
2025-03-11,97.11,98.9,94.73,97.62,10519567
2025-03-12,99.48,99.99,96.76,99.68,9072427
2025-03-13,99.53,100.79,97.92,100.05,9598304
2025-03-14,100.12,100.81,98.11,99.48,7466552
2025-03-17,105.21,106.15,100.0,102.58,20119424
2025-03-18,103.605,105.57,101.6,103.72,9580771
2025-03-19,102.95,104.72,101.96,103.89,8201153
2025-03-20,106.5485,108.26,104.8,105.44,9806491
2025-03-21,104.44,107.26,104.33,105.82,9686034
2025-03-24,109.8516,112.7357,106.44,109.54,16153498
2025-03-25,114.4343,114.98,112.71,113.7,11056232
2025-03-26,115.46,115.8999,104.99,114.2,14794691
2025-03-27,105.9707,110.19,105.5499,106.4,15247994
2025-03-28,105.4268,106.65,103.28,105.29,10052119
2025-03-31,99.89,103.22,98.8,100.3,11574501
2025-04-01,101.33,103.55,101.0,102.38,6634350
2025-04-02,101.53,103.4,100.76,101.3,5974442
2025-04-03,98.76,102.96,96.43,97.3,13495649
2025-04-04,89.7699,94.34,83.67,90.21,25299269
2025-04-07,80.88,89.0,77.75,83.82,29236749
2025-04-08,87.13,88.93,79.87,84.85,19024596
2025-04-09,79.3624,83.64,75.2,77.9,20728342
2025-04-10,92.29,96.84,88.47,93.68,17742790
2025-04-11,91.3,94.76,87.88,90.32,23061534
2025-04-14,96.78,97.84,93.4,97.55,15348698
2025-04-15,95.6299,96.82,93.65,94.17,9282653
2025-04-16,89.46,95.29,87.59,88.82,19692958
2025-04-17,87.9125,90.0,86.63,88.9,10733548
2025-04-21,85.94,97.79,84.51,85.33,9816941
2025-04-22,85.5328,86.8,85.36,86.71,9347609
2025-04-23,92.3551,93.74,86.15,91.32,17111638
2025-04-24,90.655,93.2,89.01,91.18,11626237
2025-04-25,93.94,95.75,92.85,93.3,9516721
2025-04-28,96.15,97.4865,90.44,96.01,7889184
2025-04-29,95.81,97.35,95.33,95.98,5536450
2025-04-30,93.53,96.06,91.87,92.86,9427872
2025-05-01,99.025,100.38,97.35,99.35,8384398
2025-05-02,99.08,99.587,88.84,98.1,9393353
2025-05-05,100.33,101.6,84.81,98.6,14688786
2025-05-06,98.55,101.99,97.44,99.76,12170618
2025-05-07,102.52,103.46,97.75,100.04,38863996
2025-05-08,103.28,105.44,100.24,101.79,23953641
2025-05-09,103.175,103.54,98.62,102.54,13572965
2025-05-12,109.29,110.86,102.84,110.65,19678509
2025-05-13,110.175,111.49,107.32,109.8,16946028
2025-05-14,122.115,122.52,112.46,116.68,39550596
2025-05-15,117.36,117.83,114.4,116.93,15942931
2025-05-16,117.2924,118.66,114.77,117.96,17593529
2025-05-19,114.4,117.17,113.11,115.3,12075844
2025-05-20,113.76,117.48,112.54,114.56,10288145
2025-05-21,113.9699,115.37,113.02,114.2,12481991
2025-05-22,111.52,113.06,110.94,112.48,9696407
2025-05-23,108.64,111.73,107.21,107.31,11214974
2025-05-27,112.7594,115.37,108.0,113.78,13199062
2025-05-28,114.52,115.82,113.76,115.5,8057344
2025-05-29,114.94,117.07,112.86,115.46,11818890
2025-05-30,110.98,113.05,85.56,111.9,9087377
2025-06-02,112.9101,113.82,109.35,111.3,13066547
2025-06-03,113.82,116.32,113.28,114.87,11347296
2025-06-04,117.59,118.46,115.73,117.81,8786078
2025-06-05,118.7,119.4,116.435,118.83,11086747
2025-06-06,117.9,118.38,115.34,117.02,8616622
2025-06-09,121.05,122.3699,116.19,118.5,22984466
2025-06-10,121.31,123.4391,120.8,121.8,14468424
2025-06-11,123.5599,124.6,122.16,124.25,10882851
2025-06-12,120.94,121.88,119.6,120.6,7419097
2025-06-13,115.99,118.5,115.14,116.4,13980850
2025-06-16,120.06,127.45,116.16,119.0,38860830
2025-06-17,127.7,130.7,125.22,128.87,42144310
2025-06-18,127.21,129.63,126.72,128.6,19004711
2025-06-20,130.3401,132.805,126.13,128.25,36733377
2025-06-23,130.0165,133.25,127.0,131.03,27267643
2025-06-24,134.6,138.16,129.58,133.64,38681953
2025-06-25,140.96,144.18,138.43,140.88,35535942
2025-06-26,143.83,148.0,133.52,146.85,28427707
2025-06-27,146.005,147.7504,143.68,144.19,25942111
2025-06-30,142.1677,146.02,141.01,144.82,17371806
2025-07-01,139.41,142.28,136.01,138.43,23893712
2025-07-02,135.59,138.48,134.06,134.54,14304338
2025-07-03,138.52,139.89,135.65,139.59,16373422
2025-07-07,136.42,138.05,133.8,137.03,14799971
2025-07-08,136.6125,138.79,134.8,137.16,13641794
2025-07-09,139.63,140.65,136.61,138.66,15774932
2025-07-10,143.825,145.82,138.0,143.6,32708736
2025-07-11,142.16,145.1688,141.6,143.16,15080330
2025-07-14,143.78,146.7,141.9,145.43,17054188
2025-07-15,156.66,158.68,145.88,154.45,51363129
2025-07-16,155.345,156.51,152.56,155.8,17932024
2025-07-17,160.0863,162.39,159.15,161.74,19278419
2025-07-18,159.77,161.5,156.93,159.6,19462516
2025-07-21,158.86,160.34,156.99,157.35,14256413
2025-07-22,154.7314,157.0,149.34,156.31,24271748
2025-07-23,157.37,158.35,154.72,156.51,15454745
2025-07-24,159.19,162.3499,158.36,159.76,18854791
2025-07-25,163.9,167.17,162.12,164.26,25915800
2025-07-28,171.36,174.7,156.99,169.85,34405374
2025-07-29,177.47,182.31,168.88,175.48,45361749
2025-07-30,176.77,179.64,173.8,176.11,24766575
2025-07-31,180.2199,185.65,178.35,183.46,27846094
2025-08-01,169.8742,176.31,166.82,169.64,33334201
2025-08-04,174.17,177.47,167.56,175.66,21064757
2025-08-05,175.195,180.38,172.2905,178.68,26602213
2025-08-06,166.1078,174.31,157.8,165.07,59234895
2025-08-07,168.0,172.68,163.12,166.55,39159184
2025-08-08,173.3117,176.78,172.4,174.65,27805097
2025-08-11,170.108,178.82,166.67,170.06,32383591
2025-08-12,172.07,174.95,168.5,174.45,23486511
2025-08-13,183.54,186.65,174.63,180.05,48707149
2025-08-14,182.5646,185.44,179.64,180.87,32365777
2025-08-15,177.9899,207.6,176.25,180.8,22530210
2025-08-18,177.735,178.81,174.36,175.68,17147946
2025-08-19,170.075,176.14,167.19,173.68,28146542
2025-08-20,164.13,166.65,158.25,164.7,26705454
2025-08-21,164.26,167.35,162.2558,164.89,15980344
2025-08-22,162.77,168.53,160.6,161.48,20082899
2025-08-25,163.25,167.97,161.72,165.55,17680838
2025-08-26,167.18,169.77,162.01,167.88,26016869
2025-08-27,165.9301,168.17,164.65,166.59,10662700
2025-08-28,169.68,170.99,165.1,168.4,17235530
2025-08-29,167.2899,168.58,161.9,167.02,16636098
2025-09-02,158.295,174.84,156.62,157.65,17727696
2025-09-03,161.22,163.6797,160.58,162.81,10831322
2025-09-04,159.6495,163.1,157.79,160.14,14975541
2025-09-05,154.69,162.1,150.29,158.12,36090780
2025-09-08,150.155,152.6388,149.22,151.25,21315133
2025-09-09,153.01,154.37,151.06,151.84,17338698
2025-09-10,161.98,164.525,155.82,162.79,22804911
2025-09-11,158.68,160.21,155.255,158.18,18256956
2025-09-12,156.31,157.82,154.92,156.69,12970041
2025-09-15,159.057,161.27,157.33,160.85,14161847
2025-09-16,159.6604,162.45,159.53,161.71,11708877
2025-09-17,159.0899,161.63,157.32,158.6,13242719
2025-09-18,152.0,162.3,149.57,151.61,40892103
2025-09-19,156.7701,159.84,155.21,157.27,18654611
2025-09-22,159.88,161.78,155.0,157.56,16555942
2025-09-23,162.3016,162.63,159.79,160.96,13657146
2025-09-24,164.115,165.1,160.32,162.1,15491028
2025-09-25,156.8711,160.99,154.7798,157.74,12671085
2025-09-26,161.3129,162.11,157.9326,161.29,10335366
2025-09-29,161.1037,164.035,159.46,160.46,14949489
2025-09-30,159.715,162.28,159.33,161.08,11466687
2025-10-01,161.955,163.87,159.0,160.88,13182304
2025-10-02,169.065,170.26,157.66,169.49,24655124
2025-10-03,170.21,172.0,167.2,170.15,14296723
2025-10-06,215.96,226.709,164.67,223.58,143000366
2025-10-07,217.64,218.9,203.71,213.85,55494673
2025-10-08,212.29,223.64,210.695,213.06,45281150
2025-10-09,235.1,244.0,232.72,238.16,43357449
2025-10-10,232.86,234.8,222.64,232.8,30446698
2025-10-13,219.53,238.22,216.9,222.9,25647529
2025-10-14,217.615,223.88,208.6,220.21,31742876
2025-10-15,225.3,237.13,218.09,223.69,38131006
2025-10-16,239.35,242.44,235.02,237.5,28704215
2025-10-17,232.765,235.7,223.5,233.69,22359832
2025-10-20,237.21,242.86,233.08,237.9,26055785
2025-10-21,240.54,242.5,234.02,240.45,20023206
2025-10-22,236.19,240.1324,229.37,237.37,19465005
2025-10-23,229.15,234.51,227.92,229.07,14231346
2025-10-24,249.19,253.08,234.99,242.75,33702911
2025-10-27,254.29,262.42,249.8001,259.15,25669924
2025-10-28,260.41,264.58,256.21,258.24,19557177
2025-10-29,265.8799,272.0,258.01,262.05,16508984
2025-10-30,259.165,265.78,254.63,258.63,15577057
2025-10-31,258.3301,262.13,254.84,259.6,10727654
2025-11-03,258.12,260.91,253.89,259.15,13665875
2025-11-04,248.445,259.65,247.39,250.93,16811106
2025-11-05,246.46,260.05,235.48,245.12,28305572
2025-11-06,251.78,257.5,235.74,254.9,27235026
2025-11-07,230.26,241.47,226.53,231.45,21132523
2025-11-10,243.1125,248.9,233.54,241.48,19232305
2025-11-11,244.41,246.17,237.58,241.98,14019251
2025-11-12,257.0,263.51,237.52,252.3,52812118
2025-11-13,252.94,259.6309,245.68,253.37,24728852
2025-11-14,236.2485,249.56,235.08,240.02,22103481
2025-11-17,243.9501,250.5,241.3,245.14,13173507
2025-11-18,234.4899,240.52,224.71,235.97,20399536
2025-11-19,228.74,235.2799,227.0,230.6,12335820
2025-11-20,231.9985,238.93,222.13,231.3,15692236
2025-11-21,205.335,209.2,195.0,208.0,26499000
2025-11-24,209.5639,213.68,203.08,205.89,14451048
2025-11-25,198.07,215.05,194.275,200.86,30473368
2025-11-26,210.5,212.84,201.07,211.03,17552237
2025-11-28,216.645,218.3,214.02,216.0,9476596
2025-12-01,215.715,219.93,211.41,213.51,13086333
2025-12-02,223.48,225.98,218.08,223.17,12848521
2025-12-03,214.635,218.98,211.7686,218.15,11555975
2025-12-04,215.87,218.48,214.5729,216.58,8134666
2025-12-05,221.555,223.642,215.75,216.4,15011095
2025-12-08,221.0954,223.06,217.97,219.19,9591001
2025-12-09,219.13,225.19,217.907,221.7,11547239
2025-12-10,219.84,222.99,218.67,222.49,6457015
2025-12-11,213.4194,221.42,210.1901,218.08,11926088
2025-12-12,220.475,222.49,212.555,219.36,10572257
2025-12-15,212.775,215.36,209.06,212.42,9753385
2025-12-16,208.2332,209.25,203.26,207.02,8463754
2025-12-17,209.27,213.5,201.195,210.68,9761595
2025-12-18,205.5402,206.36,198.11,203.45,11250290
2025-12-19,206.2245,212.37,201.06,203.08,15176293
2025-12-22,215.875,220.17,213.31,218.0,10224078
2025-12-23,215.8024,222.1,211.93,213.0,6998139
2025-12-24,216.03,220.46,213.97,215.57,4650273
2025-12-26,216.215,216.83,213.03,215.9,6800171
2025-12-29,211.523,215.4799,209.24,212.08,8331861
2025-12-30,215.91,216.64,214.46,215.9,5336184
2025-12-31,215.2874,217.64,175.02,215.6,6579067
2026-01-02,224.3522,227.15,214.16,218.04,15654049
2026-01-05,230.65,234.02,223.47,229.72,13338090
2026-01-06,220.015,223.4,211.93,222.82,14513061
2026-01-07,207.9299,214.35,207.17,213.21,13956170
2026-01-08,208.845,211.55,204.8,210.88,10427717
2026-01-09,205.55,206.81,203.07,206.19,7966475
2026-01-12,203.32,209.17,199.8,201.75,11088016
2026-01-13,220.352,222.23,205.0,215.36,27754846
2026-01-14,217.25,223.91,215.11,217.75,16422763
2026-01-15,233.79,238.1,222.24,229.66,25123619
2026-01-16,229.91,235.8,227.92,233.55,15813508
2026-01-20,231.99,239.48,221.5,226.5,19972705
2026-01-21,238.65,252.9,231.92,234.98,27066646
2026-01-22,249.7503,256.4,246.632,253.21,15334781
2026-01-23,262.28,266.96,251.52,260.29,23435292
2026-01-26,254.3101,259.68,250.3,256.23,12169876
2026-01-27,249.94,255.55,247.96,252.2,10369888
2026-01-28,254.685,258.86,252.03,255.87,10158623
2026-01-29,259.1251,260.5298,242.07,253.95,12614195
2026-01-30,241.235,252.18,235.75,247.07,13798405
2026-02-02,241.54,249.97,226.5,235.55,16479650
2026-02-03,249.48,252.7,241.744,250.77,13701144
2026-02-04,223.19,242.11,205.2,218.65,21537667
2026-02-05,204.19,205.93,191.544,200.55,16233487
2026-02-06,188.1,206.8,187.25,198.49,12315116
2026-02-07,208.86,208.98,208.5,208.63,54070
2026-02-09,207.71,215.88,204.04,208.37,15745040
