Date,Open,High,Low,Close,Volume
2025-02-03,236.06,238.3,228.83,234.4,16044483
2025-02-04,238.585,242.33,235.05,238.48,9216373
2025-02-05,236.94,242.07,235.5,238.68,14490160
2025-02-06,237.925,239.5,236.17,237.99,11901075
2025-02-07,233.14,238.83,228.5,232.78,33143526
2025-02-10,230.76,239.73,223.16,230.2,13862356
2025-02-11,232.5,237.41,231.07,231.31,3932014
2025-02-12,232.82,233.0,228.19,229.75,5084141
2025-02-13,229.3,230.3231,228.0,229.05,4528212
2025-02-14,230.16,231.24,227.23,229.5,4837633
2025-02-15,228.58,228.6,228.5,228.59,13695
2025-02-18,228.7,230.37,225.02,229.72,11522797
2025-02-19,226.49,242.06,223.71,225.75,4572030
2025-02-20,225.92,233.92,216.96,224.89,5314603
2025-02-21,223.33,224.0,218.07,223.74,8419505
2025-02-22,216.6,216.8,216.5,216.58,29626
2025-02-24,216.0199,218.55,212.72,217.94,12882601
2025-02-25,212.55,226.65,206.1598,212.44,12659655
2025-02-26,213.7,218.16,212.8,214.39,8058847
2025-02-27,214.2,218.64,204.84,217.38,6580236
2025-02-28,209.1,210.68,207.92,209.05,6032299
2025-03-01,212.65,212.75,212.55,212.62,21756
2025-03-03,213.635,214.42,201.99,213.99,10300464
2025-03-04,205.15,205.89,197.432,202.18,12027524
2025-03-05,205.69,206.84,198.02,204.94,5241420
2025-03-06,208.26,209.38,203.3,204.14,5663709
2025-03-07,201.0,201.85,196.515,199.81,8740188
2025-03-08,199.06,199.1,199.0,199.05,14030
2025-03-10,195.75,214.35,190.88,194.92,17255119
2025-03-11,191.34,200.18,190.79,194.38,9236753
2025-03-12,197.01,201.66,196.46,201.02,6936437
2025-03-13,199.6,199.89,193.85,197.89,7009869
2025-03-14,194.88,212.28,193.89,197.15,5574787
2025-03-15,197.89,198.06,197.85,198.0,20811
2025-03-17,198.2,199.88,195.25,199.32,13063708
2025-03-18,196.05,196.44,190.34,193.3,6539515
2025-03-19,192.82,194.29,192.31,193.7,4339547
2025-03-20,196.1,199.32,193.56,194.6,6702191
2025-03-21,194.85,195.74,192.95,193.2,4919800
2025-03-22,196.4,196.7,196.21,196.65,28378
2025-03-24,200.4,203.3,196.21,200.23,13810133
2025-03-25,203.2,206.21,202.3,203.75,5722748
2025-03-26,206.02,207.0,196.43,206.35,4941460
2025-03-27,199.7,203.6,199.55,200.37,4774338
2025-03-28,200.5,201.36,193.91,199.19,9235955
2025-03-29,192.32,192.69,192.25,192.65,39426
2025-03-31,185.805,192.72,184.4,189.3,21621066
2025-04-01,189.35,191.12,188.06,188.49,5614969
2025-04-02,193.05,193.1,188.55,189.0,4468056
2025-04-03,183.9,230.21,176.92,181.4,24345461
2025-04-04,178.3,178.79,163.23,168.55,27067530
2025-04-05,170.0,171.0,169.77,170.2,83093
2025-04-07,165.5,183.4099,158.88,168.03,47946676
2025-04-08,178.79,184.9099,162.19,182.88,12693320
2025-04-09,167.06,175.52,166.0,170.05,13529699
2025-04-10,192.5,192.75,180.94,186.42,9087727
2025-04-11,179.8,184.4,178.0,180.0,7983406
2025-04-12,184.78,185.09,184.7,184.98,17412
2025-04-14,186.5076,188.49,182.62,187.48,16341855
2025-04-15,181.67,191.1,179.45,181.63,7286240
2025-04-16,177.76,180.49,175.58,177.16,5795212
2025-04-17,174.38,177.04,172.6,176.22,5894287
2025-04-18,173.1,173.15,173.0,173.13,20884
2025-04-21,169.02,173.21,165.85,169.31,14954222
2025-04-22,166.84,173.03,166.84,170.5,7862251
2025-04-23,179.29,187.38,169.63,182.62,11993679
2025-04-24,180.88,184.52,178.27,181.54,8361301
2025-04-25,189.77,190.75,180.6,186.79,5850624
2025-04-26,188.95,189.24,188.9,189.1,13149
2025-04-28,188.182,190.5,181.88,190.0,9963241
2025-04-29,187.51,189.15,183.71,184.63,10330246
2025-04-30,186.29,187.4,178.85,182.93,8614139
2025-05-01,190.64,192.27,167.32,189.93,8690299
2025-05-02,185.2,193.2,184.1,192.51,16529968
2025-05-03,189.9,189.95,189.89,189.9,39148
2025-05-05,187.665,189.98,166.01,187.15,11452877
2025-05-06,186.08,187.13,184.1,184.37,4571412
2025-05-07,187.41,190.99,185.01,186.26,9438910
2025-05-08,189.44,192.85,186.8,191.54,5146834
2025-05-09,191.92,193.98,185.01,192.85,6956696
2025-05-10,193.14,193.24,193.05,193.2,23388
2025-05-12,208.8,211.66,193.06,210.04,36025876
2025-05-13,208.69,214.84,206.73,211.4,10473460
2025-05-14,210.58,212.18,210.09,211.46,5122964
2025-05-15,209.15,210.25,187.06,207.95,11852250
2025-05-16,204.9,206.6,204.62,206.0,5945202
2025-05-17,202.5,202.5,202.0,202.05,56982
2025-05-19,202.265,206.62,200.73,201.79,11513941
2025-05-20,206.47,212.62,203.72,204.9,4389296
2025-05-21,203.77,204.07,200.25,201.88,7795066
2025-05-22,200.94,203.52,200.4,202.08,5127636
2025-05-23,202.86,203.63,196.33,196.79,5761556
2025-05-24,200.42,200.46,200.23,200.34,14484
2025-05-27,203.29,205.36,198.27,203.8,10904060
2025-05-28,205.98,206.44,205.03,206.12,4775010
2025-05-29,210.7,211.95,204.72,207.91,5691236
2025-05-30,205.01,206.74,167.32,203.92,3917513
2025-05-31,204.51,204.7,204.5,204.65,13885
2025-06-02,205.675,206.22,202.68,204.17,9116157
2025-06-03,206.98,208.32,205.39,206.7,4873914
2025-06-04,205.9,207.2,204.86,205.88,4646062
2025-06-05,207.2,211.49,207.01,209.81,8451481
2025-06-06,207.8,213.31,207.7,212.15,6636155
2025-06-07,213.56,213.75,213.53,213.75,20663
2025-06-09,213.43,215.2574,212.88,214.8,11261293
2025-06-10,217.3,218.78,215.52,217.2,4419386
2025-06-11,217.66,219.16,216.3,218.0,5175090
2025-06-12,212.88,213.39,205.02,212.37,4175848
2025-06-13,212.72,213.24,208.0,209.48,5399718
2025-06-14,211.9,211.9,211.75,211.81,17209
2025-06-16,212.07,214.86,211.6,213.41,9924878
2025-06-17,214.84,217.41,208.64,214.65,5229269
2025-06-18,214.23,217.96,214.02,215.2,6027110
2025-06-19,213.0,213.16,212.52,212.52,40690
2025-06-20,213.99,214.89,210.08,214.08,20244950
2025-06-21,210.06,210.2,210.0,210.18,11583
2025-06-23,207.69,210.81,207.39,209.85,9673850
2025-06-24,210.81,213.46,208.47,211.87,5262160
2025-06-25,212.9,218.0,212.77,214.3,4301528
2025-06-26,212.15,214.25,211.99,213.28,4892292
2025-06-27,218.14,221.33,217.12,220.11,8231389
2025-06-28,222.4,222.5,222.33,222.5,34647
2025-06-30,222.02,225.2,220.74,223.55,18402489
2025-07-01,219.49,220.686,218.37,218.87,7013422
2025-07-02,220.79,221.65,218.74,219.09,6011454
2025-07-03,220.12,223.41,219.47,221.0,7166569
2025-07-07,222.79,224.69,222.27,223.87,12290801
2025-07-08,223.2,224.5,218.43,223.95,12576993
2025-07-09,219.55,224.29,219.36,221.21,8252944
2025-07-10,222.1,222.54,219.7,221.76,5395313
2025-07-11,223.7,224.88,217.12,223.37,10091435
2025-07-12,224.96,225.0,224.62,224.82,13115
2025-07-14,225.024,226.33,223.13,225.1,12882944
2025-07-15,225.39,227.2,225.25,226.4,6582393
2025-07-16,225.78,226.4,223.8668,225.95,5787053
2025-07-17,223.1,224.05,222.51,223.7,4619222
2025-07-18,224.23,224.65,222.98,224.34,4740985
2025-07-19,225.94,226.05,225.9,225.98,8822
2025-07-21,226.615,228.19,225.65,226.38,15617263
2025-07-22,229.35,230.4,226.57,229.96,5228990
2025-07-23,228.18,228.75,227.47,228.4,3036266
2025-07-24,229.88,233.97,214.47,229.58,7808165
2025-07-25,232.58,233.42,231.18,232.97,5035397
2025-07-26,231.62,232.0,231.6,231.69,26454
2025-07-28,232.61,234.29,226.13,233.53,9520837
2025-07-29,233.0,234.0,230.31,233.35,5805881
2025-07-30,231.21,232.23,229.73,231.46,4362461
2025-07-31,237.43,238.56,230.19,237.1,13011459
2025-08-01,218.68,234.11,213.6,216.11,23457545
2025-08-02,214.88,215.15,214.85,215.09,62370
2025-08-04,215.295,236.95,212.08,217.3,29260319
2025-08-05,212.35,215.99,211.65,212.85,9380442
2025-08-06,213.55,217.78,213.43,214.94,8247036
2025-08-07,221.32,226.22,221.0,221.25,8155638
2025-08-08,223.5,224.18,222.02,223.56,4925141
2025-08-09,222.69,222.75,222.65,222.72,18631
2025-08-11,222.24,223.91,220.4,223.24,9819650
2025-08-12,221.16,223.0,219.335,222.64,5845037
2025-08-13,221.38,224.34,221.2,221.73,5922034
2025-08-14,224.4,230.49,224.06,225.91,8249135
2025-08-15,230.9,232.6852,218.2,232.46,5828221
2025-08-16,230.95,231.0,230.81,230.9,8673
2025-08-18,230.19,231.66,228.33,230.6,8210300
2025-08-19,231.2,231.49,227.68,230.68,4978161
2025-08-20,227.21,228.01,220.915,226.7,6656984
2025-08-21,223.46,225.09,220.57,222.6,5736582
2025-08-22,222.06,226.9073,220.88,222.84,8200648
2025-08-23,228.78,228.88,228.76,228.87,16560
2025-08-25,227.82,229.3399,227.0,227.32,6730489
2025-08-26,227.56,228.6,226.58,227.18,3087560
2025-08-27,228.69,229.705,228.06,228.77,3139237
2025-08-28,228.61,231.5599,228.41,229.26,4532598
2025-08-29,231.29,231.6,228.4801,231.32,3959231
2025-08-30,228.74,228.84,228.6,228.79,5966
2025-09-02,223.9191,229.0,223.1,223.75,11390187
2025-09-03,224.95,227.105,224.4,225.34,3935142
2025-09-04,228.3,234.14,225.99,231.09,10285217
2025-09-05,235.48,236.5,232.66,235.5,6786924
2025-09-06,232.15,232.2,232.0,232.09,11250
2025-09-08,234.435,237.2099,232.33,234.06,11878141
2025-09-09,236.07,236.94,235.1,235.83,4073237
2025-09-10,237.06,238.24,232.2,237.08,10094973
2025-09-11,231.07,232.32,229.3377,232.17,5938352
2025-09-12,229.9,238.62,228.41,230.17,4911058
2025-09-13,228.15,228.28,228.1,228.28,13108
2025-09-15,231.65,233.41,228.15,230.44,12730381
2025-09-16,231.38,235.6,231.31,233.34,8257557
2025-09-17,233.9,234.71,229.71,233.24,6895901
2025-09-18,232.22,233.5,230.07,232.33,5825711
2025-09-19,231.6,233.9,231.18,232.37,5661101
2025-09-20,231.73,231.79,231.7,231.75,21030
2025-09-22,229.095,232.25,227.91,230.86,10929742
2025-09-23,228.04,228.74,221.32,228.38,12579196
2025-09-24,221.46,224.99,220.71,223.87,9112306
2025-09-25,220.7,222.22,218.54,220.0,8337710
2025-09-26,218.4,221.55,217.78,220.6,7399224
2025-09-27,220.29,220.3,220.2,220.25,22562
2025-09-29,220.06,223.0,219.3,221.69,11844216
2025-09-30,221.87,222.57,217.89,222.22,8296746
2025-10-01,219.08,220.2,216.0,218.4,6297130
2025-10-02,220.92,222.13,219.11,221.78,6706818
2025-10-03,222.25,224.38,222.07,223.28,6931850
2025-10-04,219.84,219.9,219.7,219.82,24485
2025-10-06,217.72,221.43,216.03,220.47,15442705
2025-10-07,220.61,231.23,210.71,221.6,5036881
2025-10-08,221.47,224.37,221.36,223.28,7707424
2025-10-09,225.8,225.87,221.75,224.73,6251230
2025-10-10,227.21,228.14,224.815,226.91,7421360
2025-10-11,215.0,215.65,214.99,215.1,121841
2025-10-13,218.07,227.68,217.04,218.0,14633798
2025-10-14,219.79,220.07,214.84,216.97,6879222
2025-10-15,217.11,218.3,215.15,217.95,9210837
2025-10-16,215.69,218.54,215.36,216.32,4945243
2025-10-17,213.72,214.8,211.18,214.18,7725192
2025-10-18,213.27,213.56,213.26,213.37,34078
2025-10-20,214.03,215.66,211.68,213.73,10945760
2025-10-21,216.69,222.24,212.28,217.96,9973543
2025-10-22,219.85,222.03,216.91,219.28,8058869
2025-10-23,218.26,220.65,217.95,219.15,5388843
2025-10-24,220.6,224.64,220.22,221.7,6446553
2025-10-25,224.34,224.48,224.27,224.31,17730
2025-10-27,226.9215,228.98,224.21,228.42,10747410
2025-10-28,227.72,229.25,226.21,228.37,6263794
2025-10-29,229.22,234.0,227.76,232.5,9015422
2025-10-30,228.7,230.6,226.41,227.14,9782850
2025-10-31,251.86,253.45,222.86,252.19,35639145
2025-11-01,244.35,244.4,244.25,244.3,47199
2025-11-03,258.364,258.6,244.22,248.48,39666506
2025-11-04,252.05,255.44,247.87,248.98,8758788
2025-11-05,247.65,269.56,247.0,249.01,5264096
2025-11-06,249.42,250.94,243.41,250.05,8163715
2025-11-07,243.67,249.61,214.47,241.15,5667543
2025-11-08,245.3,245.36,245.0,245.15,20217
2025-11-10,249.535,251.75,243.8,248.2,12373871
2025-11-11,248.46,249.63,247.07,247.54,3359416
2025-11-12,248.99,252.52,244.47,251.4,6468379
2025-11-13,243.75,246.71,240.14,243.07,4873699
2025-11-14,233.665,238.47,232.6,233.09,12452714
2025-11-17,233.89,238.0,229.19,235.75,23708326
2025-11-18,228.52,232.87,222.6,227.79,21370348
2025-11-19,221.075,224.44,218.52,223.49,20766235
2025-11-20,226.48,244.2,222.54,227.73,13257103
2025-11-21,217.62,220.5,208.48,218.42,10956903
2025-11-22,221.45,221.5,221.35,221.5,17342
2025-11-24,225.0,226.79,220.69,222.63,12871307
2025-11-25,226.17,227.87,219.85,225.34,5688373
2025-11-26,230.0,232.0,229.05,231.85,4638550
2025-11-27,229.49,229.65,229.37,229.56,15378
2025-11-28,230.94,232.74,229.16,231.3,7852287
2025-12-01,234.8999,235.797,229.92,233.36,12591504
2025-12-02,234.73,236.7,233.88,236.2,7696808
2025-12-03,234.25,235.76,230.71,235.16,6369672
2025-12-04,232.48,233.2,227.53,232.46,8254259
2025-12-05,229.1,231.24,228.88,229.39,4438031
2025-12-06,229.86,229.86,229.65,229.75,18387
2025-12-08,229.7469,231.02,227.7963,229.83,8985388
2025-12-09,227.05,228.44,226.17,226.65,3768547
2025-12-10,227.95,241.43,227.23,229.47,4638989
2025-12-11,230.86,231.78,228.0,230.48,3768342
2025-12-12,230.54,230.93,226.15,230.7,5586969
2025-12-13,226.03,226.19,226.01,226.19,15278
2025-12-15,225.0,227.93,222.89,227.55,10758971
2025-12-16,222.36,223.7,220.18,222.91,4582170
2025-12-17,222.12,227.2,222.0,224.9,5582966
2025-12-18,221.5,228.48,221.27,224.77,7247414
2025-12-19,226.8,228.3,226.5,227.58,4833386
2025-12-20,227.89,227.93,227.78,227.87,19919
2025-12-22,227.29,229.0,226.78,228.79,9229443
2025-12-23,228.71,231.3,227.73,227.84,4582747
2025-12-24,232.18,232.71,231.33,232.64,2775508
2025-12-26,231.8241,232.98,231.18,232.82,4388007
2025-12-27,232.48,232.5,232.45,232.45,10027
2025-12-29,231.2543,232.88,230.77,231.77,5277162
2025-12-30,231.84,232.19,230.91,231.75,2893970
2025-12-31,232.3,232.88,230.8801,232.69,2836154
2026-01-01,230.91,230.91,230.81,230.85,7965
2026-01-02,233.29,235.458,225.5,232.64,21016699
2026-01-03,226.64,226.68,226.6,226.64,24385
2026-01-05,228.1899,233.56,225.93,227.55,17784034
2026-01-06,232.82,238.63,232.25,233.22,7471067
2026-01-07,241.25,244.28,239.55,240.76,6557531
2026-01-08,241.49,246.1,239.42,243.66,5890874
2026-01-09,245.91,246.41,242.24,245.96,6368903
2026-01-10,247.48,247.59,247.48,247.55,11633
2026-01-12,247.725,248.48,244.1,245.92,10572857
2026-01-13,245.0,247.69,242.72,246.2,6560255
2026-01-14,242.63,242.73,237.21,241.0,6969753
2026-01-15,236.63,240.3,236.42,239.42,7061089
2026-01-16,237.83,240.9,236.41,239.18,4548308
2026-01-17,238.88,238.88,238.5,238.71,20650
2026-01-20,233.3442,239.12,231.11,232.9,14110959
2026-01-21,231.4,233.2,229.52,230.29,5649718
2026-01-22,231.95,234.79,230.9,234.55,5849143
2026-01-23,235.1,240.06,233.05,234.51,6928189
2026-01-24,238.7,238.85,238.66,238.8,15984
2026-01-26,239.21,240.95,237.5,239.67,8629491
2026-01-27,239.01,242.9299,238.42,239.92,7229783
2026-01-28,245.0,247.775,242.855,245.99,7027512
2026-01-29,241.28,243.35,236.795,241.76,9153217
2026-01-30,240.97,243.315,237.81,238.8,5610881
2026-01-31,239.16,239.49,239.0,239.25,13463
2026-02-02,240.225,245.6299,234.0,238.29,12364067
2026-02-03,244.11,245.65,237.55,244.0,10493902
2026-02-04,238.84,240.24,234.37,238.99,6942837
2026-02-05,234.19,234.5,220.38,228.93,14194439
2026-02-06,198.43,222.69,197.53,204.05,37717603
2026-02-07,209.85,210.1,209.81,210.0,64787
2026-02-09,204.05,212.5,203.35,209.06,34327398
2026-02-10,209.01,212.6499,208.72,210.17,13370396
2026-02-11,207.78,209.15,204.17,208.97,11208493
2026-02-12,204.09,205.58,198.31,204.5,16906431
2026-02-13,198.9,199.92,197.29,199.05,13347001
2026-02-14,198.91,199.0,198.85,198.96,35635
2026-02-17,200.07,200.53,196.0,198.98,27469564
2026-02-18,201.19,206.86,200.8,202.88,9890061
2026-02-19,205.12,206.15,203.3,203.89,5702764
2026-02-20,205.36,211.0,204.53,205.43,18875868
2026-02-21,209.98,210.05,209.94,210.05,47600
2026-02-23,207.21,210.11,203.92,208.15,18422431
2026-02-24,205.27,207.95,204.28,205.7,6119620
2026-02-25,208.59,211.59,208.5,209.86,5936271
2026-02-26,209.38,211.2,204.44,210.7,8807806
2026-02-27,206.57,209.22,204.8,207.49,8050113
2026-02-28,209.25,209.54,209.05,209.23,28054
2026-03-02,207.1,210.0,202.98,205.08,14524956
2026-03-03,207.68,208.39,202.0,203.83,7633982
2026-03-04,208.25,217.54,205.63,209.95,11598284
2026-03-05,217.23,217.25,214.53,215.3,623727
2026-03-06,219.14,219.71,214.5,214.6,634867
2026-03-07,212.69,212.85,212.46,212.52,17447
2026-03-09,208.32,215.55,206.72,209.7,863136
2026-03-10,212.61,215.5,211.5,213.61,1211992
2026-03-11,214.6,215.88,213.79,214.44,307896
2026-03-12,211.8,212.65,210.23,211.48,259417
2026-03-13,208.6,211.0,207.88,210.65,265411
2026-03-16,208.51,209.68,207.15,209.4,305743
2026-03-17,210.51,212.77,209.2,212.3,235014
2026-03-18,215.96,216.57,212.89,213.09,377241
