Date,Open,High,Low,Close,Volume
2025-02-03,213.7876,219.27,208.31,212.75,9890475
2025-02-04,216.0272,221.0117,213.05,214.85,6044909
2025-02-05,227.8938,231.8229,220.41,229.85,8463300
2025-02-06,229.9798,234.84,227.3742,232.62,5710120
2025-02-07,231.4266,233.5175,224.6871,230.69,6613200
2025-02-10,226.1734,232.82,222.84,226.77,6427240
2025-02-11,229.0736,232.91,205.12,230.14,3844098
2025-02-12,231.1689,234.37,227.9186,229.4,4730963
2025-02-13,233.1112,235.65,218.83,233.14,5220560
2025-02-14,227.7898,234.33,226.8285,233.02,5645878
2025-02-18,227.1258,232.87,222.2703,230.38,9459938
2025-02-19,226.3083,229.27,220.42,224.29,4710671
2025-02-20,225.7088,226.9078,220.7342,225.72,4305997
2025-02-21,222.9093,226.54,220.9423,224.48,4324889
2025-02-24,216.6713,218.69,209.2293,218.4,7224098
2025-02-25,204.6709,207.89,199.2208,206.28,9006709
2025-02-26,205.0722,209.1995,200.71,205.66,5604475
2025-02-27,214.1444,217.2659,203.4917,214.54,6881094
2025-02-28,192.7894,226.46,191.4021,195.06,11389188
2025-03-03,197.2189,203.14,189.2715,202.55,10341182
2025-03-04,185.5208,188.2806,178.8467,184.61,11940701
2025-03-05,186.9947,191.7291,185.78,187.74,7148409
2025-03-06,178.0787,189.85,176.0027,180.4,14790722
2025-03-07,187.795,202.52,177.83,192.24,28515325
2025-03-10,188.2013,193.2,180.2638,185.99,13195567
2025-03-11,184.3812,190.758,181.15,183.2,12607427
2025-03-12,196.1784,198.1703,187.8,196.41,11056720
2025-03-13,193.1214,194.5434,188.78,191.73,6807352
2025-03-14,194.9497,197.63,189.63,194.37,6769672
2025-03-17,191.6795,195.71,185.8032,195.07,8626690
2025-03-18,188.89,192.74,186.7446,188.38,7648765
2025-03-19,186.3086,188.6503,185.2086,187.14,3946147
2025-03-20,191.3089,196.28,188.31,192.35,5919966
2025-03-21,187.3228,190.5534,186.2493,186.81,8445906
2025-03-24,193.9828,195.5136,190.51,193.68,6201970
2025-03-25,189.46,190.76,187.6807,189.53,4743822
2025-03-26,186.5376,192.69,181.5277,185.86,8219073
2025-03-27,175.4294,178.35,171.677,176.81,9214433
2025-03-28,171.1104,172.2635,167.5916,169.45,7811490
2025-03-31,160.3452,168.53,159.6593,164.01,9997295
2025-04-01,165.2308,168.49,162.4426,166.65,5773513
2025-04-02,165.3998,168.9832,164.5101,166.25,4165418
2025-04-03,161.5678,238.96,157.5719,158.26,10398800
2025-04-04,145.3057,154.06,138.3377,147.19,19722623
2025-04-07,140.5294,159.4704,131.71,144.03,21926479
2025-04-08,165.8107,168.7645,137.54,161.68,18645411
2025-04-09,157.7408,162.5519,148.61,157.06,11346158
2025-04-10,174.8678,184.04,171.5179,176.14,11543233
2025-04-11,173.1481,179.0228,168.53,172.61,9865867
