Date,Open,High,Low,Close,Volume
2025-02-03,96.4361,100.1524,93.15,94.63,16610686
2025-02-04,98.8547,101.2929,95.62,98.78,11564883
2025-02-05,98.8936,100.62,97.59,98.58,6836540
2025-02-06,98.8301,100.05,97.61,99.17,5348614
2025-02-07,104.4782,106.0,98.69,102.59,24581335
2025-02-10,105.8841,108.4501,101.76,106.29,17023713
2025-02-11,110.7605,113.5919,96.9,106.11,27631186
2025-02-12,114.5652,116.6395,110.88,113.75,19288750
2025-02-13,114.8602,125.25,112.8251,114.66,17996251
2025-02-14,122.1747,125.43,117.52,124.23,26979802
2025-02-18,126.7955,129.49,122.63,126.31,21168186
2025-02-19,123.9346,126.21,122.8433,123.91,14987326
2025-02-20,137.4724,142.0735,121.19,135.95,67932054
2025-02-21,140.471,142.8502,133.68,138.97,36156644
2025-02-24,131.9029,141.33,126.2744,135.38,42406971
2025-02-25,131.0721,134.38,126.86,130.76,18833724
2025-02-26,136.8825,140.62,131.75,137.54,18244030
2025-02-27,137.0988,139.7,132.49,136.69,11560545
2025-02-28,129.3064,134.25,127.9458,129.3,11865146
2025-03-03,132.1192,133.7,129.7351,132.16,7778057
2025-03-04,127.7344,130.86,123.9739,127.24,11867370
2025-03-05,131.6129,136.6957,126.3,131.33,15411738
2025-03-06,141.0068,144.3,135.9878,140.5,19460426
2025-03-07,139.4092,147.2,137.59,140.93,13270087
2025-03-10,135.1129,138.25,130.6396,133.51,12720353
2025-03-11,134.6213,138.9496,130.31,135.27,13070159
2025-03-12,135.9387,137.69,133.39,136.6,7836794
2025-03-13,134.1199,136.841,130.84,132.07,8036075
2025-03-14,138.0475,140.1,136.02,139.36,8362677
2025-03-17,140.6774,144.6198,136.61,137.25,16165876
2025-03-18,142.5454,146.25,140.0974,143.78,11640798
2025-03-19,141.5721,144.4,139.478,143.21,6691121
2025-03-20,135.7519,141.68,134.4,135.38,11075596
2025-03-21,133.2449,134.6,131.0525,132.11,5015628
2025-03-24,131.8743,135.55,131.3769,134.04,6730647
2025-03-25,131.603,133.9478,128.37,129.93,9045030
2025-03-26,131.0049,131.5932,128.9191,131.0,5149677
2025-03-27,131.5441,135.339,130.01,131.64,8121176
2025-03-28,130.9493,133.34,129.1845,130.96,5569955
2025-03-31,128.1622,130.44,125.8418,127.51,5175352
2025-04-01,130.5707,132.13,129.7154,130.52,4284298
2025-04-02,130.3053,131.56,127.7393,130.48,5384160
2025-04-03,125.7927,128.4668,122.82,123.51,15322972
2025-04-04,115.863,127.15,109.4238,116.6,27910840
2025-04-07,106.4052,114.58,101.29,106.51,25036294
2025-04-08,104.1341,107.38,98.96,103.92,16791842
2025-04-09,100.0836,106.72,94.1159,98.57,28985138
2025-04-10,105.5892,108.62,103.01,103.01,13786199
2025-04-11,103.3476,107.73,100.7128,103.98,15877389
2025-04-14,110.903,114.0442,105.91,109.74,15744015
2025-04-15,111.4831,112.87,109.5906,111.68,6809376
2025-04-16,106.9459,110.39,105.45,107.27,7060971
2025-04-17,109.1088,110.41,104.95,109.54,7172766
2025-04-21,106.6559,108.64,105.4615,107.36,3983354
2025-04-22,111.5077,112.67,108.29,112.48,9452335
2025-04-23,116.9788,121.7225,113.93,118.17,14938716
2025-04-24,116.443,117.1902,114.35,116.62,3291969
2025-04-25,116.9693,119.35,115.46,116.17,3941576
2025-04-28,118.0259,118.6354,116.6495,117.63,2757100
2025-04-29,116.6888,117.65,115.7057,116.19,3263261
2025-04-30,117.7604,119.23,116.3447,117.48,4145501
2025-05-01,117.903,119.4023,117.3475,118.32,3081129
2025-05-02,122.6614,124.49,118.5,123.7,7187101
2025-05-05,123.1825,125.2,120.93,122.74,4846820
2025-05-06,125.9107,127.4345,123.71,126.92,7646093
2025-05-07,122.4795,125.51,121.3489,123.21,5768504
2025-05-08,122.6368,124.78,121.15,123.24,3543681
2025-05-09,125.1635,125.8,123.2783,125.45,4216733
2025-05-12,131.4153,132.72,123.22,130.98,11341556
2025-05-13,130.0693,130.5314,126.31,128.89,6222592
2025-05-14,131.0328,132.2421,129.0,132.05,6236834
2025-05-15,123.2784,131.79,120.7885,126.16,18120166
2025-05-16,123.3004,124.82,121.81,123.71,6385458
2025-05-19,118.6993,121.68,117.9767,118.86,6118352
2025-05-20,122.4205,123.1087,120.89,122.03,3790916
2025-05-21,123.2759,123.9346,121.8798,123.53,3106185
2025-05-22,119.6874,121.51,118.8812,119.71,3022202
2025-05-23,118.5866,120.24,116.7,117.5,3492928
2025-05-27,117.5466,118.96,116.64,117.72,3357765
2025-05-28,115.3567,117.5,115.0273,116.11,3852219
2025-05-29,116.384,119.28,114.77,117.15,4839868
2025-05-30,112.3045,115.2,111.5372,113.11,5769437
2025-06-02,113.061,113.67,111.07,112.79,5402496
2025-06-03,113.7738,114.18,112.4859,113.73,4380686
2025-06-04,115.0288,117.1312,113.03,114.57,6060658
2025-06-05,117.7359,119.57,117.1312,118.92,6114823
2025-06-06,116.9248,117.94,116.1,117.15,3144777
2025-06-09,118.2225,119.5,117.37,119.12,3029330
2025-06-10,118.1051,119.7,117.86,118.69,2140087
2025-06-11,120.8328,121.3784,118.7337,120.61,4348649
2025-06-12,116.31,120.33,116.09,117.42,3990978
2025-06-13,114.415,116.62,112.95,113.83,3745898
2025-06-16,115.1112,116.9,112.87,114.88,4126250
2025-06-17,116.44,117.15,115.68,116.3,2556751
2025-06-18,113.4405,115.03,113.14,113.6,2252079
2025-06-20,114.1,114.67,112.28,114.59,3684416
2025-06-23,112.0625,113.02,111.68,112.44,2869258
