Date,Open,High,Low,Close,Volume
2025-02-03,177.25,177.91,171.0,173.01,2739324
2025-02-04,176.475,179.3,174.585,176.0,1429206
2025-02-05,177.22,180.54,175.02,175.19,2449173
2025-02-06,183.35,185.85,181.08,181.56,3227321
2025-02-07,185.18,186.1087,181.6,185.5,1961034
2025-02-10,183.14,183.55,180.04,182.89,1578421
2025-02-11,179.0,182.08,174.26,180.0,1212048
2025-02-12,178.875,183.9,178.05,179.0,1976278
2025-02-13,187.5,188.24,184.62,185.8,2389732
2025-02-14,184.9188,187.0,183.6,186.39,1464261
2025-02-18,184.7339,188.66,184.22,185.23,2497001
2025-02-19,186.09,187.2299,181.83,184.84,3412755
2025-02-20,185.035,186.15,180.25,185.28,3340395
2025-02-21,180.975,182.2,177.1,181.55,2457883
2025-02-24,178.21,181.66,176.55,177.01,1989475
2025-02-25,181.28,181.88,176.46,180.59,2408501
2025-02-26,177.22,179.79,172.21,178.66,2590441
2025-02-27,175.565,176.84,173.04,173.6,1652124
2025-02-28,173.83,176.3,173.31,174.42,1437399
2025-03-03,177.37,178.4,174.0,176.17,1638282
2025-03-04,164.3639,170.99,156.69,168.02,6917426
2025-03-05,159.91,162.75,158.81,160.2,2155727
2025-03-06,160.5,163.29,158.29,160.6,1796224
2025-03-07,157.35,159.77,149.76,157.9,4967980
2025-03-10,147.825,154.18,147.61,150.95,3156581
2025-03-11,147.335,150.44,145.76,148.5,2099353
2025-03-12,158.48,159.35,149.72,156.35,3031700
2025-03-13,160.65,161.74,157.2,159.56,2404585
2025-03-14,159.55,162.01,158.73,160.97,1657870
2025-03-17,161.5895,162.97,159.8001,161.69,1804257
2025-03-18,160.665,162.6,158.8901,161.1,1476169
2025-03-19,170.04,173.09,160.01,162.42,6904306
2025-03-20,171.4889,175.0,170.31,172.61,1425742
2025-03-21,172.37,182.98,170.77,171.83,9418090
2025-03-24,183.8425,184.4,178.11,182.45,4178771
2025-03-25,183.045,183.7,180.12,181.66,2511558
2025-03-26,181.61,183.2278,161.56,182.61,2274519
2025-03-27,178.9599,182.22,176.0,178.27,1953516
2025-03-28,176.465,179.8,172.61,178.28,3407354
2025-03-31,169.39,173.74,166.792,170.7,2272142
2025-04-01,168.385,170.975,164.2191,169.76,3544492
2025-04-02,167.01,170.38,165.55,166.85,2327632
2025-04-03,158.67,168.56,154.04,159.7,5399244
