Date,Open,High,Low,Close,Volume
2025-02-03,88.13,90.58,84.41,86.89,2118641
2025-02-04,90.125,94.25,86.83,89.94,3098431
2025-02-05,89.54,92.88,88.935,90.97,1877101
2025-02-06,88.76,89.8,87.87,89.15,1062453
2025-02-07,91.02,91.64,87.8,89.89,2803428
2025-02-10,92.37,93.77,91.25,92.1,2334158
2025-02-11,89.05,92.6,88.11,91.41,3090247
2025-02-12,91.105,93.46,88.6,90.89,2921700
2025-02-13,96.85,102.0,93.34,97.41,5560580
2025-02-14,99.85,100.64,96.16,99.65,5939388
2025-02-18,91.6986,99.81,89.53,92.96,7937365
2025-02-19,89.005,91.01,87.01,90.02,4063853
2025-02-20,90.63,92.7388,87.5,89.9,5209352
2025-02-21,93.15,95.75,90.5,92.22,7004588
2025-02-24,89.505,93.24,86.7806,91.26,4037840
2025-02-25,88.0,89.45,87.035,88.95,1544045
2025-02-26,90.3011,92.25,89.02,91.05,2491118
2025-02-27,89.94,91.05,87.21,89.58,1879227
2025-02-28,85.345,87.2895,84.98,85.95,1411186
2025-03-03,86.68,86.9921,84.96,86.5,1076851
2025-03-04,85.7804,88.065,85.285,86.29,2363557
2025-03-05,89.94,91.6,88.87,89.59,1727972
2025-03-06,92.81,94.3,91.1529,93.25,3985747
2025-03-07,93.24,95.81,92.02,92.52,1843944
2025-03-10,95.31,95.74,92.56,93.8,1765010
2025-03-11,95.58,97.19,93.04,94.69,1872666
2025-03-12,92.975,94.99,89.89,93.41,1812943
2025-03-13,94.28,96.98,91.41,93.7,3307716
2025-03-14,94.74,96.0,93.6346,95.65,1440422
2025-03-17,98.15,99.44,94.28,95.58,4965631
2025-03-18,103.375,107.25,102.17,104.19,6660863
2025-03-19,100.235,102.55,97.52,102.24,3931768
2025-03-20,95.2,98.0,94.35,94.88,2744319
2025-03-21,93.955,95.03,93.1,93.5,1328447
2025-03-24,94.53,96.84,94.28,95.5,1483024
2025-03-25,96.42,97.79,94.4,95.42,1576859
2025-03-26,96.3,99.23,95.7,95.92,2033112
2025-03-27,97.7549,99.4947,97.4603,98.26,1520426
2025-03-28,94.08,96.5,93.15,95.4,2193985
2025-03-31,90.9296,93.37,90.07,91.56,1532614
2025-04-01,91.11,92.49,90.75,91.35,736861
2025-04-02,92.315,92.71,91.22,91.9,830304
2025-04-03,89.1488,90.98,88.3,89.1,2236378
2025-04-04,83.27,89.37,78.71,83.11,5839564
2025-04-07,81.67,83.9,75.79,78.82,4690915
2025-04-08,80.5494,81.92,76.62,81.57,2078670
2025-04-09,76.02,81.09,73.63,74.43,4348292
2025-04-10,81.455,83.44,79.76,81.29,2261871
2025-04-11,80.81,83.3,78.47,80.52,3260811
2025-04-14,85.52,86.725,82.73,84.83,2209815
2025-04-15,84.22,85.6,83.82,84.63,1223003
2025-04-16,83.3824,84.51,81.95,83.16,985899
2025-04-17,84.13,85.43,82.44,85.1,1043295
2025-04-21,82.26,83.8,82.0,82.9,1153482
2025-04-22,84.345,85.91,82.98,84.2,1099725
2025-04-23,87.29,89.19,86.17,87.23,1329757
2025-04-24,87.95,89.46,86.53,87.36,571056
2025-04-25,90.575,92.0,89.53,90.24,968714
2025-04-28,90.16,90.67,89.26,89.9,860418
2025-04-29,89.72,89.955,88.07,89.71,632311
2025-04-30,88.11,89.66,86.84,88.69,946979
2025-05-01,87.98,88.67,87.69,88.42,451879
2025-05-02,90.7,91.0,87.91,90.64,860307
2025-05-05,88.99,90.91,88.42,89.53,811821
2025-05-06,91.6927,92.22,89.75,91.2,1562274
2025-05-07,89.1,91.49,85.92,90.28,2249528
2025-05-08,86.9,88.22,86.56,87.35,825292
2025-05-09,88.215,88.51,86.22,87.75,1175266
2025-05-12,91.16,92.15,86.86,90.43,1771367
2025-05-13,90.65,91.97,89.08,90.14,1152385
2025-05-14,93.3501,94.1,91.09,93.48,1269822
2025-05-15,89.6,92.17,88.485,90.36,2185315
2025-05-16,90.12,90.63,89.2058,89.73,943020
2025-05-19,88.32,89.34,87.61,88.21,911282
2025-05-20,89.28,89.95,89.01,89.61,1025062
2025-05-21,92.48,95.15,87.34,91.24,8420942
2025-05-22,83.84,85.47,83.48,84.73,1825947
2025-05-23,83.81,85.71,83.18,83.79,1425805
2025-05-27,84.335,84.67,83.2,83.75,1337522
2025-05-28,83.87,84.57,83.18,83.79,1114117
2025-05-29,84.5,86.62,83.19,85.26,1217818
2025-05-30,82.1001,83.87,81.33,82.85,1532317
2025-06-02,83.454,83.53,81.01,82.83,1372171
2025-06-03,83.865,84.29,83.22,83.54,903144
2025-06-04,84.385,85.4136,84.1026,84.44,916791
2025-06-05,85.36,86.83,84.73,85.74,1524076
2025-06-06,85.165,85.765,84.66,85.61,685395
2025-06-09,87.47,88.9597,87.05,87.44,1549418
2025-06-10,87.5649,88.19,86.85,87.8,813283
2025-06-11,88.815,89.0,87.47,88.15,919322
2025-06-12,86.82,88.105,86.78,87.795,1039030
2025-06-13,86.59,87.81,85.58,86.42,905439
2025-06-16,87.455,88.37,86.08,87.09,894880
2025-06-17,86.67,87.25,86.0,86.66,791778
2025-06-18,84.58,85.5,84.41,84.99,533613
2025-06-20,84.4601,85.27,83.66,85.11,802575
2025-06-23,83.5292,84.95,83.24,83.71,1346490
2025-06-24,85.505,86.99,84.5,85.3,981129
2025-06-25,86.67,87.4,86.37,86.94,550815
