Date,Open,High,Low,Close,Volume
2025-02-03,274.33,291.33,260.0,273.2,4772921
2025-02-04,283.16,287.42,277.25,283.17,1993971
2025-02-05,283.87,285.3299,277.99,282.32,1500626
2025-02-06,282.51,284.6,272.2767,280.0,2181051
2025-02-07,278.705,281.25,270.0,274.77,2893899
2025-02-10,284.9818,285.558,274.49,280.3,2640111
2025-02-11,273.13,286.13,272.3464,278.24,1792619
2025-02-12,265.84,271.91,263.0,264.89,1878745
2025-02-13,284.47,295.9,276.27,283.77,5481234
2025-02-14,285.68,298.5,276.5,292.71,8950615
2025-02-18,275.195,279.18,267.8585,276.73,3918991
2025-02-19,264.27,269.28,259.3,267.69,2215689
2025-02-20,259.61,264.1,250.3701,260.71,2602012
2025-02-21,264.42,271.28,254.88,268.77,5040231
2025-02-24,236.26,241.57,223.6,239.85,4270012
2025-02-25,220.2518,227.07,205.12,217.0,7507001
2025-02-26,212.11,218.57,210.5,214.0,2838346
2025-02-27,219.48,221.58,209.9501,219.14,3516894
2025-02-28,201.9801,216.44,198.0,205.25,3888485
2025-03-03,230.33,239.99,216.91,237.09,7312772
2025-03-04,200.11,205.5,193.09,199.85,4809754
2025-03-05,212.24,218.83,209.0,215.0,2768389
2025-03-06,217.15,228.43,213.59,215.81,3165564
2025-03-07,214.11,222.05,211.99,213.76,2551914
2025-03-10,202.665,207.91,191.861,206.3,4808524
2025-03-11,186.11,191.25,179.23,184.06,4346017
2025-03-12,196.9225,199.3,185.9,197.76,3343233
2025-03-13,187.475,192.32,178.0,189.88,3081209
2025-03-14,184.53,186.5548,177.49,183.26,3457221
2025-03-17,183.71,186.96,179.31,182.0,2116929
2025-03-18,184.5,188.96,178.78,184.8,2591389
2025-03-19,183.39,189.03,181.14,184.89,1921795
2025-03-20,188.36,193.93,185.2,188.3,2081280
2025-03-21,184.09,191.35,183.75,186.26,2341280
2025-03-24,196.6575,200.96,194.415,198.19,3434973
2025-03-25,203.43,206.93,198.61,202.3,2511316
2025-03-26,203.77,205.9999,187.22,204.0,2375449
2025-03-27,192.37,196.73,189.65,192.68,1544481
2025-03-28,185.56,188.68,178.27,184.78,2585435
2025-03-31,166.29,173.93,163.52,170.31,3249404
2025-04-01,171.3662,177.0,168.545,173.68,1790919
2025-04-02,175.265,182.83,170.1,171.83,2190389
2025-04-03,170.21,175.99,164.65,168.91,3547875
2025-04-04,161.795,173.51,147.17,165.94,5332315
2025-04-07,149.24,167.4,135.02,148.8,6078370
2025-04-08,163.79,167.8,158.05,162.82,3285927
2025-04-09,153.375,159.5,144.25,150.65,2711327
2025-04-10,169.65,175.93,166.05,170.77,2969587
2025-04-11,173.864,176.75,167.0,171.99,2663323
2025-04-14,179.155,182.39,175.0,181.43,2454400
2025-04-15,177.72,179.7678,172.8672,177.35,1986543
2025-04-16,172.43,175.57,169.61,171.9,1320887
2025-04-17,173.6,175.53,171.3,174.12,1176506
2025-04-21,177.525,178.47,172.17,175.94,1881084
2025-04-22,181.6038,189.86,174.45,178.44,4246410
2025-04-23,197.22,200.8,185.82,198.17,4214058
2025-04-24,195.99,201.92,189.67,193.9,2390684
2025-04-25,206.7181,209.74,203.2,206.0,2713822
2025-04-28,206.4,210.35,203.77,209.0,2085038
2025-04-29,205.38,208.0,203.135,206.21,1451886
2025-04-30,200.71,206.22,195.55,200.71,1735460
2025-05-01,205.49,210.26,202.3,209.05,2147990
2025-05-02,205.3176,207.9523,202.0,205.3,1750211
2025-05-05,202.62,204.93,199.6,201.31,1979272
2025-05-06,196.535,200.0,193.34,196.5,1663570
2025-05-07,198.787,201.7,196.8,200.1,1507415
2025-05-08,204.305,208.34,201.56,206.94,4105780
2025-05-09,204.3763,214.13,200.21,205.12,8581566
2025-05-12,210.1068,213.6,199.32,208.11,6114089
2025-05-13,236.55,242.9199,225.08,230.25,13425111
2025-05-14,261.29,263.36,252.2,258.5,6678491
2025-05-15,252.275,261.28,240.8001,255.79,8600018
2025-05-16,252.175,265.89,242.6,249.0,10093735
2025-05-19,262.225,267.6,254.51,259.11,5234865
2025-05-20,263.63,270.88,253.16,266.98,2942693
2025-05-21,261.77,264.96,258.39,261.7,2600599
2025-05-22,266.392,271.14,258.99,265.8,5266672
2025-05-23,267.165,274.79,260.41,262.5,3717764
2025-05-27,266.61,270.83,263.16,268.24,2868548
2025-05-28,258.45,266.9,254.71,266.31,3540834
2025-05-29,256.11,264.5,249.68,258.46,2792621
2025-05-30,245.815,249.03,244.35,246.55,1577065
2025-06-02,247.25,249.86,242.88,247.5,2141202
2025-06-03,247.225,260.25,246.2182,249.09,3968772
2025-06-04,259.7473,263.44,254.455,258.25,2581281
2025-06-05,262.23,265.65,253.12,259.0,3699148
2025-06-06,252.54,256.17,246.48,249.5,2605961
2025-06-09,256.21,258.32,251.27,257.8,2288094
2025-06-10,259.36,262.4,254.48,259.05,2083265
2025-06-11,256.03,259.9,254.09,256.93,2043560
2025-06-12,243.195,249.25,242.9808,247.3,2348283
2025-06-13,239.76,241.2,232.85,237.65,2067406
2025-06-16,247.42,254.38,245.32,248.5,3151584
2025-06-17,256.675,261.57,254.17,256.16,2289133
2025-06-18,252.785,257.57,251.88,254.35,1885259
2025-06-20,305.66,310.58,289.04,306.99,13353053
2025-06-23,300.51,314.25,298.0,303.7,7535852
2025-06-24,313.41,338.34,310.0,311.5,11523984
2025-06-25,367.6828,369.28,343.71,362.39,17207663
2025-06-26,363.03,374.97,314.77,356.12,11071219
2025-06-27,368.56,376.77,348.28,373.2,9647208
2025-06-30,356.2444,360.45,351.28,357.7,4299148
2025-07-01,339.1094,353.3956,335.8101,339.51,5105158
2025-07-02,343.4554,348.0999,335.33,338.8,3699218
2025-07-03,355.0,359.22,348.5,352.93,3703190
2025-07-07,352.53,363.9999,351.0,351.6,3771973
2025-07-08,360.925,368.79,351.23,360.99,4525463
2025-07-09,358.04,364.59,353.2901,357.93,3556777
2025-07-10,374.46,380.9,369.0,371.62,5071277
2025-07-11,386.81,400.4,382.472,392.79,6887167
2025-07-14,393.03,398.5,388.58,393.18,5862696
2025-07-15,392.8,400.8799,386.12,389.53,4935420
2025-07-16,399.022,401.6399,387.3,392.56,5314772
2025-07-17,398.05,415.9599,394.277,400.4,6518453
2025-07-18,428.8,444.645,410.75,420.2,12287615
2025-07-21,420.5,433.8,417.0,427.5,5537835
2025-07-22,415.027,422.37,394.37,421.35,7313132
2025-07-23,391.185,407.35,388.54,400.93,4499489
2025-07-24,396.575,404.6632,392.0,400.83,2453745
2025-07-25,393.52,393.9,386.385,391.7,3494900
2025-07-28,388.61,402.0,376.0801,395.5,4909407
2025-07-29,382.36,384.7799,373.68,383.0,2766591
2025-07-30,379.41,386.58,371.3,376.66,4297491
2025-07-31,380.17,389.52,377.48,387.39,3089677
2025-08-01,326.685,377.76,314.88,338.12,14189123
2025-08-04,314.36,330.6,311.0,320.0,6371972
2025-08-05,310.105,318.8,300.1,304.75,6311050
2025-08-06,297.804,303.72,293.3101,297.7,5776568
2025-08-07,313.28,316.7799,302.28,312.92,5700434
2025-08-08,311.1984,314.39,302.4101,312.88,3411283
2025-08-11,321.7112,333.66,310.49,319.92,6841106
2025-08-12,324.945,329.86,314.159,326.67,4174668
2025-08-13,334.15,345.3899,322.62,326.5,7832293
2025-08-14,320.77,332.49,316.8,317.73,3951587
2025-08-15,318.37,327.63,316.67,324.72,3343751
2025-08-18,314.2,317.55,307.11,312.12,3124616
2025-08-19,319.03,322.59,307.97,320.68,3355269
2025-08-20,300.94,306.45,291.46,304.5,3670910
