Date,Open,High,Low,Close,Volume
2025-02-03,17.1,17.99,16.4,17.05,16702207
2025-02-04,17.99,18.04,17.4,17.71,8175544
2025-02-05,17.86,17.94,17.3,17.72,8831024
2025-02-06,17.405,17.545,16.89,17.26,10188501
2025-02-07,17.65,17.86,16.84,17.18,15386331
2025-02-10,17.1111,17.17,16.75,17.11,8714161
2025-02-11,16.41,17.0,16.295,16.63,7819065
2025-02-12,15.83,16.42,15.68,15.93,8685549
2025-02-13,16.0007,16.685,15.88,16.23,11729771
2025-02-14,17.15,17.3,16.77,16.96,10740026
2025-02-18,16.62,16.85,16.3101,16.77,8656224
2025-02-19,16.34,16.48,16.05,16.22,7720170
2025-02-20,16.0978,16.2,15.555,15.95,8695283
2025-02-21,16.25,16.37,15.55,16.32,11484386
2025-02-24,14.47,14.97,13.68,14.77,15639691
2025-02-25,13.345,13.7,12.195,13.23,23839346
2025-02-26,12.37,12.87,12.21,12.43,12698609
2025-02-27,14.594,14.85,12.45,13.95,35599641
2025-02-28,13.11,14.55,12.17,12.82,26057456
2025-03-03,15.49,15.82,14.05,15.64,29073107
2025-03-04,13.43,14.04,13.01,13.17,17474200
2025-03-05,13.98,14.73,13.77,14.27,15590606
2025-03-06,14.895,15.7,14.62,14.7,19443434
2025-03-07,14.61,15.78,14.42,14.77,21750886
2025-03-10,15.06,16.02,13.85,15.25,17310050
2025-03-11,13.2686,13.8,12.81,13.55,13784225
2025-03-12,13.725,13.92,12.89,13.79,12852985
2025-03-13,13.2,13.3,12.62,13.11,9702825
2025-03-14,12.72,13.24,12.16,12.6,14944484
2025-03-17,13.11,13.32,12.57,13.14,11338009
2025-03-18,12.455,13.0,12.16,12.65,11953191
2025-03-19,12.26,12.57,12.19,12.28,10719574
2025-03-20,12.41,13.11,12.29,12.45,11822510
2025-03-21,12.2,12.57,12.11,12.3,10818143
2025-03-24,13.23,14.0,12.38,12.91,21478850
2025-03-25,14.6,14.69,14.09,14.38,13928271
2025-03-26,14.14,14.37,13.57,14.24,12150254
2025-03-27,13.419,14.05,13.26,13.63,9213157
2025-03-28,13.17,13.64,12.5,13.33,13536957
2025-03-31,11.555,12.18,11.29,12.09,14178735
2025-04-01,11.415,11.9,11.05,11.62,11740065
2025-04-02,11.905,12.4851,11.5,11.63,15636937
2025-04-03,11.485,11.88,11.17,11.36,11575848
2025-04-04,10.6483,11.54,9.81,11.05,16631279
2025-04-07,10.58,12.27,9.15,10.16,21260829
2025-04-08,11.55,11.92,10.09,11.7,12375798
2025-04-09,10.56,10.98,10.0,10.45,12357705
2025-04-10,11.815,12.37,11.365,12.02,11489608
2025-04-11,11.9999,12.62,11.7301,11.94,13025315
2025-04-14,12.8386,13.45,12.55,13.03,15927343
2025-04-15,13.05,13.34,12.46,13.07,12338140
2025-04-16,12.4749,12.6,12.05,12.26,7345445
2025-04-17,12.44,12.66,12.03,12.41,5632388
2025-04-21,12.89,13.11,12.61,12.82,13600380
2025-04-22,13.1293,13.69,12.5,12.64,25240469
2025-04-23,14.5,14.77,12.78,14.59,20973766
2025-04-24,13.9948,14.265,13.62,13.99,10488738
2025-04-25,14.1,14.35,13.9,14.26,12866504
2025-04-28,14.2627,14.49,13.77,14.46,12763497
2025-04-29,14.125,14.335,13.96,14.01,12822315
2025-04-30,13.8,14.2,13.045,13.93,18164177
2025-05-01,13.875,14.45,13.6,13.89,23602641
2025-05-02,14.29,14.87,14.0,14.36,20255489
2025-05-05,13.695,14.48,12.81,14.04,25899588
2025-05-06,13.0427,13.18,12.63,12.81,8973223
2025-05-07,13.3649,13.69,13.215,13.52,13980835
2025-05-08,13.8779,14.25,13.33,13.94,17612984
2025-05-09,14.8407,16.15,13.84,14.06,43599597
