Date,Open,High,Low,Close,Volume
2025-02-03,682.9046,696.4026,663.15,673.29,8355864
2025-02-04,697.8481,704.6369,689.35,698.18,5461209
2025-02-05,705.1553,715.9118,695.45,701.27,6455858
2025-02-06,705.8033,716.6695,700.33,705.35,5198560
2025-02-07,719.6004,722.7605,709.28,712.78,6059068
2025-02-10,716.4203,719.43,709.123,717.74,4543973
2025-02-11,715.79,716.5,674.93,711.22,1766412
2025-02-12,719.75,721.63,710.29,710.44,2469529
2025-02-13,725.1,726.14,719.06,723.38,1905400
2025-02-14,726.42,731.1345,722.23,722.65,2228931
2025-02-15,736.36,736.85,735.86,736.46,4102
2025-02-18,730.975,737.21,712.8813,735.0,7709178
2025-02-19,714.79,715.99,693.2324,708.45,3876598
2025-02-20,699.24,701.59,693.3321,696.38,2015099
2025-02-21,693.72,699.7422,689.6934,698.1,2801897
2025-02-22,682.91,682.91,682.31,682.31,7980
2025-02-24,682.9096,687.25,660.3946,684.37,6177840
2025-02-25,666.32,714.15,645.6206,666.35,4420994
2025-02-26,660.93,678.0896,655.46,660.14,3802102
2025-02-27,676.53,683.37,658.7797,680.69,2403925
2025-02-28,659.63,662.807,650.5554,658.72,2424962
2025-03-01,668.16,668.92,667.89,668.43,7761
2025-03-03,677.2124,679.1363,660.6239,670.71,3456397
2025-03-04,655.08,656.93,622.4926,640.38,4815229
2025-03-05,646.33,648.39,638.01,640.51,2407496
2025-03-06,654.82,655.43,640.347,646.74,1901166
2025-03-07,628.48,629.72,609.2139,624.6,4152888
2025-03-08,623.85,624.06,623.21,623.66,5045
2025-03-10,603.6612,623.72,585.0492,608.45,6491260
2025-03-11,587.08,611.9654,584.58,595.65,3192862
2025-03-12,604.87,626.9335,603.83,621.75,3075915
2025-03-13,621.73,621.96,594.1907,615.78,2769587
2025-03-14,594.69,666.7,589.32,601.98,2391294
2025-03-15,607.5,608.0,607.35,607.85,8334
2025-03-17,604.4921,611.7259,597.857,611.04,4184889
2025-03-18,605.25,605.69,574.4995,599.06,4957767
2025-03-19,580.03,587.0313,578.5204,582.9,2338967
2025-03-20,587.2,608.2437,576.7,580.81,5265999
2025-03-21,585.78,591.5212,580.7,581.24,2467557
2025-03-22,596.74,597.05,596.25,597.04,14588
2025-03-24,612.095,621.1447,594.91,610.13,6597992
2025-03-25,618.02,632.4593,614.12,623.87,3067836
2025-03-26,627.43,628.57,602.53,624.0,2271218
2025-03-27,605.07,612.8234,603.1,605.31,1951168
2025-03-28,601.49,602.4,582.8708,596.66,2763194
2025-03-29,575.39,576.0,575.06,575.5,12210
2025-03-31,554.3547,575.45,552.0599,564.92,7563463
2025-04-01,573.07,581.9727,569.98,572.21,2192750
2025-04-02,587.69,588.0091,574.5,576.48,1635651
2025-04-03,556.45,582.62,533.8009,549.02,6530024
2025-04-04,530.85,548.04,493.0923,508.35,8096643
2025-04-05,502.17,502.48,500.0,500.56,29839
2025-04-07,486.9561,538.1611,465.85,493.29,16150541
2025-04-08,524.5,544.457,482.44,535.46,4471621
2025-04-09,496.0,521.47,487.67,506.11,3762215
2025-04-10,587.61,588.0,552.1297,572.21,4310442
2025-04-11,543.5,558.15,527.4054,543.78,3747820
2025-04-12,542.86,543.0,542.5,543.0,8704
2025-04-14,552.918,556.5199,538.7997,551.27,4331040
2025-04-15,529.09,584.46,525.5794,530.76,2814820
2025-04-16,514.15,520.35,503.98,510.12,2565201
2025-04-17,502.9,509.13,496.8971,507.03,2599428
2025-04-18,501.8,502.5,501.61,502.49,5544
2025-04-21,491.451,502.11,481.8975,491.68,4584632
2025-04-22,483.64,493.4316,483.43,489.9,3148646
2025-04-23,520.5,531.1968,492.53,525.73,3296847
2025-04-24,520.55,530.3087,500.87,519.83,2387138
2025-04-25,554.9,555.55,531.96,545.26,3949016
2025-04-26,547.65,547.99,547.49,547.98,14292
2025-04-28,546.4126,557.25,542.94,555.44,6013348
2025-04-29,548.56,554.0554,544.28,545.08,2114231
2025-04-30,549.24,553.2,529.8099,540.35,3060869
2025-05-01,580.15,590.6731,483.57,586.68,7601603
2025-05-02,569.06,596.1309,503.59,586.55,6016273
2025-05-03,596.88,597.05,596.73,596.89,12678
2025-05-05,589.7752,601.1496,586.732,588.66,4857142
2025-05-06,597.97,599.27,587.2508,590.99,1890541
2025-05-07,592.75,595.1032,585.99,589.05,2342483
2025-05-08,597.6,608.63,587.68,605.99,2362855
2025-05-09,597.8,605.32,585.99,602.4,2643419
2025-05-10,591.79,591.92,591.5,591.5,7622
2025-05-12,620.9052,633.98,591.16,628.08,9066534
2025-05-13,639.22,655.5275,632.83,644.17,3686810
2025-05-14,655.88,662.96,653.8113,659.83,1787391
2025-05-15,658.42,658.55,643.6,647.55,1893207
2025-05-16,641.47,645.13,624.7466,639.22,4079431
2025-05-17,628.88,629.95,626.85,628.25,27465
2025-05-19,630.7081,640.0323,623.7,627.53,3470726
2025-05-20,639.92,640.44,633.34,636.07,903855
2025-05-21,636.05,643.4546,625.84,630.47,1372882
2025-05-22,634.61,641.8083,631.03,636.33,1731821
2025-05-23,635.76,637.74,618.61,619.4,1492552
2025-05-24,625.14,625.53,625.03,625.28,2468
2025-05-27,633.008,640.7,624.35,638.56,2973355
2025-05-28,640.91,644.9911,604.35,640.48,1042372
2025-05-29,650.51,657.02,641.0799,648.2,1616659
2025-05-30,642.18,645.6497,637.64,641.46,1503411
2025-05-31,645.76,646.68,645.74,646.18,2180
2025-06-02,650.853,659.2809,638.07,644.95,3864278
2025-06-03,670.05,672.0,663.5894,669.29,1803720
2025-06-04,666.99,684.8516,665.36,667.01,2852030
2025-06-05,687.54,692.8237,684.46,689.44,1999466
2025-06-06,683.45,700.0674,682.49,693.22,1884363
2025-06-07,697.43,698.28,697.29,698.28,6085
2025-06-09,695.4378,703.6095,694.24,696.26,3192150
2025-06-10,695.13,701.26,690.29,700.56,1278843
2025-06-11,702.11,704.84,696.24,702.9,1439769
2025-06-12,692.4,693.47,653.58,690.23,1306713
2025-06-13,691.6,692.4445,677.98,682.9,1487911
2025-06-14,682.0,682.49,681.49,682.32,5528
2025-06-16,700.481,706.0926,681.32,687.73,5892051
2025-06-17,698.0,701.35,695.6,699.49,1223770
2025-06-18,695.0,701.78,693.76,697.94,1120553
2025-06-19,694.91,695.94,694.61,695.3,4817
2025-06-20,698.9184,700.7703,685.2439,698.08,6016387
2025-06-21,683.78,683.98,683.62,683.79,4135
2025-06-23,679.2828,688.8485,677.01,684.45,3249177
2025-06-24,703.9,739.01,697.49,703.75,2199514
2025-06-25,711.8,715.93,708.94,715.88,1286571
2025-06-26,708.74,721.2499,685.32,712.33,2544069
2025-06-27,726.88,734.3304,725.0,729.23,3011022
2025-06-28,731.6,732.2,730.29,731.6,5375
2025-06-30,738.8086,747.76,732.36,745.32,4652804
2025-07-01,737.36,739.55,723.1072,734.9,2289716
2025-07-02,717.58,720.92,710.63,712.56,1585562
2025-07-03,713.89,722.92,712.5,720.61,2190759
2025-07-07,713.841,725.913,712.4431,715.58,2976050
2025-07-08,717.8,722.72,713.7412,720.92,1540494
2025-07-09,721.14,735.5484,716.33,721.86,2546983
2025-07-10,732.76,733.49,718.524,729.56,2184379
2025-07-11,727.58,727.97,711.9039,722.72,2018363
2025-07-12,716.6,717.28,716.2,716.9,9288
2025-07-14,719.2679,722.9174,710.85,715.16,2807838
2025-07-15,720.6,724.88,712.8925,723.49,2251523
2025-07-16,710.8,713.88,702.9473,713.18,1939664
2025-07-17,703.45,707.19,696.0627,706.44,2297578
2025-07-18,702.4,703.94,690.6158,700.77,3009994
2025-07-19,704.12,704.26,703.97,704.15,3134
2025-07-21,710.526,715.9279,703.23,705.69,3463036
2025-07-22,713.25,715.93,700.3612,715.47,2023702
2025-07-23,705.92,708.09,703.76,704.83,1357102
2025-07-24,715.0,721.4496,711.95,717.13,1932035
2025-07-25,716.54,718.8136,711.44,716.39,1349279
2025-07-26,713.65,713.8,713.3,713.8,6042
2025-07-28,720.5959,723.6515,703.23,715.21,3515759
2025-07-29,717.83,719.8,711.4346,717.92,1547143
2025-07-30,706.39,716.38,698.95,704.37,2121674
2025-07-31,774.56,783.3919,694.17,772.86,8714181
