Date,Open,High,Low,Close,Volume
2025-02-03,408.9699,411.07,400.29,406.43,8540415
2025-02-04,406.6474,439.32,405.07,407.94,6135185
2025-02-05,408.7322,409.7374,405.64,406.42,5037091
2025-02-06,411.3914,414.0655,408.91,409.28,4289349
2025-02-07,414.1595,414.63,406.7126,412.64,6291766
2025-02-10,408.3509,412.62,404.8,409.16,3916179
2025-02-11,410.68,435.22,406.37,406.49,2485579
2025-02-12,410.58,410.88,403.0819,403.89,3400179
2025-02-13,408.68,409.18,402.4581,404.8,4599390
2025-02-14,409.35,409.68,401.9826,405.32,4377217
2025-02-15,407.26,407.34,407.19,407.24,5942
2025-02-18,406.172,450.04,403.5,405.95,4999534
2025-02-19,408.79,411.83,403.8545,404.91,1930791
2025-02-20,413.9,439.76,388.55,411.31,3572148
2025-02-21,416.32,416.66,409.1256,414.52,3810075
2025-02-22,408.0,408.18,407.9,408.02,7958
2025-02-24,403.0424,408.21,396.2744,406.74,10721130
2025-02-25,404.13,406.52,394.6569,399.59,4765826
2025-02-26,399.25,400.1248,394.86,396.13,6103657
2025-02-27,399.05,400.92,394.6668,398.14,3396528
2025-02-28,392.8,393.5,386.4302,390.18,2980806
2025-03-01,396.85,396.9,396.3,396.3,5011
2025-03-03,393.7339,396.25,389.1492,395.62,5219986
2025-03-04,389.8,391.1,378.63,380.28,4661647
2025-03-05,388.4744,406.1,382.31,386.04,4662719
2025-03-06,400.74,400.97,391.25,392.15,3193638
2025-03-07,396.75,397.89,385.3682,391.6,3662370
2025-03-08,392.58,392.8,392.23,392.56,3523
2025-03-10,381.564,396.68,376.5857,384.5,7385077
2025-03-11,377.34,381.4881,374.15,377.01,4854078
2025-03-12,380.76,382.76,376.5163,381.07,2939997
2025-03-13,383.01,384.25,375.91,379.56,2601463
2025-03-14,381.0,393.96,375.58,379.62,2404873
2025-03-15,387.34,388.56,387.32,387.99,16661
2025-03-17,385.7652,387.3338,382.06,383.62,4306607
2025-03-18,388.57,389.48,379.8903,383.93,2120084
2025-03-19,383.56,384.9614,379.58,381.1,1274548
2025-03-20,388.67,389.35,381.1,383.94,2130634
2025-03-21,386.47,387.03,380.67,380.93,2226999
2025-03-22,391.2,391.51,391.11,391.5,84545
2025-03-24,389.5858,393.97,386.837,393.2,5981516
2025-03-25,392.95,393.4,389.11,391.11,2380317
2025-03-26,395.12,395.44,383.74,392.46,1905946
2025-03-27,388.88,390.4,386.09,387.33,1716497
2025-03-28,389.9,390.37,379.1758,384.8,2434022
2025-03-29,377.52,378.0,377.45,377.74,5364
2025-03-31,365.878,387.6,364.4391,371.15,7923586
2025-04-01,374.18,377.6476,370.2,371.32,3342304
2025-04-02,382.51,382.72,374.37,375.56,1772167
2025-04-03,370.8,379.23,366.59,366.69,4358498
2025-04-04,371.6,373.11,352.29,362.77,9092392
2025-04-05,359.03,359.84,358.17,359.75,40782
2025-04-07,347.1916,368.1703,335.42,352.97,19596249
2025-04-08,359.82,370.8002,343.1,362.08,5052723
2025-04-09,349.4,360.3505,343.36,349.71,3904187
2025-04-10,391.3,391.88,374.73,381.52,4047853
2025-04-11,381.29,383.75,375.58,380.12,2973159
2025-04-12,387.88,388.31,387.33,388.06,3937
2025-04-14,389.4469,391.64,385.49,388.89,4868921
2025-04-15,386.79,389.02,382.9568,385.68,3085625
2025-04-16,384.49,384.9,373.033,378.15,1967671
2025-04-17,371.77,386.97,365.8135,370.52,2216404
2025-04-18,367.33,367.61,367.23,367.49,4437
2025-04-21,361.4124,366.25,356.8177,361.57,4057273
2025-04-22,358.36,362.3055,356.38,359.54,2483569
2025-04-23,372.62,377.4888,355.13,373.88,2721631
2025-04-24,374.86,381.5278,369.18,372.63,2517055
2025-04-25,388.24,388.89,381.63,382.84,1737354
2025-04-26,390.98,391.48,390.88,391.48,3584
2025-04-28,385.1003,390.0,383.4,388.9,4397573
2025-04-29,389.77,391.8881,387.03,387.6,1789030
2025-04-30,393.3,393.69,381.5079,387.19,3831939
2025-05-01,422.78,430.8388,356.38,427.71,11638666
2025-05-02,426.34,436.0884,420.62,426.82,5704920
2025-05-03,434.06,434.15,433.71,433.86,6072
2025-05-05,431.4491,434.1037,354.7,427.45,4540757
2025-05-06,434.95,435.37,427.71,430.32,2296964
2025-05-07,435.55,435.95,427.8223,430.29,2358816
2025-05-08,434.19,435.65,430.04,432.88,4080647
2025-05-09,436.85,437.44,430.01,436.28,1855177
2025-05-10,437.64,437.8,437.2,437.55,1710
2025-05-12,438.9862,447.55,435.38,443.75,7440422
2025-05-13,447.79,448.18,442.04,444.85,4316446
2025-05-14,447.64,450.4381,441.94,444.01,3202490
2025-05-15,451.23,452.17,446.08,448.87,2397459
2025-05-16,452.0,452.75,443.41,448.87,2529747
2025-05-17,450.33,451.33,449.51,449.8,13745
2025-05-19,453.2218,455.9956,442.03,448.14,5984695
2025-05-20,459.2,459.5,447.24,454.75,2610854
2025-05-21,457.32,457.97,450.37,452.56,2813658
2025-05-22,452.33,457.5763,447.49,450.82,2933787
2025-05-23,453.28,453.92,445.57,447.14,2479420
2025-05-24,450.25,450.5,450.0,450.33,1940
2025-05-27,456.2839,457.5266,446.45,452.98,5443759
2025-05-28,460.15,460.5,454.34,458.87,1721645
2025-05-29,461.4,463.0,454.1066,458.27,1758853
2025-05-30,457.72,457.99,453.56,456.12,1629446
2025-05-31,459.44,459.69,459.0,459.55,1875
2025-06-02,457.5366,458.5109,451.36,456.16,4222230
2025-06-03,461.0,461.55,456.43,459.04,2419611
2025-06-04,462.53,462.9847,457.79,460.08,2096678
2025-06-05,464.7,464.7743,460.31,462.08,2170577
2025-06-06,468.0,470.5853,464.96,467.97,2527824
2025-06-07,470.7,470.79,470.2,470.79,1106
2025-06-09,467.5779,468.4876,464.96,466.15,3353312
2025-06-10,471.77,471.95,466.2357,469.23,1955785
2025-06-11,470.75,472.7079,465.28,467.76,2985475
2025-06-12,473.02,474.2489,466.56,473.23,2276452
2025-06-13,478.3,478.5,468.02,471.67,2675905
2025-06-14,474.42,474.95,474.08,474.21,2357
2025-06-16,474.229,477.9019,471.02,473.74,4864466
2025-06-17,475.82,476.88,470.51,472.24,1503789
2025-06-18,477.75,477.75,471.7038,475.0,1756050
2025-06-19,480.42,480.83,480.4,480.83,4357
2025-06-20,480.3532,480.6515,474.79,478.21,10255424
2025-06-21,477.65,477.8,477.0,477.75,861
2025-06-23,470.5555,475.57,469.7651,474.23,5261645
2025-06-24,489.29,489.99,483.18,485.04,2675704
2025-06-25,490.0,491.6826,485.97,489.08,2353236
2025-06-26,492.52,494.0731,488.19,491.36,2537169
2025-06-27,497.24,497.7,491.02,494.34,2888169
2025-06-28,495.76,495.95,495.5,495.73,1991
2025-06-30,493.7798,496.28,491.83,494.66,4662555
2025-07-01,497.26,497.75,492.3929,494.75,2616723
2025-07-02,491.65,492.0,485.32,486.18,2557473
2025-07-03,491.28,496.4989,487.46,489.23,3398808
2025-07-07,494.0432,497.1,492.12,495.87,3283704
2025-07-08,497.53,497.8,491.6671,495.27,1487492
2025-07-09,496.89,503.836,492.15,496.7,3769796
