Date,Open,High,Low,Close,Volume
2025-02-03,87.866,91.1004,86.86,88.26,6826485
2025-02-04,89.2614,90.8711,88.509,89.56,4254681
2025-02-05,90.8512,91.9376,89.7,89.99,3530038
2025-02-06,95.2866,96.2921,92.99,94.34,5997480
2025-02-07,95.3564,95.6155,92.6552,94.89,4777791
2025-02-10,94.0955,95.9444,91.77,92.78,5088826
2025-02-11,93.9908,95.62,88.56,94.17,4089065
2025-02-12,89.5754,94.97,87.0636,90.07,10372114
2025-02-13,93.7915,94.8082,90.95,92.11,5600350
2025-02-14,99.1404,100.3682,95.35,97.33,8755228
2025-02-18,104.0072,104.7056,98.79,102.14,8834474
2025-02-19,105.7721,107.61,94.23,105.73,5470578
2025-02-20,103.2653,104.5063,102.0045,103.65,4825213
2025-02-21,102.3633,103.86,98.4063,103.74,4123641
2025-02-24,99.3881,100.38,96.2036,99.97,5114264
2025-02-25,94.9626,95.63,92.8147,95.21,5164716
2025-02-26,96.3132,97.898,92.91,95.69,7986658
2025-02-27,98.9745,100.22,93.4825,98.87,6685720
2025-02-28,90.2836,94.1503,89.5754,90.94,7121064
2025-03-03,94.6385,95.8846,92.2964,95.28,4475828
2025-03-04,88.6782,90.93,86.5154,89.41,7669731
2025-03-05,90.8362,93.9609,90.01,91.97,3837837
2025-03-06,90.6319,94.03,89.8046,91.45,5350565
2025-03-07,91.7133,93.034,88.98,89.64,6365611
2025-03-10,89.2265,92.66,87.3427,89.7,5324444
2025-03-11,87.3078,89.6202,85.7881,87.5,6811518
2025-03-12,94.4493,95.7351,88.76,92.3,9132365
2025-03-13,95.9544,97.7983,93.59,94.6,7617084
2025-03-14,101.631,102.443,94.57,97.51,11723050
2025-03-17,102.2886,102.6723,98.49,101.72,5479955
2025-03-18,101.8251,103.41,99.9612,101.77,4489899
2025-03-19,100.5293,102.3533,100.1606,101.28,3414486
2025-03-20,103.3702,104.3468,100.46,101.17,7823525
2025-03-21,93.9809,104.64,93.7516,98.82,26837212
2025-03-24,96.2634,98.0961,94.4,95.59,12542319
2025-03-25,95.8497,97.12,93.8912,96.53,7429688
2025-03-26,95.6703,102.45,93.7,95.62,9490244
2025-03-27,89.8421,92.45,89.3162,91.37,6405448
2025-03-28,90.0139,90.98,87.3726,89.55,5197198
2025-03-31,84.7137,88.27,83.9353,85.93,7576481
2025-04-01,87.3485,88.89,86.076,87.83,5316381
2025-04-02,86.9194,88.626,86.52,87.24,3837380
2025-04-03,82.3384,88.43,77.413,81.64,13315827
2025-04-04,69.3339,75.03,63.7352,70.96,19009406
2025-04-07,62.9065,72.318,58.14,64.09,21396728
2025-04-08,71.8589,72.827,61.8,71.28,12476837
2025-04-09,65.6661,67.63,62.8,64.94,11140916
2025-04-10,72.2532,78.25,69.8778,74.57,13649796
2025-04-11,68.0514,71.8,66.6941,69.55,10094097
2025-04-14,73.1464,74.6335,69.41,74.52,11838157
2025-04-15,71.844,72.6574,70.31,70.78,5796103
2025-04-16,68.9646,70.9,67.17,67.48,8087728
2025-04-17,69.0145,70.86,66.8687,70.29,6126465
2025-04-21,67.2438,68.67,66.4296,67.36,4260870
2025-04-22,67.5973,69.1043,66.55,67.62,5550429
2025-04-23,74.1694,75.2523,70.07,73.62,10357453
2025-04-24,73.7552,76.0607,71.19,74.55,9000119
2025-04-25,78.0069,78.945,74.44,76.94,6493989
2025-04-28,78.8403,79.62,77.51,79.19,4774869
2025-04-29,77.2983,79.09,76.3751,77.9,5264644
2025-04-30,74.7433,76.73,73.356,73.92,8546047
2025-05-01,78.6955,79.74,76.8,79.06,5930602
2025-05-02,80.2075,80.3722,77.62,79.24,5086555
2025-05-05,79.953,80.56,78.8951,79.35,4287206
2025-05-06,79.2062,80.26,78.3861,79.04,3890536
2025-05-07,80.462,82.12,80.0828,81.1,4349358
2025-05-08,83.9302,85.1329,82.46,84.02,5212205
2025-05-09,85.7716,86.11,84.6638,85.78,4968972
2025-05-12,93.1921,94.0154,85.69,92.47,12484109
2025-05-13,93.736,96.6752,91.06,93.07,8518956
2025-05-14,97.1892,98.19,93.49,94.76,8864688
2025-05-15,93.8757,95.13,91.9894,93.34,6862731
2025-05-16,96.2361,97.9677,94.91,96.03,7603606
2025-05-19,95.6921,97.8679,93.82,95.26,4865356
2025-05-20,97.9028,98.46,96.16,97.78,3277291
2025-05-21,97.9976,98.6264,95.74,96.53,3601690
2025-05-22,94.4546,96.4307,94.1851,95.61,3848831
2025-05-23,92.1592,95.31,90.7518,91.61,6184270
2025-05-27,94.2649,96.1463,92.95,95.21,5048615
2025-05-28,95.9616,96.8,95.08,96.37,2954591
2025-05-29,98.8045,99.79,95.9616,98.11,5903850
2025-05-30,95.0035,96.61,93.0972,95.47,4362138
2025-06-02,95.283,97.6483,92.82,93.82,3372372
2025-06-03,97.1332,100.7213,96.77,97.91,6242283
2025-06-04,103.4964,103.5666,101.32,101.96,4981610
2025-06-05,107.6537,108.2275,102.92,105.12,11026395
2025-06-06,109.4551,110.6927,105.8,107.83,7656983
2025-06-09,109.1358,112.3095,108.22,109.74,7817316
2025-06-10,111.6808,114.121,110.33,111.58,8410922
2025-06-11,116.142,117.0303,113.54,115.84,8254986
2025-06-12,114.3106,116.2518,113.2976,114.87,5860485
2025-06-13,115.1739,116.2019,112.45,113.2,6325212
2025-06-16,118.712,120.224,115.37,117.73,7630838
2025-06-17,121.4715,123.268,118.47,119.63,9025153
2025-06-18,120.199,122.3199,119.89,121.15,5114952
2025-06-20,122.1003,123.288,120.1441,122.63,10164563
2025-06-23,121.6013,124.34,121.4216,123.84,6491645
2025-06-24,125.3938,127.1803,121.84,125.59,9123042
2025-06-25,126.7334,128.96,125.5036,127.03,8676048
2025-06-26,127.34,130.74,124.0515,127.97,30161863
2025-06-27,125.1393,127.2901,123.3778,125.14,11648703
2025-06-30,122.9985,125.58,121.6113,124.96,7445284
2025-07-01,123.1807,123.747,120.204,121.08,7977536
