Date,Open,High,Low,Close,Volume
2025-02-03,114.3794,120.04,112.9798,115.53,163202392
2025-02-04,117.7885,121.1676,115.29,116.57,93942515
2025-02-05,122.1065,123.357,118.32,120.44,100938503
2025-02-06,126.2224,127.4659,124.6,127.07,84076123
2025-02-07,129.8157,130.3351,124.9666,128.92,94535788
2025-02-10,131.8048,134.804,126.18,130.48,91458810
2025-02-11,133.26,134.1841,131.41,131.91,33622332
2025-02-12,133.03,133.76,125.79,130.84,34045526
2025-02-13,130.95,136.4635,129.97,131.45,48319666
2025-02-14,134.9,138.273,134.56,136.09,41374179
2025-02-15,138.5,138.57,138.45,138.47,169436
2025-02-18,142.9818,143.4017,135.15,141.61,94511132
2025-02-19,139.08,140.53,128.65,139.52,38031059
2025-02-20,138.89,168.08,91.46,140.17,31981684
2025-02-21,139.88,140.84,137.65,140.53,33146400
2025-02-22,135.03,135.08,134.85,134.99,240395
2025-02-24,136.8384,138.5529,130.5751,137.06,97011017
2025-02-25,130.69,139.36,124.4067,130.5,66518931
2025-02-26,128.04,132.1347,126.6,129.79,43591177
2025-02-27,129.64,135.46,123.53,133.83,86308518
2025-02-28,121.46,139.36,116.64,117.79,91536762
2025-03-01,124.74,124.99,124.69,124.98,286998
2025-03-03,122.3073,125.74,118.2684,123.88,111184889
2025-03-04,114.02,115.54,108.82,109.89,88105566
2025-03-05,117.75,119.21,110.69,116.64,52882218
2025-03-06,116.77,119.61,112.97,113.27,49289003
2025-03-07,111.29,113.47,109.4807,111.61,69566906
2025-03-08,112.18,112.32,112.05,112.13,184310
2025-03-10,109.9056,131.24,106.1516,109.69,108267699
2025-03-11,104.73,110.5804,104.39,106.91,82377018
2025-03-12,109.37,116.179,108.74,113.71,67936714
2025-03-13,116.74,117.7387,113.7694,116.41,65799424
2025-03-14,116.47,124.9,112.09,118.96,53799730
2025-03-15,121.44,121.54,121.41,121.5,296308
2025-03-17,122.0979,123.68,108.74,123.07,92037236
2025-03-18,119.55,120.71,114.5193,118.44,46871765
2025-03-19,114.74,117.9786,114.72,116.83,43268551
2025-03-20,118.46,119.5584,115.19,117.12,41629447
2025-03-21,118.16,118.58,115.508,117.16,39082360
2025-03-22,117.67,117.7,117.52,117.64,305297
2025-03-24,120.449,121.9179,117.38,120.02,78410988
2025-03-25,120.98,121.39,119.1284,120.56,32113584
2025-03-26,120.57,120.67,110.5,118.73,60662729
2025-03-27,112.1,114.4293,111.51,111.92,45584227
2025-03-28,111.32,112.36,109.0504,111.26,55326691
2025-03-29,109.01,109.08,109.0,109.01,285055
2025-03-31,104.4711,109.65,103.6312,105.88,105696685
2025-04-01,107.57,109.95,106.4507,108.66,41921544
2025-04-02,110.22,110.24,107.48,107.89,34664350
2025-04-03,104.7,140.11,102.4914,103.78,73107829
2025-04-04,102.29,103.38,92.0933,98.57,125502752
2025-04-05,92.95,94.31,92.54,92.6,1128718
2025-04-07,88.204,104.42,83.64,90.27,291128879
2025-04-08,99.3,105.8308,87.0,102.16,87319879
2025-04-09,92.84,108.89,92.58,97.78,84740647
2025-04-10,112.87,114.63,99.1,110.18,80785596
2025-04-11,106.77,110.58,105.9,108.78,64903292
2025-04-12,110.52,110.72,110.45,110.71,259709
2025-04-14,113.0901,115.46,110.52,114.6,95086313
2025-04-15,109.56,112.2797,109.31,110.41,39965678
2025-04-16,105.29,112.18,95.95,104.63,70330248
2025-04-17,103.6,106.47,100.1019,104.78,67688029
2025-04-18,101.17,101.39,101.14,101.28,340286
2025-04-21,99.018,101.47,95.5527,98.23,101054889
2025-04-22,96.05,99.362,96.01,98.35,37624836
2025-04-23,102.01,104.721,96.33,104.52,52355575
2025-04-24,102.42,105.5709,97.98,103.56,41728999
2025-04-25,107.47,126.47,104.25,106.42,44110548
2025-04-26,110.85,110.94,110.73,110.94,229352
2025-04-28,108.6516,111.57,106.0,109.73,72765644
2025-04-29,108.2,111.01,107.53,108.08,31047832
2025-04-30,106.8,112.64,104.5511,104.97,38908872
2025-05-01,113.17,114.45,96.89,113.6,39408831
2025-05-02,111.09,114.4293,111.03,114.05,35562755
2025-05-03,114.21,114.29,114.14,114.2,178624
2025-05-05,113.9184,114.48,95.72,112.98,47450224
2025-05-06,113.39,113.82,110.9002,112.3,31998836
2025-05-07,114.3,114.91,112.9296,113.74,23602301
2025-05-08,116.82,120.81,111.96,118.7,42669873
2025-05-09,117.1,118.2,113.52,117.75,39255569
2025-05-10,116.38,116.41,116.34,116.39,147383
2025-05-12,121.8329,123.04,116.63,121.91,81880738
2025-05-13,122.94,130.8063,121.63,124.84,85829180
2025-05-14,131.18,134.23,129.91,133.5,55531369
2025-05-15,135.68,136.25,108.0,134.32,45607162
2025-05-16,134.49,136.89,133.4358,136.29,48576971
2025-05-17,132.55,132.77,132.07,132.1,723057
2025-05-19,132.726,135.8454,130.0,132.04,87714298
2025-05-20,135.87,135.89,130.85,134.67,32386826
2025-05-21,134.13,134.8341,132.63,133.31,30826333
2025-05-22,131.43,133.9258,130.99,132.48,39809034
2025-05-23,132.84,133.25,127.77,129.22,43300913
2025-05-24,131.16,131.19,131.14,131.16,197343
2025-05-27,133.8658,135.5355,129.55,134.61,73474840
2025-05-28,135.49,136.75,108.74,136.41,34674687
2025-05-29,141.47,143.81,134.79,142.01,88670931
2025-05-30,137.94,139.32,136.0054,138.33,44982654
2025-05-31,134.66,134.7,134.39,134.51,331565
2025-06-02,137.0652,137.6351,132.91,134.94,69491123
2025-06-03,137.6,141.9443,136.49,138.18,56637187
2025-06-04,141.4,142.6,139.5197,142.1,37186415
2025-06-05,141.52,142.5742,140.7945,141.64,34829438
2025-06-06,139.12,142.9341,138.89,141.82,30354361
2025-06-07,141.77,141.89,141.74,141.89,176004
2025-06-09,144.4039,144.9738,141.34,143.25,64970850
2025-06-10,142.91,143.65,141.99,143.32,25404017
2025-06-11,143.81,145.23,143.06,145.07,32260615
2025-06-12,142.3,144.9839,140.43,141.67,38331209
2025-06-13,144.63,144.98,141.0543,142.88,40246335
2025-06-14,141.77,141.85,141.7,141.8,220213
2025-06-16,143.9141,144.8739,141.95,143.38,56361230
2025-06-17,144.01,145.42,143.64,144.83,23403580
2025-06-18,143.49,145.6038,143.37,144.44,28290944
2025-06-19,145.0,145.12,145.0,145.07,168737
2025-06-20,145.3739,146.1838,142.11,145.54,84822082
2025-06-21,143.73,143.78,143.6,143.61,135548
2025-06-23,142.4642,144.284,142.08,142.79,45701105
2025-06-24,145.34,147.4136,144.15,145.41,32376688
2025-06-25,147.72,152.983,147.11,149.59,50888225
2025-06-26,154.46,156.98,142.72,156.33,47543486
2025-06-27,155.29,157.6525,155.0,155.85,39054195
2025-06-28,157.6,157.66,157.49,157.56,192554
2025-06-30,157.2126,159.4,155.9427,158.39,55511268
2025-07-01,157.55,157.97,152.813,156.4,46481795
2025-07-02,152.94,157.4175,151.08,151.5,38869324
2025-07-03,157.12,160.9621,153.16,158.02,54937010
2025-07-07,158.3975,159.32,157.3245,157.84,47697983
2025-07-08,158.17,159.84,158.0,159.3,27809801
2025-07-09,160.23,164.3018,158.22,160.85,37985954
2025-07-10,163.31,164.62,161.872,164.31,32285649
2025-07-11,163.99,167.8714,155.0,163.16,46359263
2025-07-12,164.87,165.0,164.85,164.94,146644
2025-07-14,163.9211,165.98,162.002,165.4,58951365
2025-07-15,163.97,172.85,163.86,172.28,62663060
2025-07-16,170.23,171.47,168.94,171.24,33641193
2025-07-17,171.2,173.6209,171.16,172.75,30713466
2025-07-18,173.37,174.15,171.7809,173.65,32617436
2025-07-19,172.42,172.45,172.25,172.36,199246
2025-07-21,171.9959,173.3608,171.6609,172.46,42046395
2025-07-22,170.93,173.37,165.3516,170.78,44654737
2025-07-23,166.99,169.5711,166.95,168.88,28135181
2025-07-24,172.72,172.98,144.31,172.33,25429659
2025-07-25,173.57,174.7006,172.92,173.14,25776577
2025-07-26,173.49,173.5,173.29,173.4,117224
2025-07-28,175.0506,175.5505,172.39,174.62,46719851
2025-07-29,176.92,179.63,173.38,178.97,30545227
2025-07-30,175.97,179.2601,173.72,176.82,26693188
2025-07-31,182.92,185.2,179.25,183.31,39856583
2025-08-01,176.0,177.85,171.391,173.98,48850468
2025-08-02,172.74,172.84,172.5,172.51,251731
2025-08-04,175.5405,183.13,171.49,175.61,49239355
2025-08-05,180.56,181.54,174.96,180.53,36958795
2025-08-06,176.93,179.4101,175.66,176.91,29261423
2025-08-07,180.52,183.8596,179.4,181.72,30044794
2025-08-08,181.57,182.6297,180.6,181.73,23920187
2025-08-09,182.91,183.05,182.71,182.83,170793
2025-08-11,180.3,183.6596,179.01,181.64,53203005
2025-08-12,182.2,183.85,179.4401,183.32,32170524
2025-08-13,182.84,183.56,180.8649,182.87,38933298
2025-08-14,181.26,182.9997,180.03,180.18,27254883
2025-08-15,181.78,182.24,178.6402,182.11,29380140
2025-08-16,180.25,180.28,179.7,179.75,168248
2025-08-18,182.3849,182.9172,179.06,180.15,54499899
2025-08-19,182.03,182.78,177.2803,182.17,38152571
2025-08-20,175.08,176.57,168.7823,175.99,53951538
2025-08-21,175.63,176.98,173.9607,174.32,25748375
2025-08-22,174.81,177.8403,167.98,172.38,47310170
2025-08-23,178.41,178.44,178.19,178.31,169184
2025-08-25,177.0953,179.89,176.5504,177.58,54272827
2025-08-26,180.39,181.7398,179.48,180.65,28774393
2025-08-27,182.23,183.18,177.45,182.4,37286374
2025-08-28,175.94,181.92,175.79,181.15,69022555
2025-08-29,179.76,184.64,172.22,178.35,50890211
2025-08-30,173.85,173.88,173.66,173.68,206549
2025-09-02,169.8661,180.97,168.53,169.96,84238894
2025-09-03,169.72,172.3909,169.38,171.54,30628347
2025-09-04,170.32,171.99,169.3912,170.83,29570521
2025-09-05,171.46,171.64,164.2066,168.68,64952539
2025-09-06,166.31,166.37,166.03,166.08,178566
2025-09-08,169.3511,170.941,166.14,167.6,63090582
2025-09-09,168.34,169.97,166.7216,169.04,30559201
2025-09-10,173.31,179.1701,170.74,176.56,51614604
2025-09-11,177.2,179.7602,172.94,178.94,28522749
2025-09-12,177.25,178.5853,176.99,177.59,23188836
2025-09-13,177.59,177.65,177.5,177.53,110773
2025-09-15,175.2588,178.62,172.46,175.88,54069062
2025-09-16,177.38,177.82,176.089,177.21,19888434
2025-09-17,175.3,175.97,169.6607,173.25,36758112
2025-09-18,171.3,176.2304,170.28,174.7,45455190
2025-09-19,176.38,178.0703,175.35,175.62,29920814
2025-09-20,176.08,176.15,176.0,176.07,131698
2025-09-22,175.7903,176.66,174.32,175.79,40452295
2025-09-23,182.45,183.6,179.1352,181.97,39212218
2025-09-24,178.05,180.23,177.56,179.2,23718119
2025-09-25,176.6,178.3103,174.51,174.68,37367592
2025-09-26,177.14,178.87,174.9205,178.27,35467187
2025-09-27,177.66,177.75,177.59,177.64,125117
2025-09-29,182.3501,183.99,178.18,180.13,79473727
2025-09-30,181.31,187.2148,180.21,182.76,70805590
2025-10-01,186.06,187.8548,183.97,184.91,42815391
2025-10-02,187.03,190.4296,177.51,189.88,32343412
2025-10-03,188.8,189.99,187.49,189.41,21778621
2025-10-04,187.63,187.79,187.6,187.66,112198
2025-10-06,184.3649,189.99,182.87,184.51,70039008
2025-10-07,185.7,189.0497,176.23,186.67,24389511
2025-10-08,185.25,189.4097,184.88,186.32,26327704
2025-10-09,189.17,194.5794,189.1,192.83,40693694
2025-10-10,192.72,195.6093,191.81,193.45,38625581
2025-10-11,183.09,183.83,182.92,183.2,535220
2025-10-13,187.7598,192.61,185.9499,188.73,61826789
2025-10-14,188.52,188.68,169.85,185.31,38591507
