Date,Open,High,Low,Close,Volume
2025-02-03,80.2614,82.58,78.34,80.35,31373277
2025-02-04,103.57,106.91,83.74,103.34,112616512
2025-02-05,102.64,103.83,99.75,102.33,32908583
2025-02-06,102.135,108.68,100.26,100.81,48245706
2025-02-07,110.93,115.31,110.4,110.95,59538336
2025-02-10,109.855,115.03,108.72,112.08,41439845
2025-02-11,117.903,118.66,114.33,115.4,41460818
2025-02-12,113.325,116.3483,109.58,110.36,33443966
2025-02-13,116.819,118.39,115.1501,117.1,26600026
2025-02-14,119.95,120.67,116.49,117.06,29530784
2025-02-18,123.0,125.0,117.9,120.93,38900860
2025-02-19,123.8853,124.95,121.58,123.48,27881130
2025-02-20,104.895,112.06,95.8,109.06,124142354
2025-02-21,108.13,112.34,96.42,108.3,51510214
2025-02-24,98.01,103.71,89.3,97.7,88492889
2025-02-25,90.39,93.43,85.6,91.86,61106993
2025-02-26,90.035,91.49,87.59,89.44,41699921
2025-02-27,92.7185,93.62,86.23,91.74,42313796
2025-02-28,79.42,86.0,78.58,80.89,57968705
2025-03-03,89.8558,90.4796,82.82,88.32,45929298
2025-03-04,82.015,84.7,78.6,79.79,46362081
2025-03-05,84.7143,88.4,80.2,85.74,38269966
2025-03-06,86.88,91.72,84.21,87.1,42877173
2025-03-07,81.07,84.1,79.1,79.8,36369278
2025-03-10,80.31,85.12,77.52,81.71,44153548
2025-03-11,77.11,80.37,73.23,76.57,42327386
2025-03-12,83.9497,84.42,78.05,83.33,45048932
2025-03-13,83.06,83.74,78.57,82.9,43150712
2025-03-14,84.02,86.4,78.58,82.54,47844493
2025-03-17,86.5,89.47,84.84,89.09,43335740
2025-03-18,85.11,88.58,81.8,85.21,37732645
2025-03-19,84.8,85.39,82.86,84.33,27313137
2025-03-20,86.28,88.5,83.74,86.5,31470306
2025-03-21,85.1,88.4,84.46,85.92,34735919
2025-03-24,92.47,97.39,90.96,93.68,48058207
2025-03-25,97.4,98.17,94.82,97.44,35288520
2025-03-26,96.7,97.2999,86.88,96.17,31242516
2025-03-27,91.05,93.65,89.67,91.03,34779416
2025-03-28,88.1,90.09,84.1,88.84,39431833
2025-03-31,80.02,85.85,78.75,80.0,46324379
2025-04-01,84.1295,89.63,81.8201,84.15,29503633
2025-04-02,84.2901,87.345,81.84,82.32,34057016
2025-04-03,83.92,87.45,72.79,81.34,39635894
2025-04-04,79.295,84.0,71.9303,80.86,58480548
2025-04-07,69.3634,81.8,65.0,69.09,76255863
2025-04-08,84.79,86.114,67.18,82.69,50013890
2025-04-09,79.105,82.38,74.03,78.5,48713959
2025-04-10,89.24,92.01,86.6,88.73,40869562
2025-04-11,88.35,91.3,85.52,88.85,36466011
2025-04-14,96.02,97.33,88.55,94.76,53540801
2025-04-15,94.3299,96.92,92.22,93.28,40641371
2025-04-16,96.155,98.4,94.51,96.81,38185122
2025-04-17,93.176,95.45,92.27,94.3,36062959
2025-04-21,96.0599,96.475,91.32,91.98,35569182
