Date,Open,High,Low,Close,Volume
2025-02-03,177.1,183.7999,171.93,176.5,1849763
2025-02-04,186.98,189.67,182.54,184.93,3305568
2025-02-05,184.67,188.35,181.68,186.43,1947638
2025-02-06,188.5368,190.0,186.51,189.52,1007459
2025-02-07,186.99,189.49,185.46,187.38,1221569
2025-02-10,186.39,188.88,183.52,186.48,1959294
2025-02-11,185.65,187.6,182.4382,184.79,1212192
2025-02-12,181.13,187.21,178.52,180.82,1653591
2025-02-13,187.44,189.5079,183.0,187.1,1316072
2025-02-14,192.37,194.99,184.07,192.53,2572493
2025-02-18,192.035,194.4,187.6,193.85,2749933
2025-02-19,189.62,194.4,187.0,190.75,1974026
2025-02-20,185.145,190.77,178.55,187.86,2800890
2025-02-21,185.1904,186.2,178.292,185.4,1421100
2025-02-24,175.475,179.9,167.302,178.78,2686840
2025-02-25,169.25,171.0,160.66,170.8,2783178
2025-02-26,165.82,169.95,164.2,168.19,2396889
2025-02-27,185.2101,189.5,176.5,189.36,10613954
2025-02-28,171.215,176.62,170.57,172.6,2998285
2025-03-03,180.9251,180.95,175.36,178.62,1748132
2025-03-04,171.305,175.23,166.3378,170.35,2036773
2025-03-05,174.08,177.17,170.11,174.17,1211176
2025-03-06,167.83,177.31,161.55,169.33,2551456
2025-03-07,156.7039,158.81,151.21,154.99,2631392
2025-03-10,150.81,158.1,146.7,153.34,4065566
2025-03-11,149.99,152.4133,145.67,146.69,1790413
2025-03-12,154.46,155.845,149.9,155.19,2080995
2025-03-13,149.7006,152.82,146.14,151.21,1897079
2025-03-14,151.9699,155.97,150.35,152.9,1389460
2025-03-17,155.955,157.37,153.86,156.54,1198745
2025-03-18,153.22,156.46,150.5,154.0,1577561
2025-03-19,154.8,158.1,153.64,154.77,1509867
2025-03-20,155.425,158.41,153.0,154.39,685581
2025-03-21,154.2045,158.5,153.01,155.04,1092056
2025-03-24,161.5,166.42,158.39,161.65,1592533
2025-03-25,166.38,166.79,162.03,163.57,1140881
2025-03-26,162.7,164.2,156.26,162.9,1157273
2025-03-27,157.015,159.63,155.06,158.82,1103951
2025-03-28,154.82,157.15,148.39,154.95,1536350
2025-03-31,144.49,150.63,141.9201,146.35,1959221
2025-04-01,146.92,148.98,144.755,146.68,1149163
2025-04-02,147.625,154.7,145.0126,146.71,1865576
2025-04-03,145.2,153.91,139.27,145.12,2615431
2025-04-04,133.245,140.27,125.49,132.69,2550432
2025-04-07,123.62,137.81,117.34,126.0,3253149
2025-04-08,138.07,140.18,131.04,136.4,2394010
2025-04-09,134.745,142.4893,126.46,132.0,1560947
2025-04-10,147.61,151.15,140.15,145.64,1159136
2025-04-11,142.71,147.1,140.67,144.0,1172930
2025-04-14,149.79,150.685,143.87,148.5,903423
2025-04-15,145.0,147.2,142.45,143.91,727841
2025-04-16,145.4933,148.815,141.76,144.0,1116610
2025-04-17,145.59,148.27,142.2301,147.15,842250
2025-04-21,141.41,143.93,135.38,140.53,1131192
2025-04-22,137.94,141.36,137.0,138.91,1199530
2025-04-23,149.36,151.83,140.23,146.2,1789357
2025-04-24,151.6,158.66,146.7,149.31,1675924
2025-04-25,159.83,160.57,149.08,157.0,1650113
2025-04-28,157.78,159.64,156.04,158.8,682644
2025-04-29,160.83,161.6,157.78,157.9,925143
2025-04-30,155.7,161.21,154.375,156.2,1397245
2025-05-01,165.64,169.39,164.3827,167.45,2166245
2025-05-02,166.52,169.9,163.86,169.9,1041507
2025-05-05,167.27,169.92,165.05,165.21,548795
2025-05-06,165.47,170.64,164.22,165.79,576074
2025-05-07,169.46,170.79,167.51,169.36,442073
2025-05-08,171.975,175.42,170.56,173.14,642516
2025-05-09,175.105,176.3577,172.0,175.6,691228
2025-05-12,180.682,183.73,177.09,181.83,1397020
2025-05-13,180.85,183.98,178.5,180.53,1060174
2025-05-14,182.9825,183.5,178.6,181.76,956411
2025-05-15,180.83,181.32,178.0,179.64,908605
2025-05-16,182.17,184.55,181.67,183.99,1154574
2025-05-19,180.8,183.1,178.06,180.5,1019221
2025-05-20,182.2434,183.5,181.5,182.75,1122630
2025-05-21,181.44,183.65,180.25,181.51,1897243
2025-05-22,196.1082,201.56,179.12,196.25,10536248
2025-05-23,199.26,205.4,197.7,198.15,6003381
2025-05-27,203.8601,206.38,201.48,202.6,2735044
2025-05-28,208.14,209.8,204.5701,206.34,1373560
2025-05-29,205.37,208.93,201.08,205.59,1213116
2025-05-30,202.34,203.87,199.75,200.85,953843
2025-06-02,208.75,210.3,202.76,204.8,1644551
2025-06-03,208.35,211.19,207.2,210.42,1301735
2025-06-04,211.81,217.05,208.9,214.4,2084826
2025-06-05,211.405,213.7,210.0,210.85,1556649
2025-06-06,209.695,213.0,208.9,212.2,1328408
2025-06-09,209.78,212.24,208.5,211.51,957654
2025-06-10,209.55,212.85,207.1,209.7,1188184
2025-06-11,207.155,210.08,205.23,208.96,1770133
2025-06-12,209.19,213.0,206.0,207.6,1740222
2025-06-13,210.25,212.3,203.09,207.92,983564
2025-06-16,209.29,212.1,207.0501,210.25,809722
2025-06-17,207.4782,209.9284,206.26,206.77,688668
2025-06-18,210.74,212.6999,208.8,210.43,1922069
2025-06-20,212.8,215.99,211.34,213.3,1776302
2025-06-23,208.73,214.88,207.36,210.81,1213115
2025-06-24,220.8418,222.9999,213.71,218.85,3120716
2025-06-25,223.77,226.0,222.1637,224.03,1201226
2025-06-26,216.98,224.57,215.53,223.21,1899028
2025-06-27,223.0614,224.43,221.52,222.5,968644
2025-06-30,224.52,225.51,222.53,224.3,1023832
2025-07-01,221.105,224.67,216.11,221.77,1531666
2025-07-02,216.3,218.29,214.52,214.52,917093
2025-07-03,218.31,222.42,215.32,218.42,1259929
2025-07-07,221.27,222.9483,215.73,220.01,784539
2025-07-08,223.82,227.11,221.65,226.0,1081168
2025-07-09,223.24,225.23,221.03,224.88,808475
2025-07-10,219.82,223.0,215.01,220.59,1910766
2025-07-11,214.315,215.49,211.73,213.5,840774
2025-07-14,210.15,213.3,207.76,209.55,730749
2025-07-15,213.955,215.18,212.3501,214.26,1159605
2025-07-16,212.8155,214.1,210.36,213.5,813591
2025-07-17,213.185,214.03,210.23,211.78,587262
2025-07-18,213.075,217.39,212.15,212.75,1342082
2025-07-21,217.4,218.72,215.88,217.62,506903
2025-07-22,215.82,216.6,211.4,214.72,806890
2025-07-23,211.69,214.0,210.4,212.7,587775
2025-07-24,216.75,217.0,211.7,213.4,743452
2025-07-25,215.91,220.62,214.0,215.8,1059673
2025-07-28,219.8437,222.3,218.02,220.85,891801
2025-07-29,219.2001,221.05,217.66,219.14,832775
2025-07-30,219.38,222.09,217.7102,218.57,803704
2025-07-31,222.51,229.71,220.28,228.44,2512603
2025-08-01,212.645,223.5,207.41,217.29,2775287
2025-08-04,206.02,210.41,204.08,207.49,1028244
2025-08-05,206.53,210.86,204.915,209.69,893596
2025-08-06,208.125,210.0,205.01,206.65,1062570
2025-08-07,214.26,221.0,202.604,216.02,1339128
2025-08-08,204.505,207.78,194.36,206.25,1709301
2025-08-11,193.82,196.44,191.21,192.98,1584670
2025-08-12,191.575,194.41,188.0,192.99,1498660
2025-08-13,194.69,196.38,193.0,194.8,1377094
2025-08-14,196.98,198.24,193.57,195.0,728049
2025-08-15,195.695,200.12,194.8,195.65,1018623
2025-08-18,198.26,201.37,196.11,198.5,842853
2025-08-19,198.295,199.95,191.43,198.48,927421
