Date,Open,High,Low,Close,Volume
2025-02-03,586.6313,593.3427,583.6562,590.7333,54476322
2025-02-04,591.0595,595.3295,590.3676,594.7957,27180935
2025-02-05,593.4712,597.3755,591.6525,597.1778,24381774
2025-02-06,598.5913,599.4339,595.6557,599.3227,26142296
2025-02-07,600.1678,601.092,593.1055,593.8271,43775226
2025-02-10,596.481,598.4923,595.7644,597.7907,22383479
2025-02-11,596.2981,598.8483,595.458,598.2058,24665956
2025-02-12,592.7003,597.5534,591.5833,596.3772,37243923
2025-02-13,597.5584,602.8811,596.2191,602.634,34520157
2025-02-14,603.0491,603.9189,602.0211,602.6438,22778286
2025-02-18,603.5924,604.3044,601.3391,604.2747,23238186
2025-02-19,603.0959,606.133,602.5055,605.8068,25883709
2025-02-20,604.1858,604.6049,599.9949,603.3258,31577118
2025-02-21,602.5791,603.2369,592.5322,593.0561,60777162
2025-02-24,595.1763,596.051,589.5867,590.2885,40681240
2025-02-25,590.59,590.9705,582.7369,587.3331,51080765
2025-02-26,588.3561,592.641,585.006,587.5506,36874105
2025-02-27,590.1798,591.099,577.8837,578.2692,57035652
2025-02-28,576.6581,587.8372,575.6993,587.1947,70587497
2025-03-03,589.9722,590.4269,573.1887,577.2116,62760297
2025-03-04,571.8641,578.6152,565.6272,570.1938,89494692
2025-03-05,570.8857,578.1111,566.4471,576.3023,61545423
2025-03-06,568.4443,573.4591,563.5219,566.1709,65354866
2025-03-07,566.1639,570.7078,559.0839,569.1856,71675852
2025-03-10,560.5863,562.9486,549.1601,554.2603,82084846
2025-03-11,552.5009,557.4925,545.6314,549.6839,74780963
2025-03-12,555.9209,556.593,547.282,552.4416,56381685
2025-03-13,551.8585,552.6344,543.3185,545.1273,57291498
2025-03-14,550.2015,557.3047,545.1092,556.2767,53657291
2025-03-17,557.8879,563.1166,555.8418,560.4578,40716678
2025-03-18,557.5221,558.4809,552.5899,554.5569,46585614
2025-03-19,556.0988,564.3423,555.1302,560.4479,49344950
2025-03-20,557.8681,563.9667,556.0901,559.1333,49167052
2025-03-21,554.7766,560.031,553.23,559.3371,67266694
2025-03-24,565.9695,570.2028,565.2954,569.0825,45074185
2025-03-25,570.2226,571.4519,568.7553,570.411,32525449
2025-03-26,570.064,571.3726,562.3113,563.8479,42692177
2025-03-27,561.4091,565.9893,560.0806,562.1229,37984254
2025-03-28,560.1796,561.3967,550.2955,551.049,58171594
2025-03-31,543.9704,555.8882,542.166,554.3404,69390399
2025-04-01,552.0503,558.0978,548.9175,556.2042,46967889
2025-04-02,552.1494,562.5393,550.0377,559.7931,47704419
2025-04-03,542.8005,543.2566,532.2818,533.0154,103067860
2025-04-04,519.3242,521.3467,500.7157,501.1519,172501694
2025-04-07,483.4059,518.6699,477.6557,500.2101,221189053
2025-04-08,516.003,520.4643,484.9524,492.4672,144039152
2025-04-09,491.0595,541.6307,488.809,538.6961,199466767
2025-04-10,527.4339,528.9061,504.939,520.1867,141777469
2025-04-11,518.1841,531.8158,515.5966,529.3869,80919030
2025-04-14,537.9526,539.5983,529.2679,534.334,60556115
2025-04-15,535.6179,538.5573,532.1926,533.0947,48383634
2025-04-16,528.2964,533.2587,515.8147,521.2079,67116261
2025-04-17,522.576,526.5961,519.4035,521.8622,67842668
2025-04-21,516.122,517.2125,504.0864,509.5589,61095543
2025-04-22,514.9621,524.7521,514.7266,522.4075,62855266
2025-04-23,536.4754,540.7384,529.2878,530.8046,79399352
2025-04-24,531.6573,542.7212,530.8447,541.8389,51962863
2025-04-25,542.1958,546.3101,539.0134,545.7846,50104057
2025-04-28,546.5579,548.7886,540.332,546.201,39972584
2025-04-29,544.9519,550.6722,543.8316,549.3735,40376267
2025-04-30,541.7447,551.733,536.8621,549.5817,72394644
2025-05-01,554.4594,559.218,553.0615,553.6563,51870826
2025-05-02,560.0112,563.491,557.5426,561.7462,49576665
2025-05-05,558.0879,561.7759,556.8685,558.6827,34071232
2025-05-06,554.4197,558.5019,552.1692,553.9934,40363020
2025-05-07,555.4309,558.9702,551.2572,556.4025,45571047
2025-05-08,559.9022,565.4044,556.8685,560.0608,55541154
2025-05-09,562.3707,562.6186,557.923,559.4362,31570663
2025-05-12,574.2477,577.9853,572.0765,577.8266,65396920
2025-05-13,578.4611,584.013,577.8266,581.7625,58885431
2025-05-14,583.7255,583.9138,580.4985,582.506,55170542
2025-05-15,581.327,585.8867,580.0641,585.3315,62188639
2025-05-16,585.3711,589.3863,584.2112,589.1782,59740746
2025-05-19,584.1418,590.4174,583.0414,589.8226,59563863
2025-05-20,588.2264,588.9402,584.5285,587.7307,52782849
2025-05-21,584.2212,587.4829,576.8154,577.9456,84480749
2025-05-22,576.7361,581.5741,576.404,578.015,64468139
2025-05-23,572.2946,576.8056,570.6489,574.1783,63804544
2025-05-27,580.0475,586.2238,573.4546,585.9759,65764218
2025-05-28,586.9177,587.67,581.936,582.6547,57822013
2025-05-29,586.9178,588.0975,581.0289,584.9251,61113606
2025-05-30,583.1009,586.0452,578.2182,584.3996,77125900
2025-06-02,584.3005,587.6911,580.0275,587.5523,54327034
2025-06-03,587.4034,591.9442,586.7591,590.9825,56957019
2025-06-04,592.4151,592.8067,590.3678,590.7743,52205026
2025-06-05,591.4385,593.8476,585.966,587.9092,82157731
2025-06-06,593.9071,595.6619,591.726,593.8972,60470091
2025-06-09,593.4846,596.0783,593.342,594.4028,47098278
2025-06-10,595.2108,598.2792,593.9369,597.8727,56120916
2025-06-11,597.9124,599.8555,594.1153,596.227,65832445
2025-06-12,594.5912,598.527,594.3632,598.527,56639002
2025-06-13,594.6408,596.6731,590.3579,591.8153,79374159
2025-06-16,596.3559,599.2508,595.0571,597.5257,66952890
2025-06-17,595.2653,596.574,591.6269,592.4101,68110734
2025-06-18,592.3756,596.0485,591.3394,592.3209,66081618
2025-06-20,594.9214,596.0649,589.5022,590.8645,78807904
2025-06-23,590.6557,597.1388,588.5377,596.7311,77436336
2025-06-24,600.9669,604.4072,599.9925,603.3335,58608410
2025-06-25,604.7057,605.163,602.1104,603.6417,56124897
2025-06-26,605.7602,608.8421,604.9244,608.4245,68479982
2025-06-27,609.6077,612.899,607.3705,611.3776,77911294
2025-06-30,613.1675,615.713,611.5566,614.3805,77981141
2025-07-01,613.0978,615.3252,612.0339,614.0624,63376654
2025-07-02,613.2321,616.9758,613.1177,616.8763,57516001
2025-07-03,619.8097,622.733,578.5124,621.5994,51836166
2025-07-07,619.6967,620.4957,614.3706,617.2641,67358465
2025-07-08,617.0951,618.5866,616.0113,616.7968,55172259
2025-07-09,619.9886,621.1818,617.3939,620.4957,59047311
2025-07-10,620.2968,623.3197,619.4815,622.2955,51950416
2025-07-11,619.1036,621.321,618.0099,620.0781,57536903
2025-07-14,619.2528,621.6174,618.2782,621.2017,46886254
2025-07-15,623.3585,624.304,618.5518,618.5965,66184361
2025-07-16,619.9985,621.1917,614.5496,620.6449,82832051
2025-07-17,621.1121,624.8457,620.6449,624.4233,60322754
2025-07-18,625.3302,625.9049,622.9119,624.0256,55988152
2025-07-21,625.537,627.9632,624.7813,625.1989,56026203
2025-07-22,624.8509,626.1634,622.6435,625.2685,54418728
2025-07-23,627.5356,630.5683,626.1634,630.5683,63167276
2025-07-24,631.0245,632.5471,630.3993,630.8368,63855425
2025-07-25,631.6522,633.9689,631.2445,633.4221,49894514
2025-07-28,633.9541,634.4264,631.9405,633.3127,48465141
2025-07-29,634.6352,635.0528,630.7423,631.6422,55579445
2025-07-30,632.1891,634.0684,627.9632,630.8965,68955270
2025-07-31,635.5301,636.2261,627.1926,628.3907,89423274
2025-08-01,620.7791,622.7926,615.7826,618.1889,125857755
2025-08-04,623.3395,627.64,622.0369,627.5157,63771713
2025-08-05,627.7146,629.0223,623.4887,624.4432,61907277
2025-08-06,625.8353,629.8524,624.5725,629.0868,58478719
2025-08-07,633.1039,633.3724,625.5469,628.7189,67155438
2025-08-08,630.5087,634.0336,630.1507,633.5315,55650542
2025-08-11,633.4619,635.3312,631.0655,632.2289,53168485
2025-08-12,635.7588,639.2091,633.1834,639.0003,55934179
2025-08-13,641.506,642.5302,639.0401,641.2276,54355205
2025-08-14,639.4676,641.9634,638.702,641.2873,49746169
2025-08-15,641.521,642.4308,638.8763,639.7958,58805929
2025-08-18,639.7559,640.3526,638.5429,639.6267,40167090
2025-08-19,638.523,640.457,634.8639,636.1466,60333431
2025-08-20,635.1473,636.0372,629.3652,634.4562,77623980
2025-08-21,632.2957,634.3568,630.2203,631.9803,46735479
2025-08-22,634.0585,642.8384,633.6408,641.6154,77136282
2025-08-25,640.0991,641.6353,638.712,638.8313,45841820
2025-08-26,638.9704,641.8541,637.9364,641.4762,45085932
2025-08-27,641.4066,643.7035,640.7702,642.9578,40390344
2025-08-28,644.141,645.8016,641.685,645.2149,55299611
2025-08-29,643.7433,644.1709,639.4975,641.3867,63614625
2025-09-02,632.7857,636.8625,631.324,636.6835,67472832
2025-09-03,639.229,640.5614,636.8327,639.9946,62456557
2025-09-04,641.2581,645.4734,639.8654,645.3143,55018556
2025-09-05,647.9096,648.5161,639.6864,643.5444,76711761
2025-09-08,644.9862,646.1595,643.5643,645.1254,55289410
2025-09-09,645.4983,647.1738,643.5544,646.6468,51145157
2025-09-10,649.6198,650.8429,646.9451,648.531,68183191
2025-09-11,650.7833,654.6014,649.8883,653.8855,62157547
2025-09-12,653.9352,655.377,653.1795,653.6966,63000975
2025-09-15,656.083,657.2961,655.6057,657.1072,57797940
2025-09-16,657.6839,658.0319,655.4765,656.1924,55076304
2025-09-17,656.5205,657.9722,650.5943,655.4466,82841921
2025-09-18,658.2407,661.1243,656.5305,658.5291,82577462
2025-09-19,659.5582,662.6093,658.4415,661.702,82749335
2025-09-22,660.7148,665.3413,660.2362,664.8128,61199977
2025-09-23,665.097,665.3911,660.0468,661.2932,70203092
2025-09-24,662.1855,662.6691,657.7435,659.1095,60250133
2025-09-25,655.2209,657.4799,652.4939,656.0286,80217740
2025-09-26,658.8305,660.4357,655.9588,659.8175,59100239
2025-09-29,662.3501,663.3372,659.9272,661.672,65967951
2025-09-30,660.5154,664.7032,659.6779,664.1647,68863657
2025-10-01,662.5694,667.4152,661.1236,666.5577,62183998
2025-10-02,668.2677,668.6067,664.8328,667.2158,50868677
2025-10-03,668.6922,670.7106,666.2088,667.2258,63489978
2025-10-06,669.0405,670.546,667.5,669.6287,48809334
2025-10-07,670.9748,671.0246,665.7202,667.1759,64913506
2025-10-08,668.0234,671.2396,667.4651,671.1044,52315623
2025-10-09,671.3637,671.9719,667.2557,669.21,58879385
2025-10-10,670.5261,671.9818,650.9335,651.2027,140773232
2025-10-13,658.7805,663.1876,657.8412,661.1137,69879924
2025-10-14,654.015,663.8856,651.2625,660.2662,79664853
2025-10-15,664.6035,668.2727,657.0057,663.1377,74161013
2025-10-16,665.0521,666.7571,655.191,658.7207,99224587
2025-10-17,658.5612,663.8108,656.218,662.38,80669364
2025-10-20,666.5976,670.2469,665.3214,669.3097,51624536
2025-10-21,669.544,671.0246,668.0244,669.3097,50010452
2025-10-22,668.7314,670.0375,661.3629,665.8398,73418593
2025-10-23,666.458,670.7456,665.8498,669.6686,56355041
2025-10-24,674.8442,676.4886,673.6769,675.1426,57065173
2025-10-27,680.6863,683.538,680.123,683.179,53437582
2025-10-28,684.7943,686.8932,682.8301,684.9738,53564313
2025-10-29,686.8184,687.6858,680.8758,685.2929,76664928
2025-10-30,681.2048,683.9368,677.8746,677.9643,64294085
2025-10-31,682.162,683.0793,677.2564,679.9984,73391263
2025-11-03,682.7005,683.7972,677.9544,681.3544,49040779
2025-11-04,672.9889,677.9743,672.61,673.3778,67181248
2025-11-05,672.5253,678.8717,672.2012,675.5314,60618313
2025-11-06,675.0534,675.4018,666.7671,668.3126,74002661
2025-11-07,664.3442,669.1202,659.2741,668.9806,88993252
2025-11-10,675.8207,680.1878,673.0587,679.3403,64663477
2025-11-11,678.079,681.5738,676.7479,680.9057,50407269
2025-11-12,682.2318,682.9597,678.9564,681.3345,53989216
2025-11-13,678.074,678.8717,668.5619,670.0974,86745413
2025-11-14,661.672,673.6869,661.328,669.9877,87268335
2025-11-17,669.1801,671.7425,660.2362,663.746,79160656
2025-11-18,660.9641,663.1776,653.9447,658.2122,105081981
2025-11-19,659.4685,665.3911,656.8212,660.7148,82153294
2025-11-20,671.3637,673.5871,649.9863,650.6244,149121592
2025-11-21,653.5359,662.6093,648.9493,657.1353,109265088
2025-11-24,663.0837,668.1032,659.6579,666.8469,62905468
2025-11-25,667.5199,674.2352,662.5395,673.0387,71015389
2025-11-26,676.3042,679.7092,674.7438,677.6453,63036335
2025-11-28,679.4998,682.3016,671.7475,681.6236,55112550
2025-12-01,677.6851,680.9954,676.7579,678.2834,53436152
2025-12-02,679.8289,681.823,677.3436,679.4899,54409559
2025-12-03,678.5127,682.9098,677.7051,681.813,49960482
2025-12-04,681.9128,683.3685,679.3503,682.4013,55551400
2025-12-05,684.0664,686.3797,682.5808,683.6477,54921947
2025-12-08,684.1162,684.6348,679.5796,681.6336,48211804
2025-12-09,681.4142,683.3835,680.5966,681.0553,47253175
2025-12-10,680.138,686.958,679.3204,685.4524,73762243
2025-12-11,682.6806,687.2372,680.1729,687.1325,71048668
2025-12-12,686.4046,686.8682,677.191,679.7292,96796393
2025-12-15,681.9576,683.7574,677.2664,678.7121,81631177
2025-12-16,677.5755,679.091,673.0088,676.8775,88951731
2025-12-17,677.7898,678.4479,669.2349,669.3396,90407841
2025-12-18,675.8306,678.752,672.9291,674.5045,97179718
2025-12-19,678.2199,681.09,676.47,680.59,84843489
2025-12-22,683.67,685.36,680.5868,684.79,54934508
2025-12-23,685.02,688.2,683.87,687.91,55380138
2025-12-24,688.28,690.83,670.292,689.885,42174772
2025-12-26,690.945,691.66,689.27,690.25,37430521
2025-12-29,688.06,689.2,686.07,687.84,51921813
2025-12-30,687.34,688.555,686.58,686.94,40077125
2025-12-31,686.81,687.36,681.71,681.84,60472244
2026-01-02,684.772,686.87,679.82,683.17,80773664
2026-01-05,687.06,689.43,686.375,687.73,63448533
2026-01-06,688.37,692.315,687.78,691.8,62602286
2026-01-07,691.8644,693.96,689.32,689.59,69465864
2026-01-08,688.395,690.615,687.49,689.44,58198697
2026-01-09,690.92,695.31,689.18,693.99,64544215
2026-01-12,691.88,696.09,690.63,695.16,57463458
2026-01-13,695.85,696.09,691.35,693.75,68678562
2026-01-14,691.575,691.72,686.04,690.44,84148249
2026-01-15,694.29,695.45,691.25,692.18,67660303
2026-01-16,693.958,694.25,690.1,691.58,67534251
2026-01-20,682.65,684.77,676.57,677.61,98627742
2026-01-21,679.55,688.735,678.13,685.33,112299404
2026-01-22,689.94,691.125,686.92,688.93,64123628
2026-01-23,687.72,690.96,687.16,689.185,54406153
2026-01-26,691.28,694.13,689.92,692.71,51443894
2026-01-27,694.23,696.53,693.57,695.54,45956223
2026-01-28,697.35,697.84,693.94,695.42,53815944
2026-01-29,695.915,697.06,684.83,693.97,89022712
2026-01-30,693.07,694.21,687.12,691.85,82413325
2026-02-02,691.23,696.93,689.425,695.46,70762200
2026-02-03,696.09,696.96,684.03,689.47,95570401
2026-02-04,689.58,691.45,681.76,686.12,96200757
2026-02-05,680.78,683.69,675.79,677.45,97704085
2026-02-06,683.8,692.31,680.85,690.66,79363632
2026-02-09,689.8699,695.87,688.34,693.92,63567999
2026-02-10,695.04,696.54,691.66,692.11,58271484
2026-02-11,696.1074,697.14,689.18,691.91,70060541
2026-02-12,694.95,695.35,680.37,681.29,106605162
2026-02-13,681.18,686.28,677.52,681.63,80950141
2026-02-17,681.74,684.94,675.78,682.78,74286768
2026-02-18,683.5,689.15,682.83,686.26,65193081
2026-02-19,683.95,686.18,681.5475,684.52,53561268
2026-02-20,683.33,690.06,681.73,689.36,88863194
2026-02-23,689.39,690.0,680.371,682.41,80676815
2026-02-24,680.79,688.35,680.0,687.36,62552190
2026-02-25,690.84,693.68,690.1,693.08,48426388
2026-02-26,692.27,693.3,684.35,689.32,66073036
2026-02-27,683.7942,686.86,681.64,686.22,69125399
2026-03-02,681.2,688.62,678.02,686.37,76481360
2026-03-03,674.54,682.61,669.66,680.27,93866066
2026-03-04,682.8,687.09,679.62,685.16,64943042
2026-03-05,684.13,685.53,675.61,681.44,95314975
2026-03-06,672.41,676.11,669.76,672.46,86624807
2026-03-09,666.35,679.92,662.39,678.31,89141704
2026-03-10,677.59,683.36,674.76,677.07,72673678
2026-03-11,677.7899,680.08,673.34,676.35,58594620
2026-03-12,670.85,671.65,665.9027,666.05,91079203
2026-03-13,669.785,672.335,661.36,662.3,79666786
2026-03-16,668.57,672.07,667.12,668.96,73428590
2026-03-17,673.44,674.44,669.7,670.73,63158029
2026-03-18,668.77,669.72,661.19,661.51,66656165
