Date,Open,High,Low,Close,Volume
2025-02-03,385.55,404.66,374.36,389.5,44821182
2025-02-04,383.2897,390.73,377.68,386.01,20362005
2025-02-05,383.3465,392.21,380.02,386.34,21162150
2025-02-06,371.49,379.8,363.18,373.41,34269587
2025-02-07,376.295,380.5459,367.05,371.72,25825222
2025-02-10,354.98,376.51,350.51,358.14,31047122
2025-02-11,348.01,391.71,339.19,346.65,20414440
2025-02-12,327.3,341.18,315.78,331.76,26746010
2025-02-13,341.9,358.69,336.51,347.34,22376141
2025-02-14,357.32,363.87,350.03,361.89,16216743
2025-02-15,353.9,354.5,353.83,353.92,62218
2025-02-18,354.93,362.4,345.78,359.96,22308659
2025-02-19,354.16,392.21,352.17,353.4,15798739
2025-02-20,360.1,364.05,348.0,362.31,11871334
2025-02-21,353.1,361.36,344.81,355.52,13091681
2025-02-22,338.3,338.6,337.22,337.3,121029
2025-02-24,340.97,346.68,324.7,346.03,34492110
2025-02-25,326.26,333.7,301.41,329.04,34426838
2025-02-26,306.13,310.18,294.2301,305.76,23263579
2025-02-27,287.94,308.18,280.88,294.54,25219086
2025-02-28,283.02,293.0,276.83,279.69,26088464
2025-03-01,293.39,294.45,293.22,294.45,135981
2025-03-03,300.07,304.44,291.69,301.98,41379677
2025-03-04,283.48,286.0,261.8401,272.13,28954880
2025-03-05,274.1295,301.58,264.23,272.61,35980946
2025-03-06,278.81,280.33,265.62,271.52,17676734
2025-03-07,262.15,264.4,256.94,259.6,21458661
2025-03-08,262.13,262.5,262.05,262.38,54800
2025-03-10,247.73,290.8,237.6,252.71,53148994
2025-03-11,215.69,235.8,215.0,222.8,48246399
2025-03-12,233.43,250.85,230.57,243.54,33016798
2025-03-13,253.2,253.55,234.0,246.68,29084377
2025-03-14,241.24,292.98,236.76,246.56,21484643
2025-03-15,249.83,250.0,249.72,249.83,105899
2025-03-17,239.64,249.98,236.1507,247.39,39880906
2025-03-18,236.05,238.01,222.28,228.55,24024191
2025-03-19,227.73,234.96,225.31,232.33,20629368
2025-03-20,239.64,242.37,224.53,233.03,20687457
2025-03-21,234.85,242.42,224.53,234.99,23662489
2025-03-22,249.38,249.66,248.71,249.45,199392
2025-03-24,262.0244,274.72,248.71,258.7,67378221
2025-03-25,281.8,286.5,248.71,282.1,35310058
2025-03-26,287.41,288.14,238.27,284.65,32654477
2025-03-27,270.98,291.85,264.97,273.74,39512501
2025-03-28,273.35,279.36,260.79,275.09,33837299
2025-03-29,260.08,260.39,260.0,260.12,247373
