Date,Open,High,Low,Close,Volume
2025-02-03,197.1511,206.59,195.3943,198.01,8755574
2025-02-04,200.8872,203.0629,197.19,201.44,5453959
2025-02-05,202.752,204.9726,200.95,202.03,3768315
2025-02-06,208.0617,208.422,204.2965,204.7,3652958
2025-02-07,209.4681,210.3958,204.2176,209.72,5256588
2025-02-10,206.7639,207.75,202.03,206.18,4250891
2025-02-11,203.1122,205.36,198.3749,202.32,3283140
2025-02-12,202.6969,206.17,200.3587,202.93,2965730
2025-02-13,198.7746,203.68,196.628,201.2,7257612
2025-02-14,195.6115,199.19,194.8816,196.3,6719374
2025-02-18,202.2832,204.0,197.9012,202.68,5974986
2025-02-19,198.7647,201.39,197.4077,199.14,3769374
2025-02-20,196.48,199.3,195.0292,198.82,4846619
2025-02-21,199.2138,200.0428,197.49,198.97,3490903
2025-02-24,194.2791,197.2,189.3148,195.52,6160484
2025-02-25,189.5319,191.0025,185.3473,188.55,6345976
2025-02-26,190.2021,192.8827,186.9,189.44,5241867
2025-02-27,191.0321,193.55,182.6924,191.93,7675070
2025-02-28,174.2196,180.71,173.2277,177.09,10262691
2025-03-03,177.0521,180.32,171.3426,179.24,13577236
2025-03-04,176.0374,178.3598,170.25,171.45,13512888
2025-03-05,179.1296,183.05,176.45,180.23,6031590
2025-03-06,174.6193,181.87,174.3528,176.32,6900950
2025-03-07,173.805,177.14,171.4314,175.37,4993390
2025-03-10,170.3458,175.68,166.8323,170.74,5835016
2025-03-11,167.9673,170.7899,165.9046,168.72,4781765
2025-03-12,173.9243,175.8036,168.74,172.25,5844429
2025-03-13,169.9116,174.86,168.4015,170.24,5316429
2025-03-14,170.5728,178.17,168.47,170.7,3791377
2025-03-17,173.6175,174.2936,171.24,173.3,3340228
2025-03-18,172.163,174.63,168.8709,172.41,4133063
2025-03-19,170.6124,171.8212,168.92,170.77,2848373
2025-03-20,174.0555,175.4774,171.48,173.17,3617967
2025-03-21,172.8021,175.84,172.1995,172.9,2320243
2025-03-24,178.7273,180.3028,174.84,178.22,4211171
2025-03-25,179.4556,181.15,178.1526,180.51,2980462
2025-03-26,177.3798,179.24,171.84,177.92,4759310
2025-03-27,168.7,171.91,167.947,169.88,5711224
2025-03-28,166.223,167.7,163.8846,166.01,3794683
2025-03-31,159.3299,163.74,158.2665,159.87,7004924
2025-04-01,163.9732,166.5,163.5477,164.86,2648159
2025-04-02,165.673,167.6597,164.67,165.22,1842234
2025-04-03,159.4159,168.83,157.5828,158.34,9553574
2025-04-04,148.1897,157.22,143.513,148.71,13038358
2025-04-07,136.1762,152.3413,127.82,136.11,23984254
2025-04-08,149.5258,151.2118,133.5,133.5,9658865
2025-04-09,138.2822,144.07,135.74,138.61,9587401
2025-04-10,152.8318,166.45,149.311,154.78,7733445
2025-04-11,153.6492,157.66,149.75,156.0,8870951
2025-04-14,155.0067,158.43,154.0356,157.44,7293531
2025-04-15,155.6768,157.34,144.83,154.86,4528297
2025-04-16,149.562,155.89,147.1295,150.27,7227615
2025-04-17,153.5799,172.35,150.0593,154.67,12465648
2025-04-21,148.2987,150.35,144.8902,147.59,5621596
2025-04-22,147.2781,149.5521,145.36,147.24,4512217
2025-04-23,157.1098,158.9106,150.01,157.27,7559982
2025-04-24,157.8008,160.1855,153.6,157.18,5104580
2025-04-25,162.0935,163.49,159.6834,161.0,4323537
2025-04-28,162.7748,164.31,161.457,163.4,3522536
2025-04-29,162.2299,164.2314,161.83,162.13,2563260
2025-04-30,161.9227,165.7,160.268,162.79,3621857
2025-05-01,171.7667,172.2869,165.16,169.73,8513612
2025-05-02,177.5482,178.9255,171.14,178.25,7557427
2025-05-05,176.6168,181.82,174.7689,178.57,6376173
2025-05-06,170.5628,175.12,169.0254,171.5,4890481
2025-05-07,171.3307,173.74,170.7,172.71,2712303
2025-05-08,172.6188,175.38,172.0689,174.06,3218010
2025-05-09,177.9693,178.8066,173.61,177.99,4060632
