Date,Open,High,Low,Close,Volume
2025-02-03,174.144,178.93,172.9082,175.99,1928872
2025-02-04,174.7691,177.4151,174.0,174.07,1743584
2025-02-05,173.5576,177.25,172.2201,174.46,2494138
2025-02-06,176.0194,178.34,174.65,176.4,1731311
2025-02-07,177.6962,179.31,173.7805,174.4396,2103163
2025-02-10,174.8854,177.34,173.5867,175.14,1307720
2025-02-11,174.5995,179.17,173.4898,173.59,1535671
2025-02-12,171.7839,174.45,171.0,171.09,2280496
2025-02-13,175.2053,176.6882,173.1119,174.41,1294642
2025-02-14,176.8433,180.08,174.5,177.4054,2017653
2025-02-18,178.9077,181.0012,176.96,177.11,1343593
2025-02-19,183.6375,191.0714,177.64,183.67,3232566
2025-02-20,192.5736,196.2954,186.28,189.77,3250049
2025-02-21,197.9848,199.4163,195.1518,197.73,2130717
2025-02-24,194.8901,199.0868,194.1825,195.96,2255455
2025-02-25,192.3265,196.3147,189.0,194.85,1690634
2025-02-26,193.0389,194.95,189.38,192.03,2090920
2025-02-27,191.3641,193.57,188.0765,191.61,2426371
2025-02-28,185.8182,189.5206,184.03,186.75,2051847
2025-03-03,191.5501,194.0856,187.8536,188.5029,1953641
2025-03-04,188.3866,191.9,183.75,190.23,1762967
2025-03-05,188.9972,193.48,181.44,189.54,1716234
2025-03-06,185.605,189.55,182.6931,186.86,2201084
2025-03-07,183.4291,185.1688,179.9981,182.89,2647063
2025-03-10,181.5827,185.02,178.5491,182.02,2461436
2025-03-11,179.9727,185.46,171.4835,181.07,3099246
2025-03-12,173.4607,174.73,170.398,173.64,2121575
2025-03-13,169.2286,173.51,166.7925,169.61,2124282
2025-03-14,170.6984,184.66,168.2,170.11,1542528
2025-03-17,172.3291,175.0987,169.71,171.47,1479494
2025-03-18,173.3347,176.69,172.1426,174.17,1694377
2025-03-19,174.1585,176.9983,172.54,176.0873,2593547
2025-03-20,174.585,177.39,173.0052,175.1859,2000553
2025-03-21,172.6175,175.43,171.5901,173.5188,3804342
2025-03-24,179.3535,182.36,173.49,176.42,1806848
2025-03-25,180.5941,186.48,177.8997,179.18,1673480
2025-03-26,179.0143,180.2743,172.67,179.1,2598712
2025-03-27,173.2959,181.24,172.0553,175.215,2779801
2025-03-28,174.7546,187.25,170.2623,173.61,1875068
2025-03-31,168.7116,173.199,166.87,170.69,2234029
2025-04-01,172.5593,174.17,168.9054,173.15,1975977
2025-04-02,170.7469,174.3863,169.62,170.82,1715082
2025-04-03,168.4595,172.7,159.659,166.61,3017611
2025-04-04,152.7825,159.55,149.46,151.44,5016367
2025-04-07,143.2599,157.8854,139.99,146.65,6089770
2025-04-08,151.4692,160.94,144.5,151.55,3150100
2025-04-09,139.9355,158.244,137.12,139.03,3292500
2025-04-10,156.7659,164.28,145.8719,157.95,5093993
2025-04-11,138.4817,151.92,135.6419,140.81,7870053
2025-04-14,147.7328,148.8571,143.06,145.07,2968315
2025-04-15,147.3597,148.05,145.3534,146.27,2168232
2025-04-16,144.1976,146.53,139.9161,145.28,1665043
2025-04-17,142.2325,145.27,141.4281,143.8705,3127363
2025-04-21,141.6413,143.87,138.4235,139.59,2419289
2025-04-22,141.0985,143.3181,138.6,139.67,2522251
2025-04-23,147.6892,150.1462,142.24,148.28,4465278
2025-04-24,154.5513,162.56,147.47,161.28,7325533
2025-04-25,157.1827,159.23,154.95,155.98,2086108
2025-04-28,157.4541,158.5105,154.8033,157.85,1798883
2025-04-29,154.8227,157.82,153.8631,155.93,2242477
2025-04-30,153.6262,157.15,149.56,153.02,1544334
2025-05-01,155.8939,158.52,151.88,157.94,1822043
2025-05-02,160.9522,162.5996,153.2,157.96,3706298
2025-05-05,158.1274,161.63,140.68,159.56,1599394
2025-05-06,157.3552,158.76,155.5224,157.3894,1937700
2025-05-07,158.5819,161.5826,157.46,158.36,1938792
2025-05-08,162.2571,166.15,160.9278,163.58,1411518
2025-05-09,167.3252,168.3662,161.91,164.81,3803485
2025-05-12,182.4561,184.6994,168.39,179.48,5401809
2025-05-13,183.3676,185.72,175.95,182.85,3366957
2025-05-14,182.6321,187.99,181.1219,184.08,2642138
2025-05-15,182.593,187.71,175.94,181.95,1668631
2025-05-16,184.0347,188.22,179.85,183.07,1649680
2025-05-19,181.161,188.22,179.85,182.29,1331620
2025-05-20,183.8197,184.74,181.96,183.08,1242555
2025-05-21,182.9889,188.22,176.91,181.2685,5098844
2025-05-22,180.1005,184.1,176.264,182.64,3787826
2025-05-23,171.9583,178.39,170.1207,172.62,2901319
2025-05-27,174.1527,179.36,172.32,175.53,2207914
2025-05-28,180.0809,186.06,177.96,179.69,2384498
2025-05-29,181.64,189.63,178.8054,180.03,1560023
2025-05-30,179.3625,182.06,176.1174,180.23,2126959
2025-06-02,178.1896,185.13,172.14,177.26,1589765
2025-06-03,179.0595,184.2498,178.01,183.8392,2447492
2025-06-04,185.9896,187.7686,183.52,185.18,1936601
2025-06-05,188.6727,190.06,186.42,189.44,2221480
2025-06-06,188.7558,190.3002,186.19,188.32,2067432
2025-06-09,192.3822,195.7984,186.69,188.79,3084827
2025-06-10,196.6634,198.589,193.93,194.88,2092417
2025-06-11,198.4912,199.78,193.8386,198.51,1689041
2025-06-12,193.9314,195.7837,191.27,195.1875,1517943
2025-06-13,192.5483,196.44,190.4859,192.36,1270605
2025-06-16,193.2472,195.3536,189.77,192.73,2446051
2025-06-17,193.7115,197.43,192.4384,193.54,2215563
2025-06-18,193.8483,196.96,191.6,195.46,1366160
2025-06-20,195.1239,196.3995,192.01,195.09,3981824
2025-06-23,195.0017,197.2792,192.07,194.48,1714741
2025-06-24,199.6837,201.5507,196.85,199.33,2265215
2025-06-25,201.5995,202.68,189.63,201.8,1662824
2025-06-26,202.0052,202.577,200.57,201.7266,2235351
2025-06-27,201.8537,203.0071,198.91,201.51,1593802
2025-06-30,202.4304,203.6815,201.17,202.7,1344705
2025-07-01,202.7481,206.6237,199.74,201.46,2481069
2025-07-02,205.4751,211.2959,203.08,205.26,2005524
2025-07-03,211.3301,212.09,203.36,211.44,2830907
2025-07-07,209.7124,214.61,206.24,210.49,1986412
2025-07-08,209.7613,214.3553,207.43,211.7357,3337064
2025-07-09,213.2899,213.9643,210.3429,212.16,1720071
2025-07-10,213.3534,215.8019,210.18,212.0,1554383
2025-07-11,213.9154,216.99,213.2996,215.35,1184456
2025-07-14,213.0504,216.41,212.4004,215.24,1268069
2025-07-15,215.1861,219.08,213.0748,215.58,1360403
2025-07-16,211.726,215.45,206.9382,213.48,2626909
2025-07-17,211.0417,215.04,209.31,211.04,2298317
2025-07-18,213.2508,215.04,207.83,211.41,1941945
2025-07-21,213.4121,214.89,210.8169,212.21,1835799
2025-07-22,211.0222,211.1297,204.16,207.9,3135297
2025-07-23,186.4054,210.07,183.3114,189.92,12638231
2025-07-24,182.4363,183.6535,180.8556,181.6,2640844
2025-07-25,180.6967,182.02,179.0693,181.49,2128811
2025-07-28,184.4062,186.1851,180.82,183.13,2790387
2025-07-29,185.0659,187.622,184.6407,185.6,1806505
2025-07-30,187.3287,188.64,184.9438,187.68,1401753
2025-07-31,183.9596,186.64,178.6221,184.31,2170858
2025-08-01,177.7061,178.78,175.2146,176.77,1613301
2025-08-04,178.6712,180.54,177.56,178.83,1305320
2025-08-05,182.2608,183.6543,178.91,182.38,1905502
2025-08-06,181.6281,184.15,181.19,182.57,2312766
2025-08-07,187.7018,188.5783,183.08,187.8,2082406
2025-08-08,182.4331,184.7868,181.8521,182.92,2304489
2025-08-11,185.6042,186.01,181.6552,184.83,1977773
2025-08-12,183.7626,190.7153,180.92,182.52,4206301
2025-08-13,190.538,191.54,188.3025,191.03,1561669
2025-08-14,188.4374,191.84,186.33,188.55,1172773
2025-08-15,190.538,192.3599,188.97,190.23,1976053
2025-08-18,191.0009,193.94,189.99,191.5,580227
2025-08-19,191.2667,194.6446,190.02,190.68,1667075
2025-08-20,194.6594,196.5748,190.5085,194.22,2759073
2025-08-21,196.9589,199.1057,193.44,196.23,1511959
2025-08-22,199.7261,205.9106,197.14,197.67,2251954
2025-08-25,202.582,204.64,199.91,202.13,957712
2025-08-26,202.9858,204.64,201.47,202.65,1161581
2025-08-27,201.4791,202.86,200.1623,202.34,1142191
2025-08-28,202.4245,204.34,201.14,202.06,1756052
2025-08-29,199.539,202.87,198.505,200.5,1707714
2025-09-02,195.5605,200.22,193.7681,195.89,1735037
2025-09-03,196.8702,200.67,188.4678,195.82,2942376
2025-09-04,180.7196,195.11,178.9273,183.19,4982902
2025-09-05,184.4027,186.4019,182.571,184.15,3796884
2025-09-08,185.0724,187.99,180.6113,185.37,3172639
2025-09-09,181.9998,184.16,180.33,181.76,2415820
2025-09-10,182.2165,183.33,180.2863,182.66,1240452
2025-09-11,180.9018,182.002,179.8185,181.33,2278128
2025-09-12,181.1381,182.07,179.9613,181.15,1423488
2025-09-15,172.9496,179.82,171.3641,174.2,4493756
2025-09-16,178.2379,178.3856,174.7124,175.79,2141286
2025-09-17,175.8449,178.2478,174.31,175.0,2351524
2025-09-18,179.1439,180.9264,177.56,179.8,1417669
2025-09-19,179.5477,180.4636,175.5691,178.94,5384221
2025-09-22,177.0266,178.6466,174.36,176.28,1570206
2025-09-23,177.3861,179.8875,176.46,177.36,1547305
2025-09-24,179.1882,182.3445,178.3462,179.19,1584891
2025-09-25,179.725,182.26,177.3713,180.24,1151951
2025-09-26,182.8911,186.46,178.8,184.35,1997913
2025-09-29,182.0295,184.06,180.02,183.6,1124897
2025-09-30,180.6999,182.49,178.6417,179.94,911179
2025-10-01,181.1628,181.7043,176.5539,179.9,1487921
2025-10-02,177.519,181.8078,177.1054,178.16,1643375
2025-10-03,180.3897,182.64,177.583,179.82,1852720
2025-10-06,177.9228,180.19,176.31,178.3,1833042
2025-10-07,179.2473,179.72,174.7321,179.05,953663
2025-10-08,175.0078,178.4546,174.1412,174.68,1541326
2025-10-09,177.8243,179.23,174.998,178.24,1316103
2025-10-10,176.9035,178.8091,170.7732,176.15,1928994
2025-10-13,170.7338,173.62,166.53,169.78,1801026
2025-10-14,170.0558,173.0825,168.843,169.94,2855187
2025-10-15,170.4285,173.32,168.5278,172.81,2739095
2025-10-16,173.378,174.4859,171.6201,173.01,2288689
2025-10-17,173.4617,174.9241,169.38,173.69,1613182
2025-10-20,175.4096,178.3118,169.8869,172.34,1871099
2025-10-21,176.2733,178.6417,173.82,177.26,2441228
2025-10-22,165.7704,178.09,160.5609,161.75,10193453
2025-10-23,170.4285,171.1179,165.36,166.08,2562389
2025-10-24,170.4088,171.5,166.509,170.39,2485903
2025-10-27,167.4889,168.67,165.94,168.05,1821360
2025-10-28,166.2234,167.47,165.1992,166.81,4078773
2025-10-29,161.8165,166.63,160.5904,164.73,2224668
2025-10-30,158.995,160.4,156.61,157.57,2070305
2025-10-31,157.9892,160.5821,156.7681,158.02,1701341
2025-11-03,161.0639,179.16,159.0224,161.02,1422446
2025-11-04,159.7575,161.2428,157.1357,159.0,2842431
2025-11-05,159.2708,163.1219,156.17,158.44,1437293
2025-11-06,161.9332,162.88,160.0357,162.0,1442784
2025-11-07,158.327,161.51,155.9029,159.65,2255315
2025-11-10,161.1683,161.89,157.5521,160.89,1610150
2025-11-11,159.1813,161.1101,158.38,159.26,2266618
2025-11-12,161.0788,163.4234,157.73,159.47,2308363
2025-11-13,162.5988,164.3523,160.03,161.26,2179076
2025-11-14,157.6713,162.77,157.264,160.01,2638600
2025-11-17,158.0985,160.22,152.9325,157.86,1828381
2025-11-18,153.2529,156.9461,152.19,153.49,2487089
2025-11-19,155.9178,158.1298,154.1147,155.87,1853849
2025-11-20,157.4726,158.2078,153.7372,156.97,1821565
2025-11-21,153.2604,160.1053,151.2,152.79,2335437
2025-11-24,159.0025,161.5855,155.97,158.75,2183789
2025-11-25,158.1134,161.73,154.67,159.36,2110361
2025-11-26,161.3173,165.6785,158.54,161.32,2334273
2025-11-28,164.4715,168.1423,156.3907,164.93,2374236
2025-12-01,165.7772,168.49,162.61,164.81,1171755
2025-12-02,167.6953,174.9972,164.07,167.25,1923090
2025-12-03,176.0254,180.1929,172.61,174.15,3115026
2025-12-04,180.4155,182.7064,178.82,180.18,1640468
2025-12-05,179.8253,183.3968,178.1,179.03,2066930
2025-12-08,181.8172,183.39,179.269,182.47,2240566
2025-12-09,179.12,180.6928,178.2259,179.59,1281489
2025-12-10,176.7744,180.0042,176.06,177.6,1189859
2025-12-11,179.0604,180.8287,178.0,180.23,1406248
2025-12-12,180.5804,182.45,177.9427,180.48,2013190
2025-12-15,175.931,180.85,172.17,173.18,2687807
2025-12-16,176.686,177.8583,173.02,177.27,1495289
2025-12-17,177.7093,178.4643,172.8165,176.6,3190872
2025-12-18,175.7025,177.7292,173.35,175.63,2940253
2025-12-19,176.2092,177.72,172.48,176.08,4379404
2025-12-22,177.5901,178.7226,172.48,176.38,1946154
2025-12-23,177.153,178.62,175.5237,176.84,1520598
2025-12-24,176.1198,176.8549,175.6379,176.38,1402477
2025-12-26,176.5966,177.3516,174.86,176.22,1301940
2025-12-29,175.6777,177.82,173.75,174.5,1241468
2025-12-30,175.0369,176.53,174.113,175.03,1349815
2025-12-31,174.5998,175.4,172.3049,172.3248,1550030
2026-01-02,176.2191,177.7093,170.15,174.42,2059988
2026-01-05,178.6233,181.693,175.7,176.29,1620540
2026-01-06,184.3356,190.9123,176.01,177.83,4163078
2026-01-07,187.465,190.84,184.4648,189.53,2590633
2026-01-08,183.1485,187.2265,181.3553,183.54,2215213
2026-01-09,187.0676,189.46,186.2828,187.92,1958095
2026-01-12,187.7134,189.5711,184.4,187.44,1650455
2026-01-13,187.6587,189.75,185.71,187.23,838561
2026-01-14,188.0512,191.4786,185.31,185.78,1876287
2026-01-15,193.2668,195.3531,189.1638,193.2,1699914
2026-01-16,189.6157,192.42,187.88,189.06,2009234
2026-01-20,189.1738,190.94,185.66,187.07,1556035
2026-01-21,191.4388,194.8464,187.76,188.06,2442961
2026-01-22,197.3102,198.68,191.75,195.65,2157519
2026-01-23,194.2901,196.2,189.8791,193.02,2552376
2026-01-26,191.7816,198.69,190.72,191.08,3852926
2026-01-27,193.7238,197.23,189.94,194.07,3095457
2026-01-28,206.142,214.09,195.34,208.3,7100993
2026-01-29,217.1544,220.5471,192.66,213.64,4690634
2026-01-30,215.45,218.97,213.79,216.58,2448147
2026-02-02,216.755,224.91,211.15,214.02,2937168
2026-02-03,226.01,228.83,220.58,224.65,3715364
2026-02-04,220.1,226.3099,215.0,217.36,2683804
2026-02-05,223.33,224.78,218.66,221.56,2128931
2026-02-06,223.47,228.89,218.585,226.01,1786435
2026-02-07,220.92,221.35,220.84,221.3,153
2026-02-09,219.98,224.0,218.22,220.14,1483399
2026-02-10,217.32,222.08,216.0,217.22,1465445
2026-02-11,226.24,231.29,218.58,224.49,3917843
2026-02-12,225.42,232.37,222.0,227.46,2982658
2026-02-13,221.06,227.81,219.11,222.02,807111
2026-02-14,225.51,226.45,225.51,225.78,174
2026-02-17,228.28,228.4513,219.34,224.52,1942359
2026-02-18,226.88,233.0,221.68,229.27,2359734
2026-02-19,222.82,225.25,217.42,221.71,1119154
2026-02-20,218.05,219.685,216.06,216.87,2194880
2026-02-21,219.79,219.79,219.79,219.79,6
2026-02-23,221.44,222.67,216.0,217.6,3044507
2026-02-24,220.01,224.17,209.59,221.37,3599947
2026-02-25,213.78,215.135,210.99,214.13,1258390
2026-02-26,214.11,218.02,203.32,213.2,1693631
2026-02-27,212.42,215.18,208.25,210.34,2319407
2026-02-28,211.55,211.79,211.2,211.2,86
2026-03-02,208.275,213.0,206.94,210.18,1727791
