Date,Open,High,Low,Close,Volume
2025-02-03,339.1116,341.8743,327.26,333.12,2656305
2025-02-04,341.8148,343.97,337.13,342.18,1279839
2025-02-05,343.0038,345.7885,338.9,343.3,1480041
2025-02-06,346.7497,347.82,343.5519,346.93,1341826
2025-02-07,346.2493,348.16,340.88,344.46,1754493
2025-02-10,346.0164,348.7118,343.86,345.84,1320073
2025-02-11,345.3974,350.06,333.44,347.62,1139661
2025-02-12,346.658,349.65,342.54,346.23,1489466
2025-02-13,348.3753,352.4946,347.41,349.32,1506667
2025-02-14,351.8891,357.34,350.8071,353.35,2509882
2025-02-18,351.1803,355.26,349.7947,352.03,1749546
2025-02-19,353.7204,356.31,342.6,353.51,1305483
2025-02-20,352.6832,354.36,346.4794,351.58,1219935
2025-02-21,348.5241,352.66,344.9111,348.4,2119848
2025-02-24,347.2933,351.25,342.95,347.55,1678828
2025-02-25,348.5142,351.01,343.442,348.42,1835008
2025-02-26,347.8194,350.36,346.5489,349.49,2292858
2025-02-27,350.7873,357.6462,347.41,348.2,2663786
2025-02-28,352.5839,357.34,347.93,355.95,2514877
2025-03-03,361.5471,363.8301,357.84,360.36,1995842
2025-03-04,354.0877,360.51,349.6656,358.34,2916951
2025-03-05,349.1991,357.41,346.86,348.56,1697099
2025-03-06,342.4345,351.84,339.9282,346.88,2904670
2025-03-07,339.4914,343.53,336.6923,339.29,2513761
2025-03-10,337.3176,348.04,336.2092,338.45,2361842
2025-03-11,336.4937,342.33,328.3643,337.61,2956245
2025-03-12,331.9675,342.45,326.9945,332.71,2309191
2025-03-13,328.9698,341.8,325.58,328.67,2452193
2025-03-14,326.1607,360.03,322.6,327.49,2804571
2025-03-17,329.2676,333.56,325.58,327.02,1589157
2025-03-18,332.4439,340.32,329.66,331.35,2000616
2025-03-19,333.5656,337.3672,330.54,332.06,1383980
2025-03-20,336.6228,340.02,329.55,336.25,1263305
2025-03-21,335.6699,341.8,330.32,333.77,3892755
