ticker,earnings_date,time_of_day,eps_estimated,eps_actual,eps_surprise_pct,revenue_estimated,revenue_actual,revenue_surprise_pct,source
AAPL,2024-10-31,AMC,2.03,2.21,8.867,26205020124,27789655566,6.0471,fmp
AAPL,2025-01-30,AMC,2.08,1.51,-27.4038,45082572870,43029944524,-4.553,fmp
AAPL,2025-05-01,AMC,1.48,1.51,2.027,23889576815,25023917604,4.7483,fmp
AAPL,2025-07-31,AMC,1.91,2.26,18.3246,81895893384,77880931974,-4.9025,fmp
AAPL,2025-10-30,AMC,2.25,2.24,-0.4444,19770552482,21620719550,9.3582,fmp
AAPL,2026-01-29,AMC,1.64,1.7,3.6585,85511964803,88980236435,4.0559,fmp
AMD,2024-10-29,AMC,1.31,1.31,0.0,97445997578,98106696700,0.678,fmp
AMD,2025-02-04,AMC,1.05,0.92,-12.381,86862155530,90041555529,3.6603,fmp
AMD,2025-04-29,AMC,1.2,1.29,7.5,32491856542,31256152135,-3.8031,fmp
AMD,2025-07-29,AMC,0.73,0.8,9.589,65390022205,65698978737,0.4725,fmp
AMD,2025-10-28,AMC,0.87,0.95,9.1954,93982185833,98418643842,4.7205,fmp
AMD,2026-01-27,AMC,1.11,1.36,22.5225,20523236907,20665223151,0.6918,fmp
AMZN,2024-10-31,AMC,1.99,1.99,0.0,70038353844,75391230305,7.6428,fmp
AMZN,2025-02-06,AMC,1.73,1.76,1.7341,34968039566,34623993619,-0.9839,fmp
AMZN,2025-05-01,AMC,1.05,1.0,-4.7619,34894398676,36580349456,4.8316,fmp
AMZN,2025-07-31,AMC,1.27,1.06,-16.5354,30163615817,29771311635,-1.3006,fmp
AMZN,2025-10-30,AMC,1.47,1.73,17.6871,90293173942,91187986137,0.991,fmp
AMZN,2026-02-05,AMC,1.06,0.9,-15.0943,13636394157,13050949069,-4.2933,fmp
AVGO,2024-12-12,AMC,8.66,8.76,1.1547,45105196846,43279751457,-4.0471,fmp
AVGO,2025-03-06,AMC,10.29,8.78,-14.6744,97252445873,104946763289,7.9117,fmp
AVGO,2025-06-12,AMC,8.07,8.13,0.7435,56012181389,55453391460,-0.9976,fmp
AVGO,2025-09-04,AMC,11.85,13.46,13.5865,48103752101,52580883235,9.3072,fmp
AVGO,2025-12-11,AMC,13.26,15.32,15.5354,21971928650,23881161283,8.6894,fmp
AVGO,2026-03-05,AMC,13.22,15.8,19.5159,62852170087,61150503538,-2.7074,fmp
BA,2024-10-23,BMO,0.29,0.36,24.1379,55383598859,52619169966,-4.9914,fmp
BA,2025-01-28,BMO,-1.03,-1.32,-28.1553,88478578393,95092337034,7.475,fmp
BA,2025-04-23,BMO,-1.08,-1.37,-26.8519,94960197303,91432237744,-3.7152,fmp
BA,2025-07-23,BMO,-0.54,-0.66,-22.2222,77754270784,75364004949,-3.0741,fmp
BA,2025-10-22,BMO,-0.57,-0.62,-8.7719,87881138903,89064958573,1.3471,fmp
BA,2026-01-28,BMO,-1.36,-1.66,-22.0588,24109351022,24031175094,-0.3243,fmp
BABA,2024-11-15,BMO,2.99,2.98,-0.3344,54169704898,52444433890,-3.1849,fmp
BABA,2025-02-20,BMO,1.45,1.71,17.931,26860899597,26405140175,-1.6967,fmp
BABA,2025-05-15,BMO,1.14,1.13,-0.8772,91014901236,98200100832,7.8945,fmp
BABA,2025-08-14,BMO,1.14,1.37,20.1754,25352496700,24588037221,-3.0153,fmp
BABA,2025-11-14,BMO,2.87,3.29,14.6341,79538845308,85196009861,7.1125,fmp
BABA,2026-02-19,BMO,1.38,1.57,13.7681,45239969187,46147197966,2.0054,fmp
BIDU,2024-11-21,BMO,3.32,3.38,1.8072,14349697759,14498836927,1.0393,fmp
BIDU,2025-02-27,BMO,2.35,1.81,-22.9787,23069846302,23468770827,1.7292,fmp
BIDU,2025-05-22,BMO,2.55,2.76,8.2353,92710231931,94237133457,1.647,fmp
BIDU,2025-08-21,BMO,3.65,3.74,2.4658,99931834499,107467108314,7.5404,fmp
BIDU,2025-11-20,BMO,3.92,3.71,-5.3571,20799555507,21274745663,2.2846,fmp
