touch,signal,lag,streak_at_touch,entry,ret4,mae,note
2000-04-07,2000-04-07,0,37,106.62,-0.1424384525205158,-0.268464243845252,
2004-03-12,2004-04-02,3,47,37.1,-0.06280318361691284,-0.06415087200281466,
2005-01-21,2005-05-20,17,16,37.66,0.005576183890693365,-0.010886878626482077,
2006-02-17,2006-02-17,0,15,41.21,0.005823870026661293,-0.024751285620581376,
2006-03-03,2006-03-03,0,17,41.45,0.011580205872167237,-0.030398120941822704,
2007-03-02,2007-03-23,3,26,44.12,0.02901184553449987,-0.02311877793420669,
2007-08-10,2007-08-10,0,18,47.28,0.020093079261149116,-0.06112520017479206,
2010-01-29,2010-02-12,2,44,43.76,0.08226696587981563,0.0015997146299486786,
2011-03-18,2011-03-25,1,28,56.84,0.026389866220500213,-0.026741739156988187,
2012-05-11,2012-05-11,0,20,64.18,-0.020411364397973863,-0.0645060668426729,
2013-04-19,2013-04-19,0,15,68.09,0.09120292330536439,-0.00014678377696397682,
2013-06-21,2013-06-21,0,24,70.43,0.059065682446250545,-0.018174056137307826,
2014-02-07,2014-02-07,0,57,87.3,0.03699880429126767,-0.0010309732432860486,
2014-03-28,2014-05-16,7,64,87.71,0.052559578821927966,-0.004674450313469691,
2014-10-10,2014-10-24,2,21,98.62,0.05323463652186877,-0.006084020348868124,
2015-06-12,2015-06-12,0,18,108.75,-0.010114928497665265,-0.026850557875359282,
2015-07-03,2015-07-17,2,21,113.59,-0.027115012773644587,-0.047275246855485786,
2016-11-04,2016-11-11,1,18,115.8,0.031951613564193515,-0.015285010585619818,
2017-09-29,2017-09-29,0,42,145.45,0.03980755356758259,-0.003575141171339946,
2018-02-09,2018-02-16,1,61,164.96,0.0367361621723572,-0.01818622622393362,
2018-10-05,2018-10-05,0,22,180.15,-0.05978345477968994,-0.11135164162214961,
2019-05-31,2019-06-07,1,17,181.04,0.05529170424683039,0.0049713278206489075,
2020-02-28,2020-04-17,7,26,215.29,0.03706633487475752,-0.05415945360648289,
2020-10-30,2020-11-06,1,28,294.61,0.037032022689557964,-0.04748647679976137,
2021-03-05,2021-03-05,0,17,308.68,0.05147730667833539,-0.029707085420945467,
2021-03-19,2021-03-19,0,19,313.14,0.09219516435674913,-0.018362392958483853,
2021-04-02,2021-04-02,0,21,324.57,0.04134695938417621,0.007117101107516177,
2021-05-14,2021-05-14,0,27,326.39,0.045497640612359946,-0.030914018207134686,
2021-10-01,2021-10-01,0,47,360.18,0.07199176301589394,-0.027375161175146268,
2021-10-15,2021-10-15,0,49,368.94,0.06982167722437782,-0.005285445313946369,
2021-12-24,2021-12-24,0,59,396.92,-0.11395245756375283,-0.11468310488591082,
2022-01-07,2022-07-29,29,61,315.46,-0.02542315739209655,-0.025708443451591734,
2023-09-22,2023-11-03,6,36,367.71,0.06045528134375955,-0.0021755943856817117,
2024-04-19,2024-04-26,1,24,431.0,0.06252903064276416,-0.02406031349695481,
2025-01-17,2025-01-17,0,18,521.74,0.03145251367892232,-0.02221412303987702,
2025-02-28,2025-05-16,11,24,521.51,0.010450446022082227,-0.03054595864903642,
2025-11-21,2025-11-21,0,27,590.07,0.04572335508306158,0.008626037177171364,
2026-01-23,2026-01-23,0,36,622.72,-0.022337445077962093,-0.047180025099376244,
2026-02-06,2026-04-10,9,38,611.07,0.16390916252479215,-0.004843998129801408,
2026-07-31,2026-07-31,0,16,687.99,,,
