market,touch,signal,prev_run,lag,ret4,mae,grp,quarter
^DJI,1992-06-19,1992-07-03,5,2,0.019067351010112255,-0.019148430650772652,B1,1992Q3
^DJI,1992-07-24,1992-07-31,2,1,-0.03718544090876885,-0.05501206567438832,B1,1992Q3
^DJI,1992-08-14,1992-11-27,1,15,0.013405642756252556,-0.01037110461547186,B1,1992Q4
^DJI,1992-12-18,1992-12-18,2,0,-0.01273653172063327,-0.02455259000313681,B1,1992Q4
^DJI,1993-01-08,1993-01-15,2,1,0.03709144641318307,-0.011968495403863133,B1,1993Q1
^DJI,1993-02-19,1993-02-19,4,0,0.04497051621481418,-0.0016254093561642868,B1,1993Q1
^DJI,1993-07-09,1993-07-09,19,0,0.011181255755858599,-0.00318368921601897,EVENT,1993Q3
^DJI,1993-09-24,1993-10-01,10,1,0.02777909013816049,-0.006632021716053371,B1,1993Q4
^DJI,1994-03-04,1994-03-04,21,0,-0.051232963335076986,-0.07129138049121297,EVENT,1994Q1
^DJI,1994-03-25,1994-06-17,2,12,-0.0060818926506029936,-0.044053433258621655,B1,1994Q2
^DJI,1994-07-22,1994-07-22,1,0,0.005373454675043465,-0.005376134637110952,B1,1994Q3
^DJI,1994-10-07,1994-10-07,10,0,0.0026570833622374668,0.0001764788363942671,B1,1994Q4
^DJI,1994-11-11,1994-12-23,4,6,0.00939106769706699,-0.0019303606628289227,B1,1994Q4
^DJI,1995-01-06,1995-01-06,1,0,0.01583229651375473,-0.012967309771515056,B1,1995Q1
^DJI,1995-02-03,1995-02-03,3,0,0.015519420591063371,-0.002054101276626419,B1,1995Q1
^DJI,1995-10-27,1995-10-27,37,0,0.06476297648547469,0.00022983998523762317,EVENT,1995Q4
^DJI,1996-05-10,1996-05-10,27,0,0.03243297961420044,-0.0003026240424537363,EVENT,1996Q2
^DJI,1996-07-05,1996-08-02,7,4,-0.01120105994588172,-0.01608496416699301,B1,1996Q3
^DJI,1996-08-30,1996-08-30,3,0,0.04570875425295684,-0.009748567161983468,B1,1996Q3
^DJI,1997-03-28,1997-03-28,29,0,-0.0002507112056101546,-0.05694012949766192,EVENT,1997Q1
^DJI,1997-05-02,1997-05-02,1,0,0.03674055287809863,-0.002100081633397144,B1,1997Q2
^DJI,1997-09-05,1997-09-05,17,0,0.02763860170939636,-0.0308792452064649,EVENT,1997Q3
^DJI,1997-09-19,1997-09-19,1,0,-0.008879265206791609,-0.020413478445083233,B1,1997Q3
^DJI,1997-10-17,1997-11-21,3,5,-0.015831609453303974,-0.0385911627762604,B1,1997Q4
