ticker,multiplier,entry_datetime,entry_price,initial_stop_1r,one_r_dollars,one_r_reached,one_r_time,chandelier_activated,exit_datetime,exit_price,exit_reason,pnl_dollars,pnl_r,mfe_r,mae_r,give_back_ratio,hold_bars,hold_hours
NVDA,1.25,2025-02-14 20:30:00,137.32,137.1,0.22,True,2025-02-14 21:00:00,True,2025-02-14 21:00:00,137.39,chandelier_stop,0.07,0.3182,1.9091,1.1364,0.8333,6,0.5
NVDA,1.5,2025-02-14 20:30:00,137.32,137.1,0.22,True,2025-02-14 21:00:00,True,2025-02-14 21:55:00,137.84,chandelier_stop,0.52,2.3636,4.2727,1.1364,0.4468,17,1.42
NVDA,2.0,2025-02-14 20:30:00,137.32,137.1,0.22,True,2025-02-14 21:00:00,True,2025-02-18 16:30:00,141.26,chandelier_stop,3.94,17.9091,27.4545,1.1364,0.3477,30,2.5
NVDA,2.25,2025-02-14 20:30:00,137.32,137.1,0.22,True,2025-02-14 21:00:00,True,2025-02-18 16:30:00,141.26,chandelier_stop,3.94,17.9091,27.4545,1.1364,0.3477,30,2.5
NVDA,1.25,2025-03-18 16:30:00,118.0,117.38,0.62,False,,False,2025-03-18 16:40:00,116.41,disaster_stop,-1.59,-2.5645,0.0,3.7097,0.0,2,0.17
NVDA,1.5,2025-03-18 16:30:00,118.0,117.38,0.62,False,,False,2025-03-18 16:40:00,116.41,disaster_stop,-1.59,-2.5645,0.0,3.7097,0.0,2,0.17
NVDA,2.0,2025-03-18 16:30:00,118.0,117.38,0.62,False,,False,2025-03-18 16:40:00,116.41,disaster_stop,-1.59,-2.5645,0.0,3.7097,0.0,2,0.17
NVDA,2.25,2025-03-18 16:30:00,118.0,117.38,0.62,False,,False,2025-03-18 16:40:00,116.41,disaster_stop,-1.59,-2.5645,0.0,3.7097,0.0,2,0.17
NVDA,1.25,2025-03-20 20:30:00,117.9,117.84,0.06,True,2025-03-20 20:35:00,True,2025-03-20 20:35:00,118.16,chandelier_stop,0.26,4.3333,10.5,0.0,0.5873,1,0.08
NVDA,1.5,2025-03-20 20:30:00,117.9,117.84,0.06,True,2025-03-20 20:35:00,True,2025-03-20 20:35:00,118.16,chandelier_stop,0.26,4.3333,10.5,0.0,0.5873,1,0.08
NVDA,2.0,2025-03-20 20:30:00,117.9,117.84,0.06,True,2025-03-20 20:35:00,True,2025-03-20 20:35:00,118.16,chandelier_stop,0.26,4.3333,10.5,0.0,0.5873,1,0.08
NVDA,2.25,2025-03-20 20:30:00,117.9,117.84,0.06,True,2025-03-20 20:35:00,True,2025-03-20 20:35:00,118.16,chandelier_stop,0.26,4.3333,10.5,0.0,0.5873,1,0.08
NVDA,1.25,2025-04-14 16:30:00,114.11,109.89,4.22,False,,False,2025-04-14 18:50:00,109.59,disaster_stop,-4.52,-1.0711,0.0,1.1635,0.0,28,2.33
NVDA,1.5,2025-04-14 16:30:00,114.11,109.89,4.22,False,,False,2025-04-14 18:50:00,109.59,disaster_stop,-4.52,-1.0711,0.0,1.1635,0.0,28,2.33
NVDA,2.0,2025-04-14 16:30:00,114.11,109.89,4.22,False,,False,2025-04-14 18:50:00,109.59,disaster_stop,-4.52,-1.0711,0.0,1.1635,0.0,28,2.33
NVDA,2.25,2025-04-14 16:30:00,114.11,109.89,4.22,False,,False,2025-04-14 18:50:00,109.59,disaster_stop,-4.52,-1.0711,0.0,1.1635,0.0,28,2.33
NVDA,1.25,2025-04-25 20:30:00,111.86,110.79,1.07,False,,False,2025-04-25 20:40:00,110.68,disaster_stop,-1.18,-1.1028,0.0,1.271,0.0,2,0.17
NVDA,1.5,2025-04-25 20:30:00,111.86,110.79,1.07,False,,False,2025-04-25 20:40:00,110.68,disaster_stop,-1.18,-1.1028,0.0,1.271,0.0,2,0.17
NVDA,2.0,2025-04-25 20:30:00,111.86,110.79,1.07,False,,False,2025-04-25 20:40:00,110.68,disaster_stop,-1.18,-1.1028,0.0,1.271,0.0,2,0.17
NVDA,2.25,2025-04-25 20:30:00,111.86,110.79,1.07,False,,False,2025-04-25 20:40:00,110.68,disaster_stop,-1.18,-1.1028,0.0,1.271,0.0,2,0.17
NVDA,1.25,2025-08-26 20:30:00,181.6,181.21,0.39,False,,False,2025-08-26 20:55:00,180.95,disaster_stop,-0.65,-1.6667,0.1538,1.8462,11.8333,5,0.42
NVDA,1.5,2025-08-26 20:30:00,181.6,181.21,0.39,False,,False,2025-08-26 20:55:00,180.95,disaster_stop,-0.65,-1.6667,0.1538,1.8462,11.8333,5,0.42
NVDA,2.0,2025-08-26 20:30:00,181.6,181.21,0.39,False,,False,2025-08-26 20:55:00,180.95,disaster_stop,-0.65,-1.6667,0.1538,1.8462,11.8333,5,0.42
NVDA,2.25,2025-08-26 20:30:00,181.6,181.21,0.39,False,,False,2025-08-26 20:55:00,180.95,disaster_stop,-0.65,-1.6667,0.1538,1.8462,11.8333,5,0.42
NVDA,1.25,2025-09-12 16:30:00,177.77,176.9,0.87,False,,False,2025-09-12 16:40:00,176.63,disaster_stop,-1.14,-1.3103,0.0,1.5172,0.0,2,0.17
NVDA,1.5,2025-09-12 16:30:00,177.77,176.9,0.87,False,,False,2025-09-12 16:40:00,176.63,disaster_stop,-1.14,-1.3103,0.0,1.5172,0.0,2,0.17
NVDA,2.0,2025-09-12 16:30:00,177.77,176.9,0.87,False,,False,2025-09-12 16:40:00,176.63,disaster_stop,-1.14,-1.3103,0.0,1.5172,0.0,2,0.17
NVDA,2.25,2025-09-12 16:30:00,177.77,176.9,0.87,False,,False,2025-09-12 16:40:00,176.63,disaster_stop,-1.14,-1.3103,0.0,1.5172,0.0,2,0.17
NVDA,1.25,2025-09-19 16:30:00,175.77,174.21,1.56,True,2025-09-19 17:05:00,True,2025-09-19 17:45:00,177.34,chandelier_stop,1.57,1.0064,1.4808,0.0577,0.3203,15,1.25
NVDA,1.5,2025-09-19 16:30:00,175.77,174.21,1.56,True,2025-09-19 17:05:00,True,2025-09-19 18:00:00,177.16,chandelier_stop,1.39,0.891,1.4808,0.0577,0.3983,18,1.5
NVDA,2.0,2025-09-19 16:30:00,175.77,174.21,1.56,True,2025-09-19 17:05:00,True,2025-09-19 18:05:00,176.81,chandelier_stop,1.04,0.6667,1.4808,0.0577,0.5498,19,1.58
NVDA,2.25,2025-09-19 16:30:00,175.77,174.21,1.56,True,2025-09-19 17:05:00,True,2025-09-19 18:05:00,176.81,chandelier_stop,1.04,0.6667,1.4808,0.0577,0.5498,19,1.58
NVDA,1.25,2025-10-27 20:30:00,191.34,191.19,0.15,False,,False,2025-10-27 20:40:00,191.03,disaster_stop,-0.31,-2.0667,0.0,2.1333,0.0,2,0.17
NVDA,1.5,2025-10-27 20:30:00,191.34,191.19,0.15,False,,False,2025-10-27 20:40:00,191.03,disaster_stop,-0.31,-2.0667,0.0,2.1333,0.0,2,0.17
NVDA,2.0,2025-10-27 20:30:00,191.34,191.19,0.15,False,,False,2025-10-27 20:40:00,191.03,disaster_stop,-0.31,-2.0667,0.0,2.1333,0.0,2,0.17
NVDA,2.25,2025-10-27 20:30:00,191.34,191.19,0.15,False,,False,2025-10-27 20:40:00,191.03,disaster_stop,-0.31,-2.0667,0.0,2.1333,0.0,2,0.17
NVDA,1.25,2025-12-09 16:30:00,185.56,183.32,2.24,False,,False,2025-12-10 17:40:00,183.3,disaster_stop,-2.26,-1.0089,0.0714,1.183,15.125,92,7.67
NVDA,1.5,2025-12-09 16:30:00,185.56,183.32,2.24,False,,False,2025-12-10 17:40:00,183.3,disaster_stop,-2.26,-1.0089,0.0714,1.183,15.125,92,7.67
NVDA,2.0,2025-12-09 16:30:00,185.56,183.32,2.24,False,,False,2025-12-10 17:40:00,183.3,disaster_stop,-2.26,-1.0089,0.0714,1.183,15.125,92,7.67
NVDA,2.25,2025-12-09 16:30:00,185.56,183.32,2.24,False,,False,2025-12-10 17:40:00,183.3,disaster_stop,-2.26,-1.0089,0.0714,1.183,15.125,92,7.67
NVDA,1.25,2025-12-23 16:30:00,182.97,182.9,0.07,True,2025-12-23 16:35:00,True,2025-12-23 16:50:00,184.28,chandelier_stop,1.31,18.7143,27.8571,0.0,0.3282,4,0.33
NVDA,1.5,2025-12-23 16:30:00,182.97,182.9,0.07,True,2025-12-23 16:35:00,True,2025-12-23 16:55:00,183.92,chandelier_stop,0.95,13.5714,27.8571,0.0,0.5128,5,0.42
NVDA,2.0,2025-12-23 16:30:00,182.97,182.9,0.07,True,2025-12-23 16:35:00,True,2025-12-23 17:05:00,183.72,chandelier_stop,0.75,10.7143,27.8571,0.0,0.6154,7,0.58
NVDA,2.25,2025-12-23 16:30:00,182.97,182.9,0.07,True,2025-12-23 16:35:00,True,2025-12-23 17:05:00,183.72,chandelier_stop,0.75,10.7143,27.8571,0.0,0.6154,7,0.58
NVDA,1.25,2026-01-16 20:30:00,187.94,187.72,0.22,True,2026-01-16 20:45:00,True,2026-01-16 20:45:00,188.08,chandelier_stop,0.14,0.6364,1.5,0.2727,0.5758,3,0.25
NVDA,1.5,2026-01-16 20:30:00,187.94,187.72,0.22,True,2026-01-16 20:45:00,True,2026-01-16 20:55:00,188.05,chandelier_stop,0.11,0.5,1.5,0.2727,0.6667,5,0.42
NVDA,2.0,2026-01-16 20:30:00,187.94,187.72,0.22,True,2026-01-16 20:45:00,True,2026-01-16 21:15:00,187.96,chandelier_stop,0.02,0.0909,2.1364,1.3182,0.9574,9,0.75
NVDA,2.25,2026-01-16 20:30:00,187.94,187.72,0.22,True,2026-01-16 20:45:00,True,2026-01-16 21:20:00,187.74,chandelier_stop,-0.2,-0.9091,2.1364,1.3182,1.4255,10,0.83
NVDA,1.25,2026-01-26 16:30:00,187.16,187.02,0.14,True,2026-01-26 16:35:00,True,2026-01-26 16:35:00,188.02,chandelier_stop,0.86,6.1429,13.5714,0.0,0.5474,1,0.08
NVDA,1.5,2026-01-26 16:30:00,187.16,187.02,0.14,True,2026-01-26 16:35:00,True,2026-01-26 16:35:00,188.02,chandelier_stop,0.86,6.1429,13.5714,0.0,0.5474,1,0.08
NVDA,2.0,2026-01-26 16:30:00,187.16,187.02,0.14,True,2026-01-26 16:35:00,True,2026-01-26 16:50:00,187.57,chandelier_stop,0.41,2.9286,14.0,2.2143,0.7908,4,0.33
NVDA,2.25,2026-01-26 16:30:00,187.16,187.02,0.14,True,2026-01-26 16:35:00,True,2026-01-26 16:50:00,187.57,chandelier_stop,0.41,2.9286,14.0,2.2143,0.7908,4,0.33
NVDA,1.25,2026-02-10 16:30:00,191.38,189.54,1.84,False,,False,2026-02-10 16:45:00,189.41,disaster_stop,-1.97,-1.0707,0.0272,1.6413,40.4,3,0.25
NVDA,1.5,2026-02-10 16:30:00,191.38,189.54,1.84,False,,False,2026-02-10 16:45:00,189.41,disaster_stop,-1.97,-1.0707,0.0272,1.6413,40.4,3,0.25
NVDA,2.0,2026-02-10 16:30:00,191.38,189.54,1.84,False,,False,2026-02-10 16:45:00,189.41,disaster_stop,-1.97,-1.0707,0.0272,1.6413,40.4,3,0.25
NVDA,2.25,2026-02-10 16:30:00,191.38,189.54,1.84,False,,False,2026-02-10 16:45:00,189.41,disaster_stop,-1.97,-1.0707,0.0272,1.6413,40.4,3,0.25
TSLA,1.25,2025-02-19 20:30:00,362.92,361.59,1.33,False,,False,2025-02-19 21:00:00,360.76,disaster_stop,-2.16,-1.6241,1.0,2.2857,2.6241,6,0.5
TSLA,1.5,2025-02-19 20:30:00,362.92,361.59,1.33,False,,False,2025-02-19 21:00:00,360.76,disaster_stop,-2.16,-1.6241,1.0,2.2857,2.6241,6,0.5
TSLA,2.0,2025-02-19 20:30:00,362.92,361.59,1.33,False,,False,2025-02-19 21:00:00,360.76,disaster_stop,-2.16,-1.6241,1.0,2.2857,2.6241,6,0.5
TSLA,2.25,2025-02-19 20:30:00,362.92,361.59,1.33,False,,False,2025-02-19 21:00:00,360.76,disaster_stop,-2.16,-1.6241,1.0,2.2857,2.6241,6,0.5
TSLA,1.25,2025-03-25 16:30:00,283.6,275.36,8.24,False,,False,2025-03-25 16:45:00,274.08,disaster_stop,-9.52,-1.1553,0.0,1.4951,0.0,3,0.25
TSLA,1.5,2025-03-25 16:30:00,283.6,275.36,8.24,False,,False,2025-03-25 16:45:00,274.08,disaster_stop,-9.52,-1.1553,0.0,1.4951,0.0,3,0.25
TSLA,2.0,2025-03-25 16:30:00,283.6,275.36,8.24,False,,False,2025-03-25 16:45:00,274.08,disaster_stop,-9.52,-1.1553,0.0,1.4951,0.0,3,0.25
TSLA,2.25,2025-03-25 16:30:00,283.6,275.36,8.24,False,,False,2025-03-25 16:45:00,274.08,disaster_stop,-9.52,-1.1553,0.0,1.4951,0.0,3,0.25
TSLA,1.25,2025-04-25 16:30:00,261.69,256.07,5.62,True,2025-04-25 17:10:00,True,2025-04-25 17:30:00,270.65,chandelier_stop,8.96,1.5943,2.363,0.1833,0.3253,12,1.0
TSLA,1.5,2025-04-25 16:30:00,261.69,256.07,5.62,True,2025-04-25 17:10:00,True,2025-04-25 17:30:00,270.65,chandelier_stop,8.96,1.5943,2.363,0.1833,0.3253,12,1.0
TSLA,2.0,2025-04-25 16:30:00,261.69,256.07,5.62,True,2025-04-25 17:10:00,True,2025-04-25 20:40:00,283.0,chandelier_stop,21.31,3.7918,4.4769,0.1833,0.153,50,4.17
TSLA,2.25,2025-04-25 16:30:00,261.69,256.07,5.62,True,2025-04-25 17:10:00,True,2025-04-25 20:40:00,283.0,chandelier_stop,21.31,3.7918,4.4769,0.1833,0.153,50,4.17
TSLA,1.25,2025-06-23 20:30:00,351.17,348.8,2.37,True,2025-06-23 20:35:00,True,2025-06-23 20:35:00,352.57,chandelier_stop,1.4,0.5907,1.5654,0.0,0.6226,1,0.08
TSLA,1.5,2025-06-23 20:30:00,351.17,348.8,2.37,True,2025-06-23 20:35:00,True,2025-06-23 20:35:00,352.57,chandelier_stop,1.4,0.5907,1.5654,0.0,0.6226,1,0.08
TSLA,2.0,2025-06-23 20:30:00,351.17,348.8,2.37,True,2025-06-23 20:35:00,True,2025-06-23 20:55:00,351.79,chandelier_stop,0.62,0.2616,1.5654,0.0,0.8329,5,0.42
TSLA,2.25,2025-06-23 20:30:00,351.17,348.8,2.37,True,2025-06-23 20:35:00,True,2025-06-23 20:55:00,351.79,chandelier_stop,0.62,0.2616,1.5654,0.0,0.8329,5,0.42
TSLA,1.25,2025-07-16 20:30:00,320.22,319.95,0.27,True,2025-07-16 20:35:00,True,2025-07-16 20:35:00,320.2,chandelier_stop,-0.02,-0.0741,2.8519,0.4444,1.026,1,0.08
TSLA,1.5,2025-07-16 20:30:00,320.22,319.95,0.27,True,2025-07-16 20:35:00,True,2025-07-16 20:35:00,320.2,chandelier_stop,-0.02,-0.0741,2.8519,0.4444,1.026,1,0.08
TSLA,2.0,2025-07-16 20:30:00,320.22,319.95,0.27,True,2025-07-16 20:35:00,True,2025-07-16 20:45:00,319.9,chandelier_stop,-0.32,-1.1852,2.8519,3.1852,1.4156,3,0.25
TSLA,2.25,2025-07-16 20:30:00,320.22,319.95,0.27,True,2025-07-16 20:35:00,True,2025-07-16 21:00:00,319.79,chandelier_stop,-0.43,-1.5926,2.8519,3.1852,1.5584,6,0.5
TSLA,1.25,2025-07-28 20:30:00,328.16,326.9,1.26,False,,False,2025-07-28 21:20:00,326.86,disaster_stop,-1.3,-1.0317,1.0397,1.5556,1.9924,10,0.83
TSLA,1.5,2025-07-28 20:30:00,328.16,326.9,1.26,False,,False,2025-07-28 21:20:00,326.86,disaster_stop,-1.3,-1.0317,1.0397,1.5556,1.9924,10,0.83
TSLA,2.0,2025-07-28 20:30:00,328.16,326.9,1.26,False,,False,2025-07-28 21:20:00,326.86,disaster_stop,-1.3,-1.0317,1.0397,1.5556,1.9924,10,0.83
TSLA,2.25,2025-07-28 20:30:00,328.16,326.9,1.26,False,,False,2025-07-28 21:20:00,326.86,disaster_stop,-1.3,-1.0317,1.0397,1.5556,1.9924,10,0.83
TSLA,1.25,2025-08-08 16:30:00,321.43,319.48,1.95,True,2025-08-08 16:35:00,True,2025-08-08 16:35:00,325.71,chandelier_stop,4.28,2.1949,3.6667,0.0,0.4014,1,0.08
TSLA,1.5,2025-08-08 16:30:00,321.43,319.48,1.95,True,2025-08-08 16:35:00,True,2025-08-08 16:35:00,325.71,chandelier_stop,4.28,2.1949,3.6667,0.0,0.4014,1,0.08
TSLA,2.0,2025-08-08 16:30:00,321.43,319.48,1.95,True,2025-08-08 16:35:00,True,2025-08-08 18:40:00,332.14,chandelier_stop,10.71,5.4923,6.959,0.0,0.2108,26,2.17
TSLA,2.25,2025-08-08 16:30:00,321.43,319.48,1.95,True,2025-08-08 16:35:00,True,2025-08-08 18:40:00,332.14,chandelier_stop,10.71,5.4923,6.959,0.0,0.2108,26,2.17
TSLA,1.25,2025-08-25 16:30:00,338.9,336.63,2.27,True,2025-08-25 17:10:00,True,2025-08-25 18:05:00,340.18,chandelier_stop,1.28,0.5639,1.4317,1.7048,0.6062,19,1.58
TSLA,1.5,2025-08-25 16:30:00,338.9,336.63,2.27,True,2025-08-25 17:10:00,True,2025-08-25 18:05:00,340.18,chandelier_stop,1.28,0.5639,1.4317,1.7048,0.6062,19,1.58
TSLA,2.0,2025-08-25 16:30:00,338.9,336.63,2.27,True,2025-08-25 17:10:00,True,2025-08-25 21:20:00,346.65,chandelier_stop,7.75,3.4141,4.3172,1.7048,0.2092,58,4.83
TSLA,2.25,2025-08-25 16:30:00,338.9,336.63,2.27,True,2025-08-25 17:10:00,True,2025-08-25 21:20:00,346.65,chandelier_stop,7.75,3.4141,4.3172,1.7048,0.2092,58,4.83
TSLA,1.25,2025-09-03 20:30:00,341.74,341.11,0.63,False,,False,2025-09-03 20:45:00,340.72,disaster_stop,-1.02,-1.619,0.0,3.2698,0.0,3,0.25
TSLA,1.5,2025-09-03 20:30:00,341.74,341.11,0.63,False,,False,2025-09-03 20:45:00,340.72,disaster_stop,-1.02,-1.619,0.0,3.2698,0.0,3,0.25
TSLA,2.0,2025-09-03 20:30:00,341.74,341.11,0.63,False,,False,2025-09-03 20:45:00,340.72,disaster_stop,-1.02,-1.619,0.0,3.2698,0.0,3,0.25
TSLA,2.25,2025-09-03 20:30:00,341.74,341.11,0.63,False,,False,2025-09-03 20:45:00,340.72,disaster_stop,-1.02,-1.619,0.0,3.2698,0.0,3,0.25
TSLA,1.25,2025-09-05 16:30:00,348.0,336.74,11.26,True,2025-09-11 17:50:00,True,2025-09-11 18:10:00,359.94,chandelier_stop,11.94,1.0604,1.3046,0.3712,0.1872,332,27.67
TSLA,1.5,2025-09-05 16:30:00,348.0,336.74,11.26,True,2025-09-11 17:50:00,True,2025-09-11 19:25:00,361.79,chandelier_stop,13.79,1.2247,1.3828,0.3712,0.1143,347,28.92
TSLA,2.0,2025-09-05 16:30:00,348.0,336.74,11.26,True,2025-09-11 17:50:00,True,2025-09-11 19:30:00,360.41,chandelier_stop,12.41,1.1021,1.3828,0.3712,0.203,348,29.0
TSLA,2.25,2025-09-05 16:30:00,348.0,336.74,11.26,True,2025-09-11 17:50:00,True,2025-09-11 19:30:00,360.41,chandelier_stop,12.41,1.1021,1.3828,0.3712,0.203,348,29.0
TSLA,1.25,2025-10-20 16:30:00,443.86,437.68,6.18,False,,False,2025-10-22 17:25:00,436.57,disaster_stop,-7.29,-1.1796,0.9612,1.6926,2.2273,167,13.92
TSLA,1.5,2025-10-20 16:30:00,443.86,437.68,6.18,False,,False,2025-10-22 17:25:00,436.57,disaster_stop,-7.29,-1.1796,0.9612,1.6926,2.2273,167,13.92
TSLA,2.0,2025-10-20 16:30:00,443.86,437.68,6.18,False,,False,2025-10-22 17:25:00,436.57,disaster_stop,-7.29,-1.1796,0.9612,1.6926,2.2273,167,13.92
TSLA,2.25,2025-10-20 16:30:00,443.86,437.68,6.18,False,,False,2025-10-22 17:25:00,436.57,disaster_stop,-7.29,-1.1796,0.9612,1.6926,2.2273,167,13.92
TSLA,1.25,2025-12-03 20:30:00,443.28,441.28,2.0,True,2025-12-03 20:50:00,True,2025-12-03 20:50:00,445.03,chandelier_stop,1.75,0.875,2.11,0.335,0.5853,4,0.33
TSLA,1.5,2025-12-03 20:30:00,443.28,441.28,2.0,True,2025-12-03 20:50:00,True,2025-12-03 20:50:00,445.03,chandelier_stop,1.75,0.875,2.11,0.335,0.5853,4,0.33
TSLA,2.0,2025-12-03 20:30:00,443.28,441.28,2.0,True,2025-12-03 20:50:00,True,2025-12-03 20:50:00,445.03,chandelier_stop,1.75,0.875,2.11,0.335,0.5853,4,0.33
TSLA,2.25,2025-12-03 20:30:00,443.28,441.28,2.0,True,2025-12-03 20:50:00,True,2025-12-03 21:50:00,445.82,chandelier_stop,2.54,1.27,2.32,0.335,0.4526,16,1.33
TSLA,1.25,2026-01-26 16:30:00,445.0,439.6,5.4,False,,False,2026-01-26 16:45:00,438.73,disaster_stop,-6.27,-1.1611,0.0,1.3593,0.0,3,0.25
TSLA,1.5,2026-01-26 16:30:00,445.0,439.6,5.4,False,,False,2026-01-26 16:45:00,438.73,disaster_stop,-6.27,-1.1611,0.0,1.3593,0.0,3,0.25
TSLA,2.0,2026-01-26 16:30:00,445.0,439.6,5.4,False,,False,2026-01-26 16:45:00,438.73,disaster_stop,-6.27,-1.1611,0.0,1.3593,0.0,3,0.25
TSLA,2.25,2026-01-26 16:30:00,445.0,439.6,5.4,False,,False,2026-01-26 16:45:00,438.73,disaster_stop,-6.27,-1.1611,0.0,1.3593,0.0,3,0.25
GOOGL,1.25,2025-03-26 16:30:00,169.0,168.43,0.57,False,,False,2025-03-26 16:55:00,168.32,disaster_stop,-0.68,-1.193,1.0702,2.4912,2.1148,5,0.42
GOOGL,1.5,2025-03-26 16:30:00,169.0,168.43,0.57,False,,False,2025-03-26 16:55:00,168.32,disaster_stop,-0.68,-1.193,1.0702,2.4912,2.1148,5,0.42
