ticker,date,bar_slot,direction,open,high,low,close,ema9,ema21,ema_spread_pct,rsi,adx,adx_slope,atr,atr_pct,vix_prior_close,cross_bar_body_pct,is_anomaly_bar,bar_idx
AAPL,2021-09-22,2,DOWN,145.14,145.89,144.88,145.2341,147.0848,147.1368,-0.0354,46.66,31.44,-1.1276,2.114,1.4556,,0.0648,False,43
AAPL,2021-10-22,2,UP,150.1,150.11,148.64,149.11,145.8332,145.8322,0.0007,57.85,23.53,-0.3765,2.3735,1.5918,,0.6596,False,57
AAPL,2022-01-25,1,DOWN,158.97,161.6976,157.02,158.81,168.2691,169.1222,-0.5044,36.83,38.78,-0.5504,3.8598,2.4305,,0.1006,False,96
AAPL,2022-01-31,2,UP,172.61,173.58,172.27,172.9708,167.7533,167.4546,0.1784,59.45,29.54,-0.827,3.8913,2.2497,,0.209,False,105
AAPL,2022-02-22,2,DOWN,166.63,166.68,163.9,164.1,166.8429,167.0814,-0.1428,46.3,28.54,-0.4906,4.4141,2.6899,,1.5183,False,107
AAPL,2022-03-23,1,UP,168.0,170.76,167.601,170.26,166.1069,165.56,0.3303,57.85,24.09,-1.1964,4.0752,2.3935,,1.3452,False,118
AAPL,2022-04-22,2,DOWN,165.48,166.56,164.14,164.7132,170.5936,171.0251,-0.2524,38.62,19.37,0.5741,3.3642,2.0424,,0.4634,False,135
AAPL,2022-07-22,2,UP,155.58,156.0,153.97,154.5183,144.5773,143.6916,0.6164,61.89,29.63,-0.8415,4.6899,3.0351,,0.6824,False,175
AAPL,2022-09-21,2,DOWN,157.3918,157.425,155.92,157.091,160.0102,160.3053,-0.1841,43.88,22.24,-0.7761,2.9247,1.8618,,0.1911,False,203
AAPL,2022-10-28,2,UP,154.5999,156.99,154.15,156.7465,150.8989,150.7071,0.1273,59.11,20.98,-0.5674,3.716,2.3707,,1.3885,False,227
AAPL,2022-11-21,2,DOWN,148.35,148.74,147.715,147.99,150.4147,150.6023,-0.1246,45.28,18.53,-0.2391,3.5863,2.4234,,0.2427,False,231
AAPL,2023-01-25,1,UP,141.45,142.89,139.46,139.82,137.7073,137.4904,0.1577,52.77,29.65,-1.1231,3.2635,2.3341,,1.1524,False,260
AAPL,2023-08-22,2,DOWN,176.9229,177.43,176.26,177.03,188.5887,189.361,-0.4078,27.07,61.07,-0.9218,2.8543,1.6123,,0.0605,False,353
AAPL,2023-08-31,2,UP,188.34,188.76,187.48,187.82,185.0566,184.8522,0.1106,57.44,38.75,-0.8176,2.4212,1.2891,,0.2761,False,367
AAPL,2023-09-21,1,DOWN,174.59,176.06,173.7,175.3952,183.1243,183.9925,-0.4718,35.44,38.12,-0.6258,3.2568,1.8568,,0.4612,False,368
AAPL,2023-11-21,1,UP,191.05,191.54,190.27,190.3475,173.6735,173.0186,0.3785,73.75,33.13,0.7221,3.8645,2.0302,,0.3677,False,396
AAPL,2024-01-30,2,DOWN,189.93,190.25,187.865,187.8702,191.5868,191.9496,-0.189,38.92,28.6,-0.0097,2.1166,1.1266,,1.0845,False,433
AAPL,2024-05-22,1,UP,191.82,192.82,191.73,192.72,176.354,174.1396,1.2716,78.7,32.41,1.2858,3.4766,1.804,,0.4692,False,476
AAPL,2024-11-21,1,DOWN,229.76,229.97,225.71,225.95,229.7918,230.1994,-0.1771,39.64,24.31,-0.6245,2.775,1.2282,,1.6583,False,560
AAPL,2024-11-26,1,UP,232.28,235.44,231.93,234.37,231.0634,230.641,0.1831,59.36,21.19,0.1345,3.0287,1.2923,,0.8998,False,566
AAPL,2025-01-22,2,DOWN,221.64,223.08,221.55,222.73,241.2786,242.9085,-0.671,30.47,36.49,0.5905,4.9555,2.2249,,0.4918,False,585
AAPL,2025-01-31,2,UP,240.91,241.43,238.3,238.31,237.0818,236.9463,0.0572,51.71,25.98,-0.4977,4.8151,2.0205,,1.0792,False,599
AAPL,2025-02-28,2,DOWN,237.58,237.9,236.48,237.34,241.1763,241.5732,-0.1643,42.56,21.15,-0.056,4.2665,1.7976,21.13,0.101,False,615
AAPL,2025-07-22,1,UP,212.76,214.02,212.24,213.28,203.4529,202.8575,0.2935,65.37,17.0,0.9662,3.8956,1.8265,16.65,0.2444,False,668
AAPL,2026-01-22,1,DOWN,249.59,250.78,248.39,250.13,268.5522,270.5305,-0.7313,22.11,34.41,1.249,4.0745,1.629,16.9,0.2164,False,750
AAPL,2026-02-23,1,UP,263.33,267.73,262.25,267.02,261.1607,260.9704,0.0729,58.13,25.15,-0.989,4.4791,1.6774,19.09,1.4013,False,768
AAPL,2026-03-23,2,DOWN,252.41,252.93,250.68,251.04,262.8486,264.0833,-0.4675,33.29,22.83,1.048,5.0765,2.0222,27.29,0.5428,False,779
AMD,2021-09-28,2,DOWN,104.25,104.43,102.32,102.5,105.0495,105.0759,-0.0252,45.28,38.0,-1.948,2.4329,2.3736,,1.6787,False,51
AMD,2021-10-22,1,UP,121.99,122.07,119.33,120.2412,106.8639,105.6651,1.1345,73.08,32.84,0.9646,3.6432,3.0299,,1.4336,False,56
AMD,2022-01-24,1,DOWN,116.37,118.81,109.65,111.62,140.74,143.7452,-2.0907,26.23,29.32,1.0228,6.6889,5.9926,,4.0818,False,94
AMD,2022-03-29,1,UP,120.9,123.1,119.59,121.53,118.4668,118.1756,0.2464,53.69,18.9,-0.5838,4.8001,3.9497,,0.5211,False,126
AMD,2022-03-31,2,DOWN,113.42,114.41,109.7815,109.8278,117.5868,118.1556,-0.4815,39.18,17.9,0.0264,4.9176,4.4776,,3.1672,False,131
AMD,2022-05-27,2,UP,101.09,101.99,100.11,101.155,96.223,95.8379,0.4018,57.02,26.2,-0.4515,4.0615,4.0151,,0.0643,False,155
AMD,2022-06-21,1,DOWN,83.55,85.81,82.14,84.41,95.8762,95.9553,-0.0824,35.46,26.16,0.2513,5.1622,6.1156,,1.0293,False,158
AMD,2022-07-28,1,UP,89.49,91.69,88.5909,88.87,86.6884,86.4187,0.3121,52.91,20.85,-0.4286,3.6192,4.0724,,0.6928,False,182
AMD,2022-08-30,2,DOWN,86.85,87.08,85.52,85.96,90.0821,90.4708,-0.4296,39.98,19.65,-0.082,2.7866,3.2417,,1.0248,False,199
AMD,2022-11-22,1,UP,72.07,73.59,72.0,73.535,66.6356,66.229,0.6139,61.73,40.79,-1.1287,2.986,4.0606,,2.0327,False,232
AMD,2022-12-22,2,DOWN,62.8917,63.8,62.36,62.865,69.5852,69.9818,-0.5667,35.18,32.14,-0.2275,2.7659,4.3997,,0.0425,False,245
AMD,2023-01-23,2,UP,75.565,76.1399,75.12,75.71,68.577,67.8914,1.0098,66.31,28.92,0.0958,2.5711,3.396,,0.1919,False,257
AMD,2023-04-25,1,DOWN,87.02,87.4,85.01,85.125,90.1605,90.5596,-0.4408,41.0,27.83,-0.627,2.8194,3.3121,,2.1777,False,302
AMD,2023-05-22,1,UP,104.25,108.79,103.4923,108.4462,91.8661,90.529,1.477,75.53,24.67,1.2439,3.7642,3.471,,4.0251,False,310
AMD,2023-08-22,1,DOWN,109.21,109.72,106.14,106.26,111.6155,111.6164,-0.0008,40.33,18.19,-0.0872,3.0944,2.9121,,2.7012,False,352
AMD,2023-11-21,1,UP,121.22,121.5,118.24,118.43,101.0317,99.9553,1.0769,74.37,25.56,1.5584,4.1075,3.4683,,2.3016,False,396
AMD,2024-04-22,1,DOWN,148.2,149.89,145.63,146.09,172.8575,174.6357,-1.0183,30.77,29.21,0.6334,7.6663,5.2477,,1.4238,False,462
AMD,2024-05-24,2,UP,165.31,167.08,164.79,165.88,163.4774,163.2822,0.1195,52.9,21.11,-0.5044,5.3059,3.1987,,0.3448,False,481
AMD,2024-06-21,1,DOWN,160.44,163.2,157.89,160.81,164.2304,164.4262,-0.1191,44.84,17.64,-0.8134,5.2512,3.2655,,0.2306,False,490
AMD,2024-08-26,1,UP,155.45,158.28,150.53,150.6,150.113,150.0683,0.0298,49.6,18.77,-0.7393,6.0022,3.9855,,3.12,False,522
AMD,2024-08-28,1,DOWN,150.79,150.8,147.68,148.48,149.7988,149.955,-0.1041,47.17,15.56,-0.665,5.1642,3.4781,,1.5319,False,526
AMD,2024-09-23,1,UP,156.3,157.57,155.2,157.13,149.7832,149.6263,0.1048,59.43,15.58,-0.4428,5.1821,3.298,,0.531,False,532
AMD,2024-10-24,1,DOWN,154.01,155.81,153.47,153.72,156.2133,156.2922,-0.0505,46.52,17.58,-0.3344,4.2221,2.7466,,0.1883,False,548
AMD,2024-10-25,2,UP,158.52,158.57,157.05,157.99,156.5268,156.3834,0.0917,53.19,15.82,-0.7757,3.9987,2.531,,0.3343,False,551
AMD,2024-10-30,2,DOWN,151.03,151.77,149.49,150.3,156.3407,156.7069,-0.2337,41.68,15.47,0.1469,4.4287,2.9466,,0.4833,False,557
AMD,2025-02-19,2,UP,114.45,116.11,114.39,114.86,113.5056,113.4923,0.0117,51.88,23.71,-1.031,2.7844,2.4242,15.35,0.3582,False,623
AMD,2025-02-21,2,DOWN,114.42,114.42,111.54,111.75,113.3686,113.458,-0.0788,43.09,20.15,-0.647,2.6553,2.3761,15.66,2.3335,False,627
AMD,2025-03-17,2,UP,105.4,105.85,103.91,104.1,101.2903,101.1024,0.1858,55.84,28.24,-0.2317,2.9161,2.8013,21.77,1.2334,False,659
AMD,2025-03-31,1,DOWN,100.32,103.22,98.8,101.28,105.561,105.8989,-0.3191,38.68,24.85,0.6596,3.3666,3.3241,21.65,0.9569,False,678
AMD,2025-04-24,2,UP,93.01,94.72,92.51,94.62,90.8292,90.7188,0.1217,55.88,22.69,0.0281,4.4584,4.7119,28.45,1.731,False,713
AMD,2025-08-19,2,DOWN,168.27,169.73,166.45,166.88,173.7609,174.1341,-0.2143,41.81,21.3,0.0352,7.4301,4.4524,14.99,0.8261,False,873
AMD,2025-09-22,2,UP,161.29,162.68,159.6,161.96,159.0697,158.8969,0.1088,54.99,12.86,-0.2844,4.6926,2.8974,15.45,0.4154,False,919
AMD,2025-11-07,1,DOWN,235.04,241.47,227.6,228.72,245.797,247.5853,-0.7223,36.77,33.23,0.6274,9.8341,4.2996,19.5,2.6889,False,986
AMD,2025-11-12,2,UP,261.93,263.51,253.9,255.1,247.7113,247.0088,0.2844,55.67,28.55,-0.5924,10.3566,4.0598,17.28,2.6076,False,993
AMD,2025-11-18,1,DOWN,238.71,240.52,224.71,228.15,243.8655,245.9725,-0.8566,39.38,23.99,0.3154,10.7418,4.7082,22.38,4.4238,False,1000
AMD,2025-12-09,2,UP,223.44,224.84,218.92,223.1,220.3398,220.0366,0.1378,52.21,27.52,-0.8639,7.9189,3.5495,16.66,0.1522,False,1029
AMD,2025-12-11,1,DOWN,217.68,221.42,210.19,213.9,218.9911,219.493,-0.2286,42.67,26.12,0.1361,7.5197,3.5155,15.77,1.7365,False,1032
AMD,2025-12-24,2,UP,214.43,215.58,214.42,215.11,213.0664,212.8854,0.085,52.43,23.37,0.3163,6.233,2.8976,14.0,0.3171,False,1051
