ticker,entry_date,entry_price,exit_price,final_return,MAE_close,MAE_low,MFE,bars_to_MAE,bars_to_MFE,bars_held,exit_reason,atr14_at_entry,rsi_at_entry,vix_at_entry
AAPL,2025-04-04 09:30:00,190.1700,195.9900,3.06,-9.54,-11.40,5.04,5,7,10,hard_max,5.4013,21.40,30.02
AAPL,2025-04-04 13:30:00,187.5700,197.1700,5.12,-8.28,-10.17,6.49,4,6,10,hard_max,5.3876,20.24,30.02
AMD,2025-03-11 09:30:00,96.1300,100.9800,5.05,0.57,-0.12,5.35,1,2,2,ema21,2.8233,29.85,27.86
AMD,2025-04-04 09:30:00,86.3300,96.7200,12.04,-9.41,-11.41,13.41,5,7,7,ema21,3.5230,23.64,30.02
AMD,2025-04-04 13:30:00,85.7400,96.7200,12.81,-8.78,-10.80,14.19,4,6,6,ema21,3.4585,23.19,30.02
AMD,2025-04-08 13:30:00,78.2100,96.7200,23.67,13.36,0.84,25.19,1,2,2,ema21,4.3369,17.77,46.98
AMD,2025-11-21 09:30:00,201.5200,219.5700,8.96,-0.67,-3.59,11.71,4,9,10,hard_max,10.9656,27.24,26.42
AMZN,2025-04-21 09:30:00,165.6400,181.9600,9.85,1.01,-0.22,13.12,1,4,4,ema21,6.4172,32.36,nan
AVGO,2025-04-04 09:30:00,141.6000,170.3200,20.28,2.67,-3.06,24.39,1,6,6,ema21,6.5282,21.72,30.02
BA,2025-04-04 09:30:00,137.5900,160.6800,16.78,-0.73,-6.33,18.05,1,7,7,ema21,5.8179,18.93,30.02
BA,2025-04-04 13:30:00,136.5800,160.6800,17.65,0.03,-5.64,18.93,1,6,6,ema21,5.6280,18.53,30.02
BA,2025-11-21 09:30:00,179.6800,187.4200,4.31,-0.46,-1.32,4.37,2,6,6,ema21,3.4946,18.68,26.42
C,2025-04-04 09:30:00,56.6300,59.4200,4.93,-0.25,-4.45,13.19,1,7,10,hard_max,2.1421,18.94,30.02
C,2025-04-04 13:30:00,56.4900,60.1000,6.39,0.97,-4.21,13.47,1,6,10,hard_max,2.0891,18.79,30.02
COIN,2025-03-11 09:30:00,183.8900,182.2400,-0.90,-3.45,-3.69,8.33,5,2,10,hard_max,12.9957,28.73,27.86
COIN,2025-04-08 13:30:00,151.5500,177.1300,16.88,9.23,-0.97,21.35,1,2,2,ema21,10.5855,30.05,46.98
COIN,2025-11-21 09:30:00,239.1000,273.8900,14.55,0.53,-0.17,17.05,1,8,8,ema21,12.7867,26.53,26.42
COST,2025-03-11 09:30:00,918.0100,894.7800,-2.53,-3.48,-4.49,2.31,5,2,10,hard_max,20.0308,24.91,27.86
GOOGL,2025-04-04 13:30:00,145.1100,158.2300,9.04,-0.57,-3.42,9.65,4,6,6,ema21,3.3427,24.34,30.02
GOOGL,2025-04-08 13:30:00,144.2800,158.2300,9.67,5.52,-0.53,10.28,1,2,2,ema21,4.1486,26.85,46.98
GS,2025-04-04 09:30:00,462.9100,506.4300,9.40,-2.22,-7.00,10.48,5,7,7,ema21,17.5043,23.47,30.02
GS,2025-04-04 13:30:00,460.7000,506.4300,9.93,-1.75,-6.56,11.01,4,6,6,ema21,17.3147,23.10,30.02
GS,2025-04-08 13:30:00,452.6200,506.4300,11.89,5.49,-3.22,13.00,1,2,2,ema21,19.7080,21.67,46.98
GS,2025-10-17 09:30:00,741.8100,772.6500,4.16,-0.63,-0.83,4.47,7,10,10,ema21,15.5110,32.35,25.31
JPM,2025-04-04 09:30:00,208.9800,231.0200,10.55,-0.80,-4.61,12.05,1,7,7,ema21,5.7173,21.38,30.02
JPM,2025-04-04 13:30:00,207.3000,231.0200,11.44,1.97,-3.84,12.96,2,6,6,ema21,5.6847,20.62,30.02
JPM,2025-04-08 13:30:00,213.8900,231.0200,8.01,4.54,-2.73,9.48,1,2,2,ema21,7.1648,32.97,46.98
JPM,2025-11-21 09:30:00,295.7700,305.9100,3.43,0.30,-0.87,3.65,1,6,6,ema21,5.0168,34.01,26.42
MARA,2025-04-08 13:30:00,10.5200,12.2900,16.83,7.32,-2.00,21.10,1,2,2,ema21,0.8598,33.88,46.98
MARA,2025-11-21 09:30:00,10.0200,11.4400,14.17,0.40,-0.80,19.56,1,8,10,hard_max,0.7534,19.82,26.42
META,2025-04-08 13:30:00,509.6500,583.4000,14.47,6.23,-1.70,15.09,1,2,2,ema21,23.1622,28.40,46.98
MSFT,2025-03-11 09:30:00,374.3300,385.5800,3.01,0.40,-0.04,3.45,4,7,7,ema21,7.0265,31.82,27.86
MSFT,2025-04-08 13:30:00,352.8600,376.1700,6.61,6.61,-0.69,8.20,1,1,1,ema21,9.0031,26.48,46.98
MSFT,2025-11-21 09:30:00,471.7400,490.9800,4.08,-0.12,-1.68,4.19,1,8,8,ema21,8.0183,24.63,26.42
MSFT,2025-11-21 13:30:00,471.1600,490.9800,4.21,0.33,-1.56,4.32,2,7,7,ema21,7.8863,24.35,26.42
MSFT,2026-01-02 09:30:00,470.7800,487.2100,3.49,0.23,-0.50,3.78,3,6,6,ema21,7.0048,31.66,nan
MU,2025-04-04 09:30:00,65.0400,67.8700,4.35,-0.69,-5.57,20.56,1,7,10,hard_max,3.8753,17.83,30.02
MU,2025-04-04 13:30:00,64.5900,69.3800,7.42,1.29,-4.91,21.40,4,6,10,hard_max,3.7471,17.60,30.02
MU,2025-04-08 13:30:00,65.4200,70.8800,8.35,3.75,-2.81,19.86,5,2,10,hard_max,4.3341,24.03,46.98
NVDA,2025-04-04 09:30:00,94.0900,106.4500,13.14,0.18,-7.96,16.73,1,6,6,ema21,4.2269,23.10,30.02
NVDA,2025-04-08 13:30:00,96.6900,106.4500,10.09,10.09,0.85,13.59,1,1,1,ema21,6.1161,32.21,46.98
PLTR,2025-11-21 09:30:00,153.9200,167.8800,9.07,0.62,-0.14,9.37,1,6,6,ema21,7.3628,27.89,26.42
PLTR,2026-01-02 09:30:00,167.6600,185.0800,10.39,0.11,-0.78,11.70,1,6,6,ema21,4.8558,25.73,nan
SNOW,2025-04-04 09:30:00,129.5600,151.4200,16.87,0.63,-7.30,17.28,1,7,7,ema21,5.8853,25.43,30.02
SNOW,2025-11-21 09:30:00,231.8100,251.0000,8.28,1.06,-0.10,9.57,1,8,8,ema21,7.7607,22.16,26.42
SNOW,2026-01-02 09:30:00,214.5600,224.0100,4.40,0.99,-0.28,5.98,1,2,2,ema21,3.9354,34.08,nan
TSLA,2025-03-11 09:30:00,223.8100,227.0000,1.43,1.43,-0.68,12.52,10,2,10,hard_max,14.5219,18.75,27.86
