ticker,earnings_date,time_of_day,event_day,prior_close,event_open,event_close,gap_pct,eps_surprise_pct,rev_surprise_pct,first_bar_holds,first_bar_strong,drift_1d,drift_2d,drift_3d,drift_5d,drift_10d,vix_on_day,gap_midpoint,year,direction,next_open,next_close,ret_ec_nc,ret_no_nc,ret_ec_no,drift_2d_corr,drift_3d_corr,drift_5d_corr,ret_ec_nc_adj,ret_no_nc_adj,spy_ret_ec_nc,spy_ret_no_nc
AAPL,2022-02-10,AMC,2022-02-11,168.6405,168.8463,165.2309,0.122,,,False,False,-1.8824,0.3893,0.2499,-2.8004,-4.0669,28.83,168.7434,2022,UP,163.9865,165.466,0.1423,0.9022,-0.7531,2.4608,2.3185,-0.7946,0.4692,1.1068,-0.3269,-0.2046
AAPL,2022-05-12,AMC,2022-05-13,139.8833,141.8752,144.3479,1.424,,,True,True,2.0903,4.6858,-1.2205,-3.4862,4.9663,30.7,140.8792,2022,UP,142.8171,142.8073,-1.0673,-0.0069,-1.0605,1.4479,-4.2757,-6.4714,-0.6615,-0.0344,-0.4058,0.0275
AAPL,2022-08-10,AMC,2022-08-11,166.293,167.0987,165.5561,0.4845,,,False,False,1.6899,2.3339,2.2394,2.9012,0.4668,23.71,166.6959,2022,UP,166.8629,169.1032,2.1426,1.3426,0.7894,2.7895,2.6945,3.3592,0.4497,0.1413,1.6929,1.2013
AAPL,2022-11-10,AMC,2022-11-11,144.5519,143.5186,147.3373,-0.7149,,,False,False,0.96,2.1584,1.3073,3.0095,-1.8043,25.74,144.0353,2022,DOWN,146.6188,145.9397,-0.9486,-0.4632,-0.4877,0.2271,-0.6079,1.0621,-0.0979,-0.0749,-0.8507,-0.3882
AAPL,2023-02-02,AMC,2023-02-03,148.4396,145.6937,152.0615,-1.8499,,,False,False,0.6034,2.5395,0.7293,0.2789,1.3015,20.78,147.0666,2023,DOWN,150.162,149.3352,-1.7929,-0.5506,-1.2492,0.0971,-1.6699,-2.1097,-1.1817,-0.5603,-0.6112,0.0098
AAPL,2023-05-05,AMC,2023-05-08,171.0914,170.0169,171.0224,-0.628,,,True,False,-1.0371,-0.0058,0.1037,-0.7271,0.5018,20.71,170.5542,2023,DOWN,170.5788,169.3171,-0.9971,-0.7397,-0.2594,0.0346,0.1441,-0.687,-0.5586,-0.691,-0.4385,-0.0486
AAPL,2023-08-04,AMC,2023-08-07,179.6393,179.7775,176.5399,0.0769,,,False,False,-1.2034,-2.088,-2.2089,-1.257,-3.2488,17.72,179.7084,2023,UP,177.369,177.4776,0.5311,0.0612,0.4696,-0.3691,-0.4921,0.4765,0.966,-0.0883,-0.4349,0.1495
AAPL,2023-11-03,AMC,2023-11-06,174.6037,174.3368,177.1538,-0.1528,,,False,False,2.9267,3.5324,3.2607,4.7515,8.5209,17.03,174.4703,2023,DOWN,177.1044,179.7138,1.4451,1.4734,-0.0279,2.0421,1.7743,3.2436,1.1605,1.1888,0.2846,0.2846
AAPL,2024-02-02,AMC,2024-02-05,183.9391,186.2155,185.7503,1.2376,,,True,True,1.8563,1.9155,1.329,0.828,-2.1836,15.33,185.0773,2024,UP,184.9388,187.3537,0.8632,1.3058,-0.4369,0.9218,0.341,-0.1551,0.5728,1.2126,0.2903,0.0932
AAPL,2024-05-03,AMC,2024-05-06,181.7262,180.7054,180.0712,-0.5617,,,True,True,-0.5344,-0.349,0.6489,1.7192,4.3184,15.02,181.2158,2024,DOWN,181.7955,180.755,0.3797,-0.5724,0.9576,0.5668,1.5739,2.654,0.2694,-0.4912,0.1103,-0.0811
