ticker,timestamp,pattern,direction,entry_price,level_price,blocked_by,blocked_reason,atr_ratio
AAPL,2025-08-11 18:15:00,CLP,short,226.0776,226.1018,squeeze,Squeeze detected (BB width=0.0021) — overrides ATR pass,nan
AAPL,2025-08-11 18:25:00,LP1,short,226.0676,226.1018,squeeze,Squeeze detected (BB width=0.0022) — overrides ATR pass,nan
AAPL,2025-08-11 18:35:00,LP1,short,226.0683,226.1018,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
AAPL,2025-08-11 18:40:00,LP1,short,226.0896,226.1018,squeeze,Squeeze detected (BB width=0.0021) — overrides ATR pass,nan
AAPL,2025-08-11 18:45:00,LP1,short,226.0876,226.1018,squeeze,Squeeze detected (BB width=0.0018) — overrides ATR pass,nan
AAPL,2025-08-11 19:20:00,CLP,short,226.0975,226.1018,squeeze,Squeeze detected (BB width=0.0007) — overrides ATR pass,nan
AAPL,2025-08-11 19:25:00,LP1,short,226.0777,226.1018,squeeze,Squeeze detected (BB width=0.0007) — overrides ATR pass,nan
AAPL,2025-08-11 19:30:00,LP1,short,226.0676,226.1018,squeeze,Squeeze detected (BB width=0.0007) — overrides ATR pass,nan
AAPL,2025-08-11 19:35:00,LP1,short,226.0975,226.1018,squeeze,Squeeze detected (BB width=0.0007) — overrides ATR pass,nan
AAPL,2025-10-03 17:30:00,MODEL4,short,257.3737,264.0048,squeeze,Squeeze detected (BB width=0.0046) — overrides ATR pass,nan
AAPL,2025-10-03 17:50:00,MODEL4,short,257.3178,264.0048,squeeze,Squeeze detected (BB width=0.0035) — overrides ATR pass,nan
AAPL,2025-10-21 16:35:00,MODEL4,long,262.2584,259.3897,squeeze,Squeeze detected (BB width=0.0013) — overrides ATR pass,nan
AAPL,2025-10-23 16:30:00,LP1,short,259.1743,259.3897,time,Before open delay (16:30 IST < 16:35 IST),0.0
AAPL,2025-10-23 16:35:00,LP1,short,259.2042,259.3897,squeeze,Squeeze detected (BB width=0.0033) — overrides ATR pass,nan
AAPL,2025-10-28 16:40:00,MODEL4,long,268.1035,265.016,squeeze,Squeeze detected (BB width=0.0023) — overrides ATR pass,nan
AAPL,2025-10-28 16:45:00,MODEL4,long,268.1571,265.016,squeeze,Squeeze detected (BB width=0.0026) — overrides ATR pass,nan
