ticker,n_bars,n_z,n_neutral,pct_neutral,first_ts,last_ts,n_trades,n_long,n_short,win_rate,mean_ret,pf,sharpe,max_dd,avg_hold,best_ret,worst_ret,n_glitch,pf_exglitch,wr_exglitch,mean_exglitch,n_exglitch,sum_ret
AAPL,220970,220951,163397,73.952,2021-04-19 08:00:00,2025-12-31 23:55:00,7478,3739,3739,67.5,0.0334,1.1658,3.9614,37.470895,29.539,6.6098,-9.0645,0,1.1658,67.5,0.0334,7478,249.9581
AMD,216839,216820,159862,73.73,2021-04-19 08:00:00,2025-12-31 23:55:00,7096,3548,3548,65.78,-0.0155,0.9633,-0.9521,188.064814,30.547,6.6749,-29.4227,0,0.9633,65.78,-0.0155,7096,-110.1854
AMZN,199930,199911,147762,73.914,2021-04-19 10:35:00,2025-12-31 23:55:00,6774,3387,3387,66.81,0.0327,1.1224,2.8183,47.102207,29.509,14.2092,-14.1634,0,1.1224,66.81,0.0327,6774,221.6595
ARM,96781,96762,72261,74.679,2023-09-14 13:35:00,2025-12-31 23:55:00,3310,1655,1655,68.34,0.0909,1.184,2.9222,65.847635,29.21,7.2194,-25.7371,0,1.184,68.34,0.0909,3310,300.7772
AVGO,143383,143364,105015,73.251,2021-04-19 13:10:00,2025-12-31 23:55:00,4762,2381,2381,65.69,0.0067,1.0169,0.352,72.427212,30.092,6.6524,-15.7609,0,1.0169,65.69,0.0067,4762,32.0649
BA,173692,173673,129625,74.637,2021-04-19 08:00:00,2025-12-31 23:55:00,5913,2957,2956,68.04,0.0517,1.1719,3.8336,74.61869,29.365,8.4301,-17.3783,0,1.1719,68.04,0.0517,5913,305.8451
BABA,213280,213261,159000,74.557,2021-04-19 08:00:00,2025-12-31 23:55:00,7138,3569,3569,67.06,0.0465,1.1307,3.017,110.142494,29.872,15.8771,-21.7954,0,1.1307,67.06,0.0465,7138,332.0048
BIDU,159900,159881,119157,74.529,2021-04-19 08:00:00,2025-12-31 23:55:00,5451,2726,2725,69.07,0.1293,1.3232,6.4647,49.598721,29.327,11.0364,-18.3515,0,1.3232,69.07,0.1293,5451,704.9281
C,158532,158513,118147,74.535,2021-04-19 09:35:00,2025-12-31 23:50:00,5600,2800,2800,69.79,0.1075,1.446,9.2298,20.560456,28.304,5.8267,-11.2921,0,1.446,69.79,0.1075,5600,602.1252
COIN,198825,198806,146755,73.818,2021-04-19 08:00:00,2025-12-31 23:55:00,6639,3319,3320,66.46,0.0476,1.069,1.7433,115.34549,29.928,14.2426,-25.1556,0,1.069,66.46,0.0476,6639,316.0433
COST,129464,129445,95451,73.739,2021-04-19 10:40:00,2025-12-31 23:55:00,4589,2294,2295,70.08,0.062,1.2977,5.572,24.263338,28.205,4.622,-12.0028,0,1.2977,70.08,0.062,4589,284.5937
GOOGL,183052,183033,135286,73.913,2021-04-19 11:25:00,2025-12-31 23:55:00,6292,3146,3146,68.91,0.0529,1.2169,4.8355,36.383503,29.079,7.318,-11.4811,0,1.2169,68.91,0.0529,6292,332.8713
GS,130582,130563,96983,74.281,2021-04-19 08:00:00,2025-12-31 23:50:00,4631,2316,2315,70.5,0.1031,1.4019,7.6577,16.229456,28.187,6.3263,-12.177,0,1.4019,70.5,0.1031,4631,477.2805
INTC,205032,205013,153797,75.018,2021-04-19 08:00:00,2025-12-31 23:55:00,7143,3572,3571,69.47,0.0763,1.2531,5.5575,45.675623,28.698,18.4127,-22.4771,0,1.2531,69.47,0.0763,7143,545.183
JD,183081,183062,136980,74.827,2021-04-19 08:00:00,2025-12-31 23:55:00,6336,3168,3168,68.31,0.0845,1.2071,4.6336,51.798936,28.883,14.8986,-21.5334,0,1.2071,68.31,0.0845,6336,535.2653
JPM,153207,153188,113900,74.353,2021-04-19 08:00:00,2025-12-31 23:55:00,5398,2699,2699,70.34,0.0956,1.4793,9.4683,17.861485,28.375,4.8842,-8.6729,0,1.4793,70.34,0.0956,5398,515.8772
MARA,215566,215547,160147,74.298,2021-04-19 08:00:00,2025-12-31 23:55:00,7372,3686,3686,67.62,0.1691,1.2088,5.3221,135.496984,29.229,12.7538,-29.5375,0,1.2088,67.62,0.1691,7372,1246.2374
META,199320,199301,148250,74.385,2021-04-19 08:15:00,2025-12-31 23:55:00,6566,3283,3283,67.71,25.0288,85.1705,8.8869,45.816755,30.351,2425.4698,-21.0577,72,4.6253,67.35,1.09,6494,164339.3225
MSFT,201505,201486,149022,73.961,2021-04-19 08:00:00,2025-12-31 23:55:00,7061,3531,3530,68.21,0.0475,1.2428,5.7563,19.911566,28.532,7.1384,-10.5251,0,1.2428,68.21,0.0475,7061,335.3047
MSTR,150333,150314,110218,73.325,2021-04-19 11:00:00,2025-12-31 23:55:00,4962,2481,2481,65.9,0.0905,1.1087,2.37,247.915313,30.282,10.3239,-22.3892,0,1.1087,65.9,0.0905,4962,449.3084
MU,184585,184566,137047,74.254,2021-04-19 08:00:00,2025-12-31 23:55:00,6162,3081,3081,67.59,0.0701,1.1771,4.0673,160.469746,29.95,6.3344,-19.5646,0,1.1771,67.59,0.0701,6162,431.7056
