ticker,entry_date,exit_date,entry_price,exit_price,return_pct,bars_held,exit_type,rsi_at_entry,vix_at_entry,year,bar1_close,bar2_close,bar3_close,bar4_close,bar5_close,bar6_close,bar7_close,bar8_close,bar9_close,bar10_close,bars_walked,enrich_status
AMD,2025-11-21,2025-12-01,197.47,217.19,9.9863,10,hard_max,29.99,25.76,2025,208.0,203.98,205.89,207.65,200.86,204.17,211.03,215.79,214.82,213.51,10,ok
AMZN,2025-03-11,2025-03-18,195.48,190.82,-2.3839,10,hard_max,33.23,25.72,2025,194.38,198.5,201.02,198.68,197.89,195.88,197.15,197.84,199.32,195.86,10,ok
AMZN,2025-11-21,2025-11-25,216.26,229.6,6.1685,5,ema21,31.37,25.76,2025,218.42,221.89,222.63,226.4,225.34,231.37,231.85,230.98,231.59,233.36,10,ok
AVGO,2025-04-04,2025-04-08,141.36,166.52,17.7985,4,ema21,21.33,27.38,2025,147.19,140.45,144.03,158.01,161.68,157.15,157.06,177.24,176.14,173.45,10,ok
BA,2025-11-21,2025-11-26,178.46,187.06,4.819,7,ema21,21.36,25.76,2025,181.4,180.59,180.49,182.335,178.93,184.86,184.38,188.3,189.245,189.75,10,ok
BA,2026-03-11,2026-03-18,215.23,207.22,-3.7216,10,hard_max,33.63,25.51,2026,218.25,213.73,212.77,205.0,205.73,211.14,211.15,213.02,214.37,211.55,10,ok
BABA,2025-04-04,2025-04-11,112.82,103.77,-8.0216,10,hard_max,22.66,27.38,2025,116.6,105.5,106.51,102.56,103.92,103.47,98.57,104.21,103.01,104.8,10,ok
BIDU,2025-04-04,2025-04-11,80.52,80.74,0.2732,10,hard_max,23.74,27.38,2025,83.11,78.32,78.82,76.62,81.57,78.18,74.43,81.39,81.29,81.81,10,ok
C,2025-03-11,2025-03-18,64.96,68.15,4.9107,10,hard_max,22.02,25.72,2025,65.89,66.7869,66.93,65.4341,66.39,66.43,66.5,68.1159,66.86,68.3174,10,ok
C,2025-04-04,2025-04-11,56.0,58.75,4.9107,10,hard_max,20.11,27.38,2025,58.3,54.21,55.18,58.7,59.61,56.53,56.09,61.06,60.49,60.44,10,ok
COIN,2025-03-11,2025-03-18,185.2,181.98,-1.7387,10,hard_max,30.74,25.72,2025,184.06,191.76,197.76,191.45,189.88,182.6,183.26,182.15,182.0,185.88,10,ok
COIN,2025-04-04,2025-04-10,153.18,169.3,10.5236,8,ema21,28.49,27.38,2025,165.94,148.15,148.8,159.43,162.82,152.8,150.65,172.55,170.77,174.87,10,ok
COIN,2025-11-21,2025-11-28,234.54,277.54,18.3338,8,ema21,25.54,25.76,2025,239.81,245.62,245.49,252.33,250.21,253.26,256.85,273.53,263.11,261.39,10,ok
COST,2025-03-11,2025-03-18,919.47,896.96,-2.4481,10,hard_max,20.84,25.72,2025,929.32,930.03,933.14,888.0685,920.96,890.95,887.17,908.4072,896.97,914.45,10,ok
GOOGL,2025-03-11,2025-03-18,163.43,156.7,-4.118,10,hard_max,30.29,25.72,2025,164.8,164.69,167.19,165.96,165.7,164.03,163.82,164.41,165.43,163.66,10,ok
GS,2025-03-11,2025-03-18,516.57,540.64,4.6596,10,hard_max,21.96,25.72,2025,523.18,530.4264,532.99,525.1,525.18,529.2507,521.29,540.9002,528.31,540.83,10,ok
MARA,2025-04-04,2025-04-11,10.32,11.97,15.9884,10,ema21,31.68,27.38,2025,11.05,10.22,10.16,11.44,11.7,10.55,10.45,11.99,12.02,12.2,10,ok
META,2025-03-11,2025-03-18,598.92,577.5,-3.5764,10,hard_max,31.72,25.72,2025,595.65,610.66,621.75,616.42,615.78,598.55,601.98,605.15,611.04,600.9,10,ok
META,2026-03-13,2026-04-02,613.26,571.46,-6.816,10,hard_max,34.88,26.95,2026,628.02,631.4,632.5,625.0,627.0,625.19,617.65,575.86,576.35,565.47,10,ok
MU,2025-04-04,2025-04-11,65.37,66.81,2.2028,10,hard_max,18.17,27.38,2025,70.96,62.3,64.09,69.45,71.28,65.78,64.94,75.43,74.57,70.7,10,ok
MU,2025-11-21,2025-11-26,195.82,228.71,16.796,6,ema21,31.19,25.76,2025,204.21,210.11,212.95,221.44,219.71,227.26,228.88,237.22,232.69,231.62,10,ok
NVDA,2025-03-11,2025-03-13,106.28,116.63,9.7384,4,ema21,26.85,25.72,2025,106.91,110.26,113.71,116.61,116.41,117.69,118.96,122.67,123.07,119.72,10,ok
NVDA,2025-04-04,2025-04-10,94.07,109.06,15.9349,7,ema21,26.02,27.38,2025,98.57,91.89,90.27,99.73,102.16,98.3,97.78,110.8,110.18,108.8,10,ok
PLTR,2025-03-11,2025-03-14,75.87,85.12,12.1919,6,ema21,33.06,25.72,2025,76.57,80.32,83.33,82.86,82.9,81.52,82.54,87.37,89.09,87.16,10,ok
TSLA,2025-03-11,2025-03-18,222.65,225.08,1.0914,10,hard_max,19.28,25.72,2025,222.8,236.96,243.54,248.81,246.68,244.68,246.56,246.21,247.39,234.47,10,ok
TSM,2025-03-11,2025-03-18,166.73,170.11,2.0272,10,hard_max,26.54,25.72,2025,168.72,170.25,172.25,171.12,170.24,169.55,170.7,172.26,173.3,173.68,10,ok
TSM,2025-04-04,2025-04-11,146.98,152.34,3.6468,10,hard_max,24.67,27.38,2025,148.71,134.13,136.11,144.83,133.5,141.05,138.61,155.47,154.78,155.24,10,ok
V,2025-03-11,2025-03-18,329.05,330.92,0.5683,10,hard_max,29.65,25.72,2025,337.61,331.14,332.71,331.03,328.67,328.9698,327.49,327.99,327.02,331.56,10,ok
